Başlık,Metin
devlet beyi bekleyen zor süreç kendim ettim kendim buldum,sevgili okurlarım milyonlarca insanımız türkiyede yaşanmakta siyasi gerçeğe tanık ilginç olay böylesi görülmemişti devlet bey partisinin tayyipgiller partisine yıllardan vermekte koşulsuz destek ş ilginç boyutlara sürüklendi partilileri dahil konuda olacağını bilen anlayan uzaklara gitmeye yıllar önceydi acayip sevgi inanılmaz tutku ortalıkta yoktu seçim mücadelesi başladığında devlet bey partisi adına düzenlenen mitinglerde kürsüye çıkar akp iktidarına ağır sözlerle yüklenirdi akpye milyonlarca insanımız duyunca helal derdi gerçekten iyi konuşmalar yapar kimsenin bilmediği yolsuzlukları yanlışları etkili biçimde dile getirip kitleleri hayran bırakırdı hele miting konuşması belleğinde yer etmişti devlet bey kürsüde ağır biçimde akp iktidarını eleştiriyor elindeki ipi dinleyenlerin öfkeyle fırlatıyor ipli hareketin amacı neydi ipi fırlatmıştı uyarıyorum yapanlar sorumludur ipe çekilir demek istemişti aradan süre geçti baktık devlet bey 180 derece çark edip safını değiştirmiş dün ağır sözlerle saldırdığı akp iktidarının numaralı savunucusu kesilmiş önümüzdeki seçimde sandığa gidip oy kullanmayı düşünen vatandaş değişim çark etme sürecini iyi bilmelidir siyasetçinin böylesine saf değiştirmesi akıl alacak değildir onunla birlikte mhp değişikliğe uğradı türkiyede bilinen gerçek vardır mhpnin tabanını türk milliyetçisi ülkücüler oluşturur gözlemlerimi soracak olursanız derim yurtsever iyi niyetli insanlardır orta direk altındaki vatandaşlarımızdır tabanın çoğunluğu akp iktidarına karşıdır karşıdır yanda parti disiplini vardır yüzden ses çıkarmaları partiyi genel başkanı kapalı kapılar ardındaki gizli fısıldaşmalar dışında eleştirmeleri söz konusu değildir türkiyede süre ilginç cinayet işlendi ülkü ocakları eski başkanı sinan ateş öldürüldü makam mhp açısından yerdi öldürülen başkan oraya olasılıkla parti yönetimi devlet beyin talimatıyla seçilmişti gelin görün cinayetten parti yönetimi gerekse devlet bey aradan geçen haftalara küçük tepki veremediler konuşamadılar tepkisizliğin suskunluğun gerçek nedeni nedir soruların yanıtını bilmemiz mümkün değildir süreçte yanıt verilmesi gereken soru belleklerimizde dolanıp duruyor mhpnin akpye vermekte kayıtsız şartsız desteğin nedeni nedir yanıtı bilinmiyor parti önümüzdeki aylarda adına seçime girecek varsayıyoruz seçim sürecinde halka diyecek ktidar partisini eleştirse kendisiyle çelişkiye düşer övgüler düzse takdirde mhpye oy verecek insanların kafasında ciddi kuşkular ortaya çıkar adama sorarlar aslı varken taklidine oy verelim bence devlet bey soruya yanıt veremeyecek soruların ağırlığı altında partisiyle birlikte zor duruma düşecektir seçim sonuçları geldiğinde hepimizin bildiği türküyü söylemeye başlayacaktır kendim ettim kendim buldum
zorunlu ara,sevgili okurlarım geçtiğimiz cuma akşamı başıma beklenmedik olay geldi eşim tansel çölaşanın eve girişte antreye bıraktığı kargo paketine karanlıkta ayağım takıldı yüzüstü düştüm sırtımın sağ tarafında korkunç acı yattığım yerden kalkamadım öylece kaldım ambulans çağırdık personel güçlükle sedyeye taşıdı lk hedef başkent üniversitesi hastanesi tomografi röntgen çekildi sonuç sağ kürek kemiğim kırık noktada ameliyat mümkün kolum askıya alındı ağrıyı ilaçla halletmeye çalışıyoruz anda evde istirahatteyim perşembe günü kontrole gideceğim yeniden röntgen çekilecek durumu sıkıntımı sevgili okurlarımla paylaşmayı görev biliyorum beklenmedik olay nedeniyle sizlerden süre uzak kalacağım özür diliyorum
kısa kısa türkiye gerçekleri,sevgili okurlarım geçmiş yıllarda günümüzdeki olayların günümüzde olanların hemen hiçbirine tanık olmazdık türkiye değildi kusura bakmasın bugünkü iktidarı eleştirmek zorundayım hangisinden başlamalı bilemiyorum memlekete milyonlarca yabancıyı doldurdular çantasını kapan geldi ortadoğu ülkelerinin afrika ülkelerinin sığınma merkezine dönüştük yöneten sorumsuzlar aşamada mutluydu sığınmacılar geldikçe gelecek ab ülkeleri kesenin ağzını açıp bedelini ödeyecek para kazanacaktık sonrasında neler başımıza belalar açıldığını birlikte gördük göreceğiz tayyipgiler iktidarından tık adam akp milletvekili adam öylesine hayranlık dolu çıkmış ortaya tayyip in pabucunu yalamak gerektiğinden söz mecliste bugüne nice böyleleri çıktı ortaya mum ışığı söndü gitti genel başkanlarına övgüler düzer saat başı parti değiştirirlerdi geriye isimleri kaldı kuşkunuz olmasın milletvekili önümüzdeki seçimde sıralarda yer bulacak meclise kapağı atmayı başaracak sveçte manyak çıktı kuranı yaktı iktidar konunun yoğunlukla gidince iş siyaset arenasına düştü dünya medyası hadiseye yer verdi manyağın saçma sapan eylemini dünyaya başarıyla duyurmuş oldular kadarla yetinseler iyi eylemi önlemediği sveçi şiddetle kınadılar ab den müzakere tarihi alabilmek uğruna sveçin önünde rica kuyruklarına giren onlardı ankara kızılayda başarı mitingi düzenleyen onlardı ab ülkelerinin çoğunda fikir ifade özgürlüğünü unutmuşlar görmezden geliyorlar şi büyüttüler sapık zamanda paralık herifin kuran yakmasını dünyaya duyurdular kutsal kitabımızı iç siyasete alet ettiler hükümet ortağı parti düşünün kraldan kralcı ortak derse küçük onaylıyor türkiyede olmamıştı dünyada böylesi görülmedi küçük ortak mhp telaşta panikte ülkü ocakları başkanı öldürülüyor partisinden tık gazeteci arkadaşımız mecliste cinayetle soru soruyor devlet bey gazeteciyi işine bak kovalıyor olacak iş midir süresi bitmiş yüksek seçim kurulu üyelikleri yargıtay danıştayda üye seçimleri yapılıyor gelin görün seçimlerden seçilecek üyelerin tarafsızlığına inanmıyor eskiler yenilerin iktidarın adamı taraflı olacağı iddia türkiyede geçmişte olaylara tanık olunmazdı ciddi hukuk düzeni yargı iktidarın baskısı altında ezilmeye mahkum edilmemişti zamanda partisinin genel başkanlığını yapmakta cumhurbaşkanı ortaya çıkan kuraklık tehlikesi nedeniyle belediyeleri uyardı linize barajlar yapın belediyeler baraj yapsın yapmasına yapsınlar muhalefet belediyeleri parayı nereden bulacak parayı veriyorsunuz küçük barajın yapımı sürer sürenin bitimine 20 dava açıp başkanları teknik ekiplerini suçlar mahkemelerde süründürürsünüz barajı yapan iktidar belediyesi sorun muhalefet belediyesi yargılanmaya eli mahkum seçime sayılı günler kalmışken aklında soru kaybederse iktidarı verirler 21 yüzyılda abye aday olmanın peşinde umutsuzca koşan ülke kafalarda biriken ciddi kuşkular yaşıyoruz neresinden bakarsanız bakın bunlara memlekete getirdikleri çarpık hak hukuk tanımaz düzene layık değildik demek hak etmişiz
izin,sevgili okurlarım dışarıda gereken işleri sık sık ihmal ediyorum bitirmenin telaşına kapılıyorum yetmiyor sürü ihmalim yüzünden gecikti izin istiyorum birlikte umuduyla
dikkat azalıyor,sevgili okurlarım mayıs ayında adeta ölüm kalım seçimi gerçekleşecek giderek azalıyor seçim öncesinde altılı masaya tarihi görev düşecek masayı oluşturan küçük partiler iriyarıları chp parti görünüyor görünüyor demek haksızlık masayı oluşturan parti partiden birinin genel başkanının cumhurbaşkanlığına aday gösterilmesi aklın mantığın olacaktır kritik viraja girmek üzereyiz anımsatmak istiyorum pişmanlık fayda vermez altılı masada ortaya çıkacak görüş ayrılığı tatsızlık zırıltı uyuşmazlığın tayyipgiller iktidarına yarayacağı kesindir parti adımlarını atmalı bugünü kapımıza dayanmış seçim gününü düşünmelidir 85 milyonluk ülkeyi zor süreç bekliyor akp iktidardan düştüğü hele cumhurbaşkanı seçimini yitirdiği takdirde neler olacağını bilen bunca yılın tek adamlığı şahsım devleti uygulamasını terk edip muhalefete düşmek zor gelecek yolsuzlukların hukuksuzlukların hesabı sorulacak farkındalar hepimizden iyi biliyorlar milyonlarca insanımızın aklında soru akp seçimi kaybederse iktidarı verir endişe etmesin vermek zorundadır aksi takdirde ortaya çıkacak ağır faturanın altında ezilirler haddim olmayarak altılı masada yer alan partilere onlarla birlikte milyonlarca seçmene sesleniyorum akp iktidarına oy vermeyeceği umulan insanlara vesile anımsatma istiyorum kafa yapımızdaki bazılarından duyuyor üzülüyorum masa kılıçdaroğlunu aday gösterirse oy vermem arkadaş vermezsin kardeşim kılıçdaroğlu geçmişte günümüzdeki yolsuzluklar yapmıştı adı kirli karanlık işlere bulaşmıştı millete yalanlar söylemişti konulara değinen hepsinden yanıtlar kulaklarımla duymuş olduğum gerçekten ilginç alevi nsaf be kardeşim kılıçdaroğlu bugüne attığı adımda konuşmasında mezhepçilik sorunca yanıt almanız mümkün olmuyor sevgili okurlarım altılı masa 26 ocak günü partinin ev sahipliğinde toplanacak masanın cumhurbaşkanı adayı ortada toplantı sonrasında açıklanmazsa galiba geç kalınmış olacak düşünelim aday belirlenecek uygulayacağı kapsamlı programı hazırlamak millete anlatmak zorunda aday mart mayıs ayları içerisinde türkiyeyi deyişle 81 ili dolaşmak zorunda basit kolaycı hesapla ara vermeden uçtan uca il dolaşsa 40 gerekecek genel başkanın öteki programlarını öteki gezilerini eklerseniz zamanın daralmakta görürsünüz işin şakaya gelir tarafı kalmadı vatandaş konuda kısa zamanda partilerin onayacağı kesin kararın alınmasını bekliyor partilerden genel başkanlardan beklenti mızıkçılık etmesin olay yaratmasın kişisel siyasal kapris yapmasın hhh tarafı soracak olursanız hazırlıklı yolsuzluk vurgun adam kayırma peşkeş çekme konular ırgalamıyor konularda fazlasıyla deneyime sahipler yandan korkuyorlar sandıktan yenik çıkmaları olasılık şte yapacaklarını diyeceklerini bilemiyorlar fırsat fırsattır kapris yapmanın küçük siyasi hesaplar peşinde koşmanın zamanı çoktan geldi geçiyor aşamada görev altılı masaya düşüyor
gökten müjdeler yağarken,sevgili okurlarım muhteşem türkiye tablosu içerisinde yaşamayı sürdürüyor birimiz güzelliğin zevkine doyasıya varıyoruz kitleleri zamları enflasyon canavarına yem milyonlarca insanımızı çoktaan unuttuk gözümüz kulağımız medyada verilen müjdeleri izleyip mutlu oluyoruz milyonlarca işsiz varmış kesimde geçerli işsizlik üniversite mezunları açısından bakıldığında doruk noktasına ulaşmış sorun kabahat kendilerinde kafayı çalıştırıp iş yaratsınlar derdiyle uğraşacak değiliz gidip saray iş dilekçesi versinler yapılır canım ablalarım ağabeylerim gökten böylesine güzel müjdeler tek tek topluca yağarken kıymetini bilmiyorsunuz neyiniz eksik aylık geliriniz kazancınız yetmiyor ağlaşıyorsanız etrafınıza bakın utanın abd ab ülkelerinde durum beter oraların marketlerinde raflar boş ilaç bulunamıyor memursunuz işçi emeklisiniz sırf ağlaşmaya verin ücretlerinize zam üstüne zam yapmıyorlar yapsınlar kusura bakmayın gözünüz türlü doymak bilmiyor stediğiniz konuşun gözünüzü allah doyursun kendinizi iktidarın saray kadrolarıyla yüksek bürokratlarıyla tutmaya kıyaslamaya yelteniyorsunuz efendim sürü para avantaları hortumlanıyormuş sürü olanaklar sağlanıyormuş bürokratların eline açıktan ayda net 300 lira para geçiyormuş rezaletmiş geçer kardeşim geçer zamanında tembelliği bırakıp çalışsaydınız adına akp denilen iktidar kadrolarına sızmayı başarsaydınız geçerdi işsizler asgari ücretliler emekliler eytliler vesaireler kadro beleşçisiniz hayat pahalılandı köfte kuruş bağırıp çağırıyorsunuz geçti devirler bayım adamını bulup avanta yakalayana uyanık olana ekmek gerisi fasa fiso müjdeler yurdumun toprağına taşına müjdeler milyonlarca işiz vatandaşıma adeta göklerde uçarak gezinen cumhurbaşkanımız baktı seçimler yaklaşıyor baktı pabuç pahalı avantacıların maaş ücretlerine zam üstüne zam gibileri iyi tanırım diyeceksiniz zam kaşıkla verdiğini hemen kepçeyle alıyor vergilere harçlara birbiri ardına inanılmaz zamlar getirip milleti mahvediyor yapsın çaresi adam karadenizde doğalgaz rezervleri buldu kapasitesini açıkladı dolarlık anda unutup muhteşem müjdeye takılın yakında lâzım olacaktır doğalgaz rezervi dünyanın üretici ülkesinde bugüne görülmedi sayesinde kazandığımız dünyada benzeri palavra atmakla uzaktan yakından ilgisi bulunmayan zaferdir hepimize kutlu cumhuriyetin kuruluşundan yana 100 geçmek türkiye böylesine güne tanık olmamıştı atatürk nönü bayar demirel özal sezer mutlu hepimize nice iktidarlar nice cumhurbaşkanları geldi geçti böylesini görmemiştik partisi hikaye bilen tek kişi konuda karar veren tek adam dünya lideri seçtiğimize demek başımıza gerekiyormuş
sarıkamış felaketi neydi,sevgili okurlarım türkiyenin yanında sarıkamış felaketinin yıldönümü toplantıları yapılıyor şehitler anılıyor 1914 yılı aralık 1915 yılı ocak aylarına kısaca dönüp bakalım birinci dünya savaşı olanca hızıyla sürüyor osmanlı müttefiki almanya birlikte savaşın göbeğinde yer alıyor rus ordusu doğu cephesinden saldırıya geçmiş türk ordusu direniyor mevsim kış ayları doğu anadoluda korkunç kış yaşanıyor sıcaklık yerde eksi 20lerde askerimizi barındıracak yer binlerce askerimiz köylerde adına zeminlik denilen yer altına kazılmış mezar oyuklarda titriyor askerin silahı yeterli aç açıkta yiyecek gelmiyor kış mevsiminde giyecek kaputu parkası ayakkabı çorabı asker patlak çarıklar giyiyor ordunun silah yiyecek giyeceklerini sağlayacak geri bağlantıları ikmal hatları devirde ilginçtir ordunun hayvanları askerler değerli ulaşım hayvanların sırtında yapılıyor hayvanları askerler iyi besleyecek yemlerini sağlayacaksınız çevreden sağlanan develer atlar katırlar eşekler açlıktan soğuktan kırılıyor küçük birlikler ölen hayvan tutanak hazırlayıp üst makamlara bilgi vermek zorunda ikmal yolları doğuda yol tek ikmal yolumuz stanbuldan kalkıp trabzona gemiler karadeniz rus donanmasının elinde stanbuldan kalkan malzeme teçhizat asker yüklü gemilerin trabzona varmadan rus donanması batırılıyor durum açımızdan hızla felakete gidiyor nitekim rus ordusu sonuçta erzurum erzincan trabzon yerlerin tümünü ele geçiriyor başkomutan vekili enver paşa olurken stanbulda savaşı stanbuldan verdiği talimatlarla yönetmeye çalışıyor yandan zafer bildirileri yayınlıyor enver maceracı amacı kars sarıkamışı ele geçirip kafkasyaya sarkmak bolluğa kavuşmak orduya emirler yayınlıyor rusyada oraları ele geçirince bereketli topraklar olacak bol yiyecek sağlayacağız önemlisi zafer kazanınca rusyanın boyunduruğu altındaki müslümanlar ayaklanıp düşmanı arkadan vuracaklar slam mparatorluğu kurulacak hayal dünyasında yaşıyor diyemiyor itiraz edemiyor kurşuna dizmek dahil güç yetki onda hedef koşullarda sarıkamışı ele geçirmek eriyerek dağ başlarında sıfırı tüketmiş ordumuz karlı dağları aşıp sarıkamışa yaklaşmaya çalışıyor türlü olmuyor kabahati ordu komutanlarına atan enver günün birinde savaş gemisine binip stanbuldan trabzon üzerinden cepheye klim koşullarını görünce çatışmada bulununca çare stanbula kaçmak zorunda kalıyor canını zor kurtarıyor perişan durumda kalan dökük askerlerimiz sarıkamış önlerinde askerimiz çabalar harcayarak sarıkamışın dış mahallerine girmeyi başarıyor etkisiz duruma getiriliyor enver emirlerini birbiri ardına sıralıyor mevzisini terk kurşuna dizilecektir durum hızla felakete gidiyor hezimet belli olmuştur sancaklar hızla toparlanıp ruslardan kaçırılıyor sarıkamış önlerindeki dağlar çam ormanları donarak can veren şehitlerimizin cesetleriyle dolu tek silah atamadan donarak ölen binlerce şehidimiz genelde sayı 90 veriliyor şin ilginç yanı nedir biliyor musunuz sarıkamış hezimetine uğrayan ordu enver in kumandası altında hafta mart 1915de çanakkale zaferini kazanacaktır sarıkamışta binlerce şehit vermedik rus ordusu rütbeden binlerce askerimizi esir aldı sibiryanın uçsuz bucaksız toplama kamplarına sürüldü uzun yıllar oralarda kaldılar acıklı süreci anlatan nice anı kitapları yazıldı esir olanlardan kurmay yarbay köprülülü şerif lden bey esaret dönüşü yazdığı sarıkamış isimli kitabında enver ağır suçlamalar yöneltti hain cahil tanımladı sarıkamış faciası savaş tarihimizde yerini hezimet aldı
hallere düştük,sevgili okurlarım süre tanık olduğum basit olay türkiye gerçeğini öğretmişti yolda yürüyorum cadde ara sokağın kesiştiği köşede küçük trafik kazası araba birbirine çarptı hemen ardından aracın sürücüsü araçlarından inip sözlü tartışmaya başladı basit kaza ölen yaralanan araçta çamurluklar ezilmiş birinin farı kırılmış olay yerinde sürücüye geçmiş dileklerimi iletmeye çalışıyorum aşamada ilginç gelişme nereden çıktığını anlamadığım sürü kadınlı erkekli tip ellerinde cep telefonlarıyla çekim yapmaya başladı amaçla yapıyorlardı anlamamıştım genç adama sordum çekim televizyon kanalları çekimlere para veriyor yayınladıkları takdirde internet siteleri kuruş veriyor valla aklıma gelmemişti hayırlı işler dileyip olay yerinden ayrıldım gerçek açıktı basit trafik kazasında çekimleri yapanlara mama yoktu olayda ölü yaralı kavga dövüş silah arbede yoktu genç adam sözlerini kendince espri yaparak sürdürdü önümüzde olay olmuyor olay kansız bitti kazandırmadı görüyoruz televizyon kanallarında çekim yer aldı stanbulda cinayet işleniyor olay motosikletle kasklı kişi araca ateş habere sonuç ölü yaralı ölen vatandaşımız yerde yatıyor bacaklarından vurulan şahıs olay yerinden seke seke kaçmaya çalışıyor sonrasını güvenlik kameralarından izliyoruz ateş insanlar ölüyor yaralanıyor çevrede yürümekte kimseler derece soğukkanlı adeta kanları donmuş dönüp bakmakla yetiniyor kadın olay yerinden koşarak uzaklaşmaya çalışıyor olayın can alıcı yönü kısa süre aşamada başlıyor birileri ellerinde kameralı cep telefonlarıyla ölünün kurşunları yiyip öldüğü varsayılan yaralının baş ucunda harıl harıl çekim yaralı yerde kıvranırken çekimciler mutlaka sert ses tonuyla sormuştur vurdu olayın anlat bakalım yayınlanan çekimlerde sesler yazık duyulmuyor sahneleri izlerken ankaradaki basit trafik kazasında çekim yapan ciddi olay çıkmasını uman genç adamın sözleri aklıma kanallar çekimlere para veriyor genç adam söylüyordu hele çekim renkli ölü yaralılar varsa hasar büyükse işin içine kazanç beklentisi giriyordu alacaksın eline telefonunu yerde kıvranan yaralının başucuna gidip anlat bakalım bastıracaksın amatör çekimleri para soracaksınız neredeyse televizyon kanallarında internet sitelerinde çağrı hbar hattımız şudur başvurun ayrı ayrı ihbar bekliyor şin ille kan cinayet vesaire gerekmiyor kanallarda akşamüzeri saatlerinde yer bulan programları izliyorsanız rezaletin büyüklüğünü biliyorsunuz demektir aile dramları karşılıklı akıl almaz suçlamalar yalanlar boynuzlama iddiaları katil arayışları hakim savcı sorgulamalar yalancıktan ağlaşmalar imam nikahları tacizler tecavüzler sahtekârlıklar dolandırıcılıklar ararsanız haklıyla haksızın belli düzmece programlarda fazlasıyla farkında mısınız türk toplumu taa yıllardan geleneklerini örf adetlerini 20 içerisinde deyişle iktidar döneminde fazlasıyla yitirdi bencilleştik hemen tek derdi kendisinin parasal çıkarları particilik siyasi çıkarlar nsanlığımızı yitirdik ahlâk düzeyimiz dibe vurdu burası eski türkiye olmaktan çıktı marifetleriyle övünsünler eski günlerimizi geçmiş yıllarımızı özlem duyarak arıyoruz ulaşmak söz konusu
sabetli tahmin,sevgili okurlarım geçtiğimiz eylül ayında idik seçimlerin zamanını tahmin etmeye çalışıyorduk erken seçim muydu zamanında haziran 2023te yapılırdı günlerde bilmiyordu üstelik kafadan ses çıkıyordu değerli arkadaşımız gazetenin parlamento büro şefi veli toprak la oturup konuştuk 2023 yılı takvimini önümüze açtık günleri tarihleri önümüze serip incelemeye başladık sırada seçim 14 mayısta olabilir tahminde bulunan yayın organı yoktu oturup aşağıda okuyacağınız 14 mayıs yazısını yazdım akıl mantık gazetecilik deneyimleri güne yönlendiriyordu seçimler erkene alınacaksa olasılık 14 mayıs karşımıza çıkıyordu müneccimlik kehanet çokbilmişlik mütevazı iddiasız tahmindi gelin görün tutmuş şte eylül 2022 tarihli yazım başlığı seçim 14 mayıs günü şte yazı sevgili okurlarım kulislerde gezinen edindiğim bilgilerle komplo teorileriyle ilgilenen gazeteci değilim kulağıma ciddi sızıntı geldi üzerinde durulmayacak hemen özetliyorum geçtiğimiz günlerde partisinde toplantıda seçim tarihi konuşulurken recep bey soruyor 14 mayıs desek sorun tiraz halleri iyi diyorlar 14 mayıs 2023 tarihin özellikleri lki demokrat parti adnan menderes 14 mayıs 1950 seçimlerinde iktidara gelmişti partili hayata geçişin simgesi tarih kabul edildiği takdirde bol bol menderes sömürüsü yapılacak idam yeniden gündeme taşınacak ruhuna dualar kincisi 14 mayıs 2023 ramazan ayı sonrasına denk ramazan 23 mart perşembe günü başlayacak 20 nisan 2023 cuma günü bitecek 21 22 23 nisan günleri bayram 14 mayıs seçim günü kabul edildiği takdirde seçim ramazandan kısa süre yapılmış olacak anlamını türk seçmeni iyi bilir ramazan ayı boyunca türlü din ticareti din sömürüsü başta iktidar partisi siyasetçi takımı bol bol yapılacak siyasete alet edilen iftar şovları sahur gösterileri abdestsiz namaz kılmalar aynen türkiyede seçim öncesinde din iklimi yaratılmış olacak anlamı şudur seçim 14 mayıs günü yapıldığı takdirde akp iktidarı taşla kuş vuracak adnan menderes sömürüsü ramazan nedeniyle din sömürüsü seçim çalışması tercih iyi uygun zamanlama
şundan çeşitli gerçekler,sevgili okurlarım türkiye döneminde acayip olmaması gereken olaylarla dolu ülkeye dönüştü gerçeği somut biçimde görebilmek sırada gazete okumak televizyonlara bakmak yeterli toplumda konuda ciddi kargaşa dönemi yaşıyoruz adına devlet denilen kurum iktidarın elinde konuda akp iktidarına çalışıyor hizmet veriyor türkiyede cinayet işlendi ülkü ocakları eski başkanı sinan ateş ankarada öldürüldü neydi cinayet sorduran olay gerçekten neydi katiller kimdi ortada polisiye vaka şin boyutu herhalde çözülecektir işin siyasi boyutu önem kazanıyor koalisyonun ortağı akp mhpden ses çıkmıyor böylesine suskunluğa büründüler varsayalım cinayet örneğin chp iktidarı döneminde işlenmişti yemin söylüyorum kıyametler kopardı milyonlarca insanımızı yurtsever ülkücüleri sokaklara döker kaba şiddet kullanıp protesto gösterileri yaptırırlardı türkiyenin yanında sloganlar attırırlardı katil iktidar recep bey gerekse devlet bey konuda ağır suçlamaları gündeme getirirdi devlet bey böylesine sessiz öldürülen sinan ateşle arasında sorun üst düzeyde görev verdiği ülküdaşının cinayete kurban gitmesi konusunda böylesine sessiz tepkisiz kalması devlet beye yakıştı soru cinayet konusunda adına yandaş medya denilen iktidarın avukatlığına soyunan havuz medyası suskun ah bilebilsek sevgili okurlarım diyorum türkiye tuhaf ülkeye dönüştü haber medyaya servis geçen yılın ithalat ihracat rakamları konuda rakamların üzerinde oynamak mümkün servis edilen haber anında televizyon kanallarında manşetten verilmeye başlanıyor hracatta rekor hracatımız dolara kardeşim ithalat rakamı fazla artmış rekor kırmış cari açık rekor kırmış şin boyutlarını milletten gizliyorlar göz yalan söylüyorlar devlet yönetiminde utanma sıkılma millete açık yalanlar söylenmez bunlarda kavramlar enflasyon başımızın belası fiyat artışları baktılar normal yollardan düşürmeleri mümkün olmuyor polisiye önlemlere başvurmaya başladılar zamlar birbiri ardına patlıyor polisiye önlemler alınıyor market yönetimleriyle bire konuşmalar yapılıyor toptancılar marketçiler anlamda açıkça tehdit zam yaparsanız üzerinize maliyecileri göndeririz hemen vergi denetimine alınırsınız pişman olursunuz marketlere baskı uygulamışlardı belediye zabıtalarını gönderdiler olmayınca bakanlık müfettişleri gönderildi gördüler fiyatlardaki artış hızının anlamsız baskılarla düşürülmesi mümkün değildir ellerinde baskı aracı kaldı devreye soktular yandaş medyaya ilan vermeniz gerekiyor neyi izliyor olursanız olun ilanlara dikkat edin şok a101 bim yandaş medya ister gazete ister internet televizyon irili ufaklı ilanlarıyla dolu paralar kazanıyorlar oralardan aldığımız tüketim mallarının et süt peynir meyve sebzenin fiyatları allaha iktidar patronlarının insafına emanet fiyat düşmüyor bırakın düşmesini yana sabit kalmıyor giderek artıyor adam konuşuyor asgari ücrete maaşlarına zam yapıldı kusura bakmasınlar beleşi bırakıp ceplerinden yemeyi öğrensinler sevgili okurlarım bölümde adına siyasi ahlak denilen kavramdan kısaca söz edeyim haberi dün gazetenin arka sayfasında okudum slovenya meclis başkanı urska klakocar zupancic konserini izlemek komşu ülke avusturyanın başkenti viyanaya uçmuş özel geziye devletin uçağı gitmiş vay yaparsın özel iş devletin uçağını kullanırsın sürü ağır eleştiriler yapılmış kardeşim boşa tüketiyorsunuz bizimki yanına kadrolarını doldurup katara devletin uçağı maç izlemeye gitmedi dedim acayip ülke olduk
