Başlık,Metin
chp dem parti ağırel soykan,chp demokratik laik sosyal hukuk devleti rejimini korumak parlamenter demokrasiye dönmek eylemlerini söylemlerini sürdürürken şahsım devleti önlemek amacıyla baskılarını zulmünü tırmandırıyor sonunda hesaplaşma kuşkusuz seçimlerde sandıkta olacağı şahsım devleti siyasal strateji dem parti aracılığıyla kürt oylarını yanına çekmeyi hedeflemiş görünüyor yandan dem parti aracılığıyla mralı kandil temas kuruyor dem partiyi uygulanan baskılara zulme sessizleştiriyor yandan medya chp üzerindeki baskıyı zulmü tahammül edilemez düzeylere tırmandırıyor yasadışı bahis soruşturmasından hapiste kişinin şikâyeti dün saat 13te savcılığa gitmeleri kararlaştırılmış gazeteci sabah baskını evleri aranıp dijital araçlarına el konularak gözaltına alınıyor şletmeler memnuniyet paraşüt öneriyor paraşüt muhasebe kayıt ol türkiyede süreç çerçevesinde dem parti temsilcilerinin cumhurbaşkanı görüşecekleri timur soykanın gazetecilik ödülü alacağı yıllardır hapiste hdpnin 2014 cumhurbaşkanı adayı selahattin demirtaşın doğum gününde ktidar şahsım devleti rejimini ayrı koldan aşamaya tırmandırıyor siyaseti yargı aracılığıyla baskı altına alıyor dem partili chpli belediye başkanlarını görevden uzaklaştırıyor kısmını hapsediyor kısmının kayyım atıyor ekrem mamoğlunu hapse atıyor chpnin cumhurbaşkanı adayı erdoğan akp iktidarını stanbulda hezimete uğratmış başarılı belediye başkanını hapse atıyor parti üzerinde çeşitli baskılar oluşturuyor medya üzerindeki baskıları yoğunlaştırıyor örneği dünkü murat ağırel timur soykan olayı biçimde haksızlık hukuksuzluk yoğunlaştırılıyor demokratik direniş boykotlara katılanlara gençlere haksızlık hukuksuzluk chpnin rejimini korumak demokratik laik sosyal hukuk devletini yeniden işletmek amacıyla düzenlediği direniş protesto eylem mitinglerine katılanlara gençlere yönelik haksızlık hukuksuzluk adaletsizlikleri yoğunlaştırarak toplumu korkutmak sindirmek istiyor yazarı murat ağırelin kitaplarından havala adını taşıyor kara paranın yörüngesini kara para aklama yöntemlerini dönen dolapları anlatıyor birgün yazarı timur soykanın kitabının adı baron stilası özetle türkiyenin dünya mafyasının üssüne dönüştüğünü uyuşturucu baronlarını anlatıyor ikisi kırmızı kedi yayınevi yayını kitapları okuyarak iktidarın rejimin değişmesi gerektiğini iyi anlayabiliriz
faşizme direnişin 10 adımı,kitleler faşizme harekete geçirilebilir işin psikolojisi sosyal psikolojisi sosyolojisi nedir faşizme seferberliğin birinci koşulu bireyin örgütün toplumun bağımsızlığını özgürlüğünü varlığını tehlikede görmesidir faşizmin yarattığı tehlike tarihten günümüzden verilen örneklerle anlatılmalıdır konudaki iyi yardımcı faşizmin kendisidir faşizm bireye topluma zulüm yapar tehlikenin kendisinin tehdit oluşturduğunu bizzat mevcut uygulamalarıyla anlatır faşizme direnişin ikinci koşulu hayati tehlike faşizm yarattığı tehlikeler hakkındaki bilgi davranış eğitimdir şletmeler memnuniyet paraşüt öneriyor paraşüt muhasebe kayıt ol başlık altında yazıya sığmayacak davranış eğitim propaganda konusundaki genel ilkeler devreye girer ihmal edilmeyecek ilke faşizmin yalanlarına derhal gerçeklere uygun yanıtlar verilmesidir faşizmin düşmanları örgütü dışındaki siyasal partiler sendikalar barolar meslek örgütleri bilim sanat kuruluşları üniversiteler demokratik toplum örgütleridir ele geçirmeye ele geçiremediklerini etmeye çalışır faşizmle mücadelede öncelik varlıkları demokratik rejime bağlı siyasal partilerin sendikalarındır üniversiteler sanat bilim hukuk meslek demokratik toplum örgütleri faşizme direnen siyasal partilere sendikalara destek olmalıdırlar faşizme eğitim propaganda örgütlenme etkinlikleri geniş kitlelerin katılımlarıyla sürekli yapılacak toplantılar mitingler konferanslar seminerler eğitimler yürüyüşler boykotlar aracılığıyla yaygınlaştırılmalı canlı tutulmalıdır toplumsal direniş bireylerin direnişe katılmaları koşul direnişin haklılığı meşruiyetidir faşizme direnişin haklılığı meşruiyeti evrensel hukuk evrensel ahlak açısından insanlık tarihi demokratik rejim ilkeleri belirlenir faşizmin tehdit oluşturduğu ülkenin siyasal tarihi ahlakı anayasası faşizme oranda konuda ciddi kaynak işlevi görebilirler başarı umudu direnişin uzun dönemli olmasının öğelerinden biridir demokratik rejimin demokratik iktidarın olanaklı gelecekte rejimin kurulabileceği umudu faşizme direnişi yıllarca sürdürebilir yoksulluk baskılardan bıkkınlık bıçağın kemiğe dayanması kaybedecek şeyleri kalmayan bireylerin toplumsal eyleme katılmasındaki öğelerden biridir faşizmin gücü zafiyetidir uyguladığı kitlesel baskıların cezaların tarihsel güncel gerçeklere aykırı hukuksuz haksız adaletsiz bireyleri haklı isyana sevk eder direnişi gerçekleştirenler arasındaki dayanışma destek eylemin yaygınlığını sürekliliğini sağlar örgütlerin aralarında bireylere yönelik gerçekleştirdikleri maddi manevi yardım dayanışma etkinlikleri bireylerin katılımını arttırır direnişi güçlendirir faşizmden hesap sorma hedefi direniş seferberliğinin yoğunluğunu ömrünü uzatır hesap sorma hedefinde hak hukuk adalet meşruiyet ilkelerinin dikkate alınması katılımı direnişi güçlendirir öğelerin eşgüdümünün sürekliliğinin cesur zamanda iyi hatip güvenilir lider sağlanması önemlidir lidersiz direniş güçsüz etkisizdir ey okur nsanlık eninde sonunda er geç faşizm hastalığını mutlaka yenecektir kahrolsun faşi zm emperyali zm yaşasin özgürlük eşi tli k adalet not chp kurultayinin değerlendi ri lmesi perşembeye
barış faşizmle demokrasiyle gelir,terör ırk millet din mezhep kimlik adına yapılırsa yapılsın baskıya korkutmaya şiddete cinayete dayalı faşizmin aparatı doğrudan bizzat kendisidir terörist örgüt devlet meşrulaştırmak faşist uygulamalarını haklı göstermek karşısında faşist örgüt faşist devlet yapısı arar yapı yaratmaya çalışır beceremezse karşısında hayali faşist devlet hayali faşist örgüt yapısı savaştığını öne sürer ç barışı sağlamak teröre faşizme iyi mücadele demokratik devletler demokratik ktidarlar demokratik partiler demokratik örgütler demokratik ilkeler aracılığıyla yapılır türkiye cumhuriyetinin karşılaştığı terör belası ayrılıkçı faşist irkçıların demokratik laik sosyal hukuk devletine saldırması biçiminde ortaya çıkmıştır arkasında global güç kuvvet türkiye cumhuriyetini bölmek bölmek olanaklı olmazsa zayıflatmak isteyen emperyalizm vardır şletmeler memnuniyet paraşüt öneriyor paraşüt muhasebe kayıt ol ç barış terörizm faşizmle iyi mücadele istismar ettikleri din mezhep ırk kimliklerinin demokratikleştirilmeleri gerçekleştirilir faşist terörist dincilik ırkçılık ayrımcıdır bölücüdür saldırgandır savaşçıdır ırk milletlerin haklarına saygılı değildir jenoside eğilimlidir demokratik dindarlık yurtseverlik uzlaşıcıdır birleştiricidir barışçıdır ülkesine haksızlık edilmesine karşıdır faşist terörist dincilik ırkçılık dinin mezhebin ırkın üstünlüğü anlayışına dayanır demokratik dindarlık yurtseverlik dinlerin mezheplerin ırkların milletlerin eşitliği anlayışına dayanır faşist terörist dincilik ırkçılık ülkesinde dünyada olaylara dini mezhebi etnik aidiyeti açısından bakar demokratik dindarlık yurtseverlik ülkesinde dünyada olaylara temel hak özgürlüklere uygunluk bağlamında ülkesinin halkının çıkarları açısından bakar faşist terörist dincilik ırkçılık dininden mezhebinden ırkından milliyetinden görmediği insanları kendisiyle eşit kabul etmez toplum eşit siyasal haklara sahip olmasını engeller demokratik dindarlık yurtseverlik dininden mezhebinden ırkından milliyetinden insanları kendisiyle eşit siyasal haklara sahip vatandaşlar kabul eder faşist terörist dincilik ırkçılık insanları tutmak ülkenin birlik beraberliğini sağlamak düşman arar kin nefret öğelerini kullanır baskıcıdır totaliterdir din mezhep ırk millet düşmanları vardır demokratik dindarlık yurtseverlik insanları tutmak ülkenin birlik beraberliğini sağlamak insanların dostluk refah barış eşit vatandaşlar birlikte yaşamalarını gerçekleştirmeye çalışır demokratik değerleri insan haklarına dayalı hukuku kullanır baskıya baskıcılığa karşıdır din mezhep ırk millet düşmanları yoktur mustafa kemal atatürk mutlu türk olana mutlu türküm diyene türk milletini misakı milli sınırları içindeki türkiye cumhuriyetini kuran türk halkına türk milleti denir tanımlayarak faşist milliyetçiliğin demokratik milliyetçiliğin yurtseverliğin temellerini atmıştır aparat cihaz alet gereç malzeme aygıt aparat genellikle makinelerin cihazların yer alan performansını artıran ömrünü uzatan küçük parçalara denir
faşizmin toplumu delirtmenin 10 koşulu,günlerde yaşananlar kimseye allahım aklımı koru dedirtti toplumu delirten sürecin tesadüfi kasıtlı düşünüyorum delilik kısa genel tanımla nesnel gerçeklikten kopuştur bireyin delirmesi yaşadığı nesnel gerçeklikten kopmuş anlamına gelir faşizm toplumda toplum delirtilirse gerçeklerden kopartılırsa egemen toplum delirtilir korkutmak belirsizlik yaymak toplumda sürekli korku yaratılmalı insanların mantıklı düşünme sağlıklı kararlar alma becerileri bozulmalıdır şletmeler memnuniyet paraşüt öneriyor paraşüt muhasebe kayıt ol terörizm ekonomik çöküş salgın hastalıklar dış güçler tehditler sürekli gündemde tutulmalıdır bunlardan kimsenin bağışık an tehlike altında algısı yayılmalıdır propaganda manipüle etmek medya sosyal medya aracılığıyla toplumun düşünceleri yönlendirilmeli gerçekler çarpıtılmalı halkın kolektif bilinci etkilenmelidir sürekli propaganda kesilmemeli çıkanlar cezalandırılmalıdır bölmek kutuplaştırmak toplumda gruplar birbirine kışkırtılmalı etnik dini sosyal gruplar arasında nefret yaratılmalı dengesi bozulmalı birbirine nefrete şiddete yönlendirilmeli birlikte yaşama iradesi ortak değerler edilmelidir bilgi kirliliği yaratmak güvenilir bilgilere ulaşmak olanaksızlaştırılmalı insanlar bilgi yalanlarla yönlendirilmelidir konuda birbirini tutmayan bilgiler veriler açıklanmalı bilgi açıklaması toplumun nesnel gerçekliklerine aykırı olmalıdır toplumun karar verme süreçleri olumsuz etkilenenir toplum gerçeklikten kolay kopar toplumsal ekonomik çökertmek ekonomik krizler işsizlik gelir adaletsizliği geçim sıkıntısı faktörler bireylerin toplumun psikolojik sağlığını etkiler sürekli maddi manevi zorluklar yaratılmalı toplumun genel ruh hali bozulmalıdır nsanlar sürekli yoksullaştırılmalı eğitim sürekli anlamsızlaştırılmalı sağlık hizmetlerine ulaşım zorlaştırılmalı sosyal güvenlik yetersizleştirilmelidir adaletin yoluyla psikolojik baskı manipülasyon toplum tek tek bireyler sürekli tehdit algısı altında tutularak insanların normal düşünme tepki verme biçimleri bozulmalı yasalar kurallar şiddet kaba kuvvet egemen kılınmalıdır konularda hemen hemen zamanlarda uygulamalar yapılmalı değişik kararlar verilmeli bireylerin toplumun güvenlik güçlerine adalete güven duygusu edilmelidir toplumsal zolasyon nsanlar birbirlerinden toplumsal bağlardan destek sistemlerinden izole edilmeli türlü örgütsel ailesel toplumsal dayanışma psikolojik destek ilişkileri edilmelidir izolasyonla bireylerin toplumun kırılgan hale gelmesi sağlanmalıdır gelecekten umudu kestirmek toplumu oluşturan bireylerin toplumun gelecekten umutları kesilmelidir liderlere partilere güveni etmek toplumu kurtaracak sorunları çözecek örgütlere partilere liderlere karakter suikastları yapılmalı edilmelidir 10 bireyler çin kurtuluş olanağı bırakmamak eğitim almak çalışmak dürüst güvenilir geleneksel başarı yolları edilmelidir toplumun akıl sağlığı korunur faşizm engellenir pazar günü
chp geç uyanınca,cumhurbaşkanı adayı ekrem mamoğlunun diploması haksız hukuksuz iptal edilip hapse atılınca chp nihayet demokratik laik sosyal hukuk devletini korumak konusunda uyandı geç kalındığı direniş kullanılacak araçlar sınırlanmış kısıtlanmıştı ktidarın denetlenmesi sınırlanmış kısıtlanmış örneğin anayasada bağımsız yazılan gereken yargı doğrudan doğruya cumhurbaşkanına bağlanmıştı hemen hemen medya istisna hariç iktidarın denetimine tabi kılınmıştı özerk kurumlar dahil bürokrasi cumhurbaşkanının kişisel emrine verilmişti üniversiteler yök üzerinden cumhurbaşkanına bağlanmıştı 23 yıllık ktidar döneminde 35 yaş nüfus şahsım devletinden yapı görmemiş devlet korkusu saygısı doğrudan doğruya iktidar özdeşleştirilmişti mamoğluna haksızlık hukuksuzluk chpyi nihayet geç uyandırdı liderlik kadrosunu değiştirmiş süre eski uykusunun mahmurluğunu sürdürdükten rejimini demokratik laik sosyal hukuk devletini korumak ekrem mamoğluna haksızlık hukuksuzluk üzerinden özgür özelin liderliğinde harekete geçti gecikme sonuçları doğurmuş görünüyor cumhuriyeti demokratik laik sosyal hukuk devletini korumak isteyenler chpyi aştı demokratik tepkilerde önüne geçti parti toplumu hareket geçirmek konusunda sıkıntıyla karşılaşmadı çoktan aşmış toplumsal birikimi kanalize etmekte güçlük çekmedi ktidar 23 yıllık yönetimiyle demokratik anayasal barışçı direniş yollarını sınırlamış kısıtlamış chpnin bugünkü direnişi iktidarın sertleşen tepkilerine yol açtı insan hapse atıldı geç başlatılan direniş otoriter gidişatı engellemek isteyenlerin gözünde ekrem mamoğlunu özgür özeli işlevsel yıldızlaştırdı chp 2023 seçimlerinde demokrasiyi savunmak çeşitli parti toplumsal kesimlerde bulduğu müttefikleri seçimi kaybederek düş kırıklığına uğrattığı öteki partiler toplumun geniş kesimlerinden destek görmekle birlikte kuşku izlenen liderlik eleştirel biçimde gözlenen duruma düştü chp ekrem mamoğlu önseçimde aldığı sonuçla saraçhane direnişi sırasında milletvekillerini parti örgütlerini iyi kullandığı direnişte başarılı göründü sonuçta siyasal parti genel başkanı hâlâ hapiste b gezi direnişi mağdurları hâlâ hapiste c chpli dem partili belediye başkanları hapiste d chpnin cumhurbaşkanı adayı ekrem mamoğlu hapiste belediye çalışanı iş insanı şirket mensubu gazeteci hapiste f öğrenci direnişe katılanların bölümü hapiste g belediyeye kayyım atandı h televizyonlara cezalar verildi yayınlarına sınırlama kısıtlamalar getirildi haksız hukuksuz uygulamaların gerekçeli haberleri tetikçi iktidar medyasında çarşaf çarşaf yayımlandı karakter suikastları gerçekleştirildi ktidarın sert tedbirler alacağı belirtildi konuda beklentiler yaratıldı j muhalefetin 2028 seçimlerini erkene almak yeterli tbmm sandalyesi kişinin cumhurbaşkanı olabileceğini belirten anayasa hükmüne erdoğan üçüncü cumhurbaşkanı dördüncü aday olmaya hazırlanarak tarafsızlık yemini etmiş olmasına akp genel başkanı kimliği işleviyle hâlâ başımızda şahsim devleti reji ülkeyi yönetemi yor bakalim si yaset çeli şki nasil çözecek
anayasaya darbe süreci,ktidarın anayasaya darbe eylemleri 2007de başladı çeşitli kritik ihlallerle sürdü 10 16 nisan 2017de zirveye zirveden 18 19 mart 2025te mamoğluna darbe devam aşağıda darbe sürecinin kritik eylemi can atalaya darbe konusunda 14 ay yazdığım yazıyı alıntıladım anayasa mahkemesi ni n can atalay konusunda üst üste verdi ği hak hlali kararina 13 ağir ceza mahkemesi yargitay ceza dai resi uymadi yargıtay ceza dairesi anayasa mahkemesinin kararını imzalayan üyeleri hakkında suç duyurusunda bulundu anayasaya uyma yemini etmiş cumhurbaşkanı konuda hakem görevi üstlendiğini söyledi yargıtaydan yana tavır belirtti tbmm başkan vekili akpli eski adalet bakanı bekir bozdağ yargıtay kararını mecliste okutarak atalayın millet vekilliğini düşürdü süreç süresince aralarında hukuk profesörlerinin kişi tutum davranışın anayasayı ihlal anayasaya sivil darbe anlamını taşıdığını anayasayı korumak direnme hakkımızın doğduğunu yazdık şletmeler memnuniyet paraşüt öneriyor paraşüt muhasebe kayıt ol anayasayi hlal uyarisi anayasa mahkemesi başkanı zühtü aslan yargıtay başkanının katılmadığı cumhurbaşkanının katıldığı aymdeki törende yukarıdaki süreç hakkında söyledi temyizden geçerek kesinleşmiş yargı kararlarından anayasa mahkemesinin verdiği karar yorumdan görüş farklılıklarının yorum farklılıklarının bulunduğu gerekçesiyle anayasa mahkemesi kararlarına uyulmamasının anayasal yasal zemini temeli yoktur hukuk devletinde katılmasak kararlara uyulması anayasal zorunluluktur anayasanin hlal edi len maddeleri anayasa madde 153 anayasa mahkemesi kararları resmi gazetede hemen yayımlanır yasama yürütme yargı organlarını idare makamlarını gerçek tüzel kişileri bağlar anayasa madde 104 cumhurbaşkanı anayasanın uygulanmasını devlet organlarının düzenli uyumlu çalışmasını temin eder cumhurbaşkanlığı yemini anayasaya bağlı kalacağıma türk milleti tarih huzurunda namusum şerefim ant içerim milletvekilliği yemini hukukun üstünlüğüne anayasaya sadakatten ayrılmayacağıma türk milleti önünde namusum şerefim ant içerim anayasa me emanet m koruyacak anayasanın başlangıç bölümünde demokrasiye aşık türk evlatlarına verilen görev türk vatanı milletinin ebedi varlığını yüce türk devletinin bölünmez bütünlüğünü belirleyen anayasa sözüne ruhuna saygı mutlak sadakatle yorumlanıp uygulanmak türk lleti tarafindan demokrasiye âşık türk evlatlarının vatan millet sevgisine emanet tevdi olunur anayasa madde 148e anayasa mahkemesine verilen görev anayasa mahkemesi cumhurbaşkanını türkiye millet meclisi başkanını cumhurbaşkanı yardımcılarını bakanları anayasa mahkemesi yargıtay danıştay başkan üyelerini başsavcılarını başsavcıvekilini hakimler savcılar kurulu sayıştay başkan üyelerini görevleriyle suçlardan yüce divan sıfatıyla yargılar anayasayi korumak çi n di renmek görev başta iktidar kaydıyla varlıklarını meşruiyetlerini anayasadan alan siyasal partilerin görevidir ktidar bırakın anayasayı korumayı tersine ihlal ediyorsa anayasayı korumak direnmek anayasa mahkemesinin öteki yargı organlarının siyasal partilerin devlet kurumlarının vatandaşların görevidir yerde anayasayı korumak direnmeli anayasa mahkemesi yetkili mahkemeler anayasayı ihlal suçu işleyenleri yargılamalıdır susan hukuk fakülteleri hukuk profesörleri utansin
haklılığın umudun örgütün şahlanışı,chpnin dünkü maltepe mitingi özgür özelin aştığını türkiyenin siyaset tarihinde demokratik direniş eyleminin başladığını gösterdi ktidarın 18 19 mart 2025 sivil darbesine chpnin örgütlediği eylemde demokratik barışçı devrimci halk direnişinin koşulu birden haklilik meşrui yet umut örgüt 23 yıllık ktidar demokratik laik sosyal hukuk devletine dayalı rejimini rejimin mantığına tutarlılığına aykırı anayasa değişiklikleri anayasaya uymayan uygulamalarıyla tahrip etmişti özgür özel liderliğindeki chp tahribata harekete geçmiş bulunuyor ktidarın 2007den demokratik laik sosyal hukuk devleti rejimini tahrip çeşitli sivil darbelere chpnin yetersiz pasif tutumu geç kalmış direniştir şletmeler memnuniyet paraşüt öneriyor paraşüt muhasebe kayıt ol özgür özel geçmiş siyasal kariyerindeki eksik yanlışları telafi biçimde olağanüstü liderlik göstererek direniş tarihsel başlangıcın işaretini vermiştir şahsım devletinin demokratik laik sosyal hukuk devleti rejimini tahrip etmesini engellemek yapıldığından demokratik direniş eylemi haklılık meşruiyet kazanmıştır biliyorsunuz demokratik rejimlerin belirleyicisi umuttur seçmen sandığa gittiğinde umut oy verir şte 2023 genel seçimleri 2024 yerel seçimleri ülkenin başta adil yargılanma hakkı özgürlük hakkı fade özgürlüğü mülkiyet hakkı kaydıyla temel hak özgürlüklerini zedeleyen 23 yıllık erdoğan akp iktidarından kurtuluş umudunu yeşertti dünkü maltepe mitingi umudun beslediği demokratik direnişin başlangıcını simgeliyordu ktidar umudu etmek haksızlık hukuksuzluklara şiddete başvuruyor başaramayacak özgürlük adalet eşitlik umudu edilemez 2007deki mitingleri başlayan 2013teki gezi direnişi devam 2017de hukuk dünyasında sonuç doğurmayan anayasa değişikliği sırasındaki yasalara aykırı kararlara chp kullanılamayan 2017deki adalet yürüyüşü doruk noktasına ulaşan hemen sonrasında beceriksizlik nedeniyle sönümlendirilen demokratik barışçı halk direnişleri nihayet chpnin uyanması kararlı örgüt liderliğine kavuştu bugüne halkın tepkilerinin gerisinde kalan tür demokratik tepkileri sönümlendiren chp olma tehlikesiyle karşıya kalınca mamoğlu özel ikilisinin liderliğinde uyandı silkindi harekete geçti ktidarın bugüne başarıyla engellediği halk direnişindeki haklılık meşruiyet umut örgütsel liderlik üçlüsü araya geldi siyaset bilimi tarih öğenin birleştiği demokratik hak direnişlerinin önlemeyeceğini gösteriyor
faşizmle savaş,faşizm mikrop bakteri virüs özellikleri taşır bağımsız yaşayabilir organizmanın içine girdiğinde hücrelerini kullanarak çoğalır çine girdiği organizmayı sömürür kemirir eder toplumsal hastalık yaratan siyasal mikrop onunla siyasal toplumsal bireysel savaşmak gerekir faşizm mikrobu toplumu siyasal rejim ele geçirdiği onunla savaşmanın siyasal ilacı demokrasidir faşizmle mücadele siyasal ilke bağlamında yapılmalıdır adil şeffaf periyodik seçimler b ktidarın eylem söylemlerinin başta ifade muhalefet medya özgürlükleri temel nsan hak özgürlüklerine uygun bunlara aykırı programı partilere aykırı davranan iktidarlara izin verilmemesi şletmeler memnuniyet paraşüt öneriyor paraşüt muhasebe kayıt ol c koşulun uygulanmasını sağlayacak bağımsız yargı bağımsız anayasa mahkemesi faşizm mikrobu toplum ürediği onunla mücadelede toplumsal değişmemin eğitim örgütlenme evrensel aracı kullanılmalıdır eğitim dünyadaki ileri teknolojik bilimsel temellerin aktarılacağı çağdaş eğitim temel nsan hak özgürlüklerinin başta emperyalizm faşizm demokrasi kaydıyla siyasal rejimlerin ideolojilerin ekonomik uygulamaların ideolojilerin savaşların tarihleri insanlığın ödediği bedeller anayasada belirtilen demokratik laik sosyal hukuk devleti tanımı tanımın anlamı stiklal savaşı mustafa kemal atatürk devrimi konuda dünyada neler bittiğini izlemek konuda köy enstitüleri evrensel örnek birleşmiş milletler önerilen modeldir b örgütlenmek emperyalizme sömürüye eşitsizliğe laikliği demokratik hak özgürlükleri korumak adaleti savunmak yukarıda belirttiğim eğitimi sağlamak dayanışmayı gerçekleştirmek siyasete ağırlık koymak demokratik toplum örgütleri halinde örgütlenmek faşizme emperyalizme siyasal partilerle işçi sendikalarıyla barolarla meslek örgütleriyle benzer demokratik toplum örgütleriyle dünyadaki benzer örgütlerle dayanışmak işbirliği ortak eylem faşizm bireylerin ruhlarını ele geçirerek çoğalan mikrop olduğundan bireysel onunla mücadele edilmelidir ahlak kendimiz başkaları temel hak özgürlüklere saygılı olmalı çocuklarımızı yetiştirmeliyiz meslek ahlakını savunan örgütleri desteklemeliyiz b adalet yerde adaleti savunmalı çocuklarımızı yetiştirmeliyiz adaletsizliklere çıkmalı mücadele etmeliyiz c cesaret ahlaklı adil kişiler cesur olmalı faşizme direnmek konusunda söylem eylem konularında korkak davranmamalı çocuklarımızı yetiştirmeliyiz d çalışkanlık eğitim örgütlenme üzerimize düşen görevleri getirmeli an yerde faşizmle mücadele etmeli çocuklarımızı yetiştirmeliyiz destek boykot günlük yaşamımızdaki harcamalar ilişkiler gazete televizyon izlemeleri açısından faşizmden yana olanları boykot etmeli demokrasiden yana olanları desteklemeli çocuklarımızı yetiştirmeliyiz konuda ayrıntılı bilgilenmek ülkemizde bitenleri öğrenmek faşizme mücadele etmek istiyorsak okumalı çalışmalıyız di ren demokratik manifesto çimizdeki zalim adlı kitaplarımla başlanabilir faşizmin kitle ruhu devam edilebilir unutmayin aşk gi bi başari gi bi özgürlük özen çaba gerekti ri r
gençlik insanlık mutlaka kazanacaktır,gençlerin bazılarını edebilir öldürebilirsiniz gençlik sürekli edebilir öldürebilir gençlerin bazılarını hapsedebilirsiniz gençliği sürekli gençlerin bazılarını susturabilirsiniz gençliği sürekli gençlerin bazılarını aldatabilirsiniz gençliği sürekli gençlerin bazılarının beyinlerini yıkayabilirsiniz gençliğin beynini sürekli gençlerin bazılarını durdurabilirsiniz gençliği sürekli şletmeler memnuniyet paraşüt öneriyor paraşüt muhasebe kayıt ol gençlerin bazılarını satın alabilirsiniz gençliği sürekli gençlerin dönek olabilir gençlik sürekli gençlerin korkabilir gençlik sürekli gençlerin bazılarını köleleştirebilirsiniz gençliği sürekli nsanların bazılarını edebilir öldürebilirsiniz nsanlık sürekli edebilir öldürülebilir nsanların bazılarını hapsedebilirsiniz nsanlığı sürekli nsanların bazılarını susturabilirsiniz nsanlığı sürekli nsanların bazılarını aldatabilirsiniz nsanlığı sürekli nsanların bazılarının beyinlerini yıkayabilirsiniz nsanlığın beynini sürekli nsanların bazılarını durdurabilirsiniz nsanlığı sürekli nsanların bazılarını satın alabilirsiniz nsanlığı sürekli nsanların dönek olabilir nsanlık sürekli nsanların korkabilir nsanlık sürekli nsanların bazılarını köleleştirebilirsiniz nsanlığı sürekli gençlik insanlık daima özgür eşit bağımsız adil toplum arayacak gençler insanlar gerekirse idealler ölümü göze alacaklardır kahrolsun faşi zm kahrolsun emperyali zm not yazı politikacılar polisler savcılar yargıçlar yaştaki gençler nsan olanlar çin yazılmıştır
chp uyanırken,chpnin demokratik laik sosyal hukuk devletine sahip çıkan olağanüstü kurultayı geç kalmış uyanış kuşkusuz uyanış chp kurultayda rejiminin kurtuluşu yeniden toplumsal umudu temsil parti kimliğine geri dönmüş görünüyor dilerim rejimi bizzat kendisinin varlığını tehdit iktidara türkiyenin 300 yıllık bağımsızlıkçı eşitlikçi özgürlükçü çağdaş mücadelesinin bayrağını hakkıyla taşıyabilir sütunda chpyi eleştiren yazı yazıldı hatalarına eksiklerine rejimini kurtarabileceği umudu seçimlerde chpye destek verildi chpnin eksiği toplumun rejimi kurtarma talebini getiremedi 2023 genel seçimlerinde farkla görünse seçimi kaybettiği ilan edildi şletmeler memnuniyet paraşüt öneriyor paraşüt muhasebe kayıt ol üstelik aralarında ergenekon balyoz casusluk kumpas davaları sırasında adalet bakanı 38 politikacıyı chp milletvekili tbmmye soktu rejim üzerindeki tehlikeyi geleceğe uzattı bereket versin parti 2023 seçimlerinden başarısız liderliğini değiştirdi 2024 yerel seçimlerinde birinci parti sırada 2023 2024 seçimlerinde iktidarı kaybettiğini gören erdoğan akp bahçeli mhp hüda par yönetimi medya toplum siyaset üzerindeki baskıları rejim darbesi düzeyine taşıdı darbe yargıyı etki altına aldığı rejim darbelerinden etkisindeki yargı aracılığıyla doğrudan siyasal yaşama siyasal yaşamın vazgeçilmez kurumları siyasal partilere yönelmişti görevden alınan bölümü hapsedilen belediye başkanlarına demin eski eş genel başkanı cb adayı selahattin demirtaşa ti pten milletvekili seçilen can atalaya gezi mahkûmlarına haksızlık hukuksuzluk simgesi haline gelmiş osman kavalaya ilave zafer partisinin genel başkanı prof dr ümit özdağı chpnin cumhurbaşkanı adayı ekrem mamoğlunu hapse attı şte yakın gerçek tehdit karşısında chp nihayet uyandı silkindi geldi cumhurbaşkanı adayı stanbulun başarılı belediye başkanı ekrem mamoğlu genel başkan özgür özel liderliğinde mücadelesine girişti şte kurultay uyanışın parti toplum kurumlaşan yapısını vurguluyor chpnin temel hatası sağla ittifakı yeterli görmeyerek partiyi sağa kaydırmak atatürkçü cumhuriyetçi temellerinden saptırmak ktidar dilini mantığını benimsemek sağcı baskıcı uygulamalarını olağanlaştırmak erdoğan akp hükümetini devlet sanmak saymakla bitmeyecek anayasa ihlallerine boyun eğmek halkın büyüyen demokratik tepkilerine liderlik etmek tepkileri sönümlendirmek tek istisna kılıçdaroğlunun adalet yürüyüşü hariç halkla doğrudan temas kurmamak örgüt ataleti olağanüstü kurultay özgür özel ekrem mamoğlu liderliğinde partinin hatasından kurtulma çabasını siyaset dilini rejimi kurtarmak kararlılığını simgeliyor dilerim çizgisini sürdürür oyulmuş bulunan demokratik laik sosyal hukuk devleti niteliğindeki rejimi olacaktır
