Başlık,Metin
akp titaniktir,titanik filmini hatırladınız başrollerini leonardo dicaprio kate winslet in paylaştığı ünlü filmi izlemeyen gibidir titanik lüks yolcu gemisidir dalgalara aldırmaz fırtınalar durduramaz batması mümkün denen teknoloji harikasıdır 1912 yılında ngiltereden amerikaya gitmek yola çıkar yolcuların hali vakti yerinde insanlardır yolcuların kalbur üstü olanları görkemli yemek salonunda orkestranın müziği eşliğinde akşam yemeklerini yerken titanik buz dağına çarpar kaptan önemsemez titanik su almaktadır hasar ciddidir süre kaptan ekibi durumun farkına varır titanik yavaş yavaş sulara gömülüyordu yolcular vaziyeti anlayınca panik başlar görkemli yemek salonundakiler durumun farkında değildir orkestra çalmaya devam eder gemi sulara gömülene orkestra çalar sahne akpnin anki siyasi durumunu ruh halini mükemmel anlatıyor yüzden akp titaniktir dedim sarsılmaz yenilmez seçim kaybetmez denilen akp gemisi titanik buz dağına çarptı buz dağı 31 mart seçimleriydi buz dağı akpye diyen seçmendi buz dağı hayatından memnun emekliydi işçiydi memurdu esnaftı öğrenciydi buz dağı rejimin değişmesini isteyen milyonlardı buz dağı ekrem mamoğluydu özgür özeldi titanikin kaptanı akpnin kaptanı gemisinin aldığı hasarı önemsemedi onarırım yoluma devam ederim düşündü hasar onarılmayacak büyüktü titanikte alt kamaralarda yaşayanlar çarpmanın şiddetini anlamış kaçışmaya başlamışlardı devasa geminin üst katındakiler vahametin farkında değildi akpde benzer durum yaşanıyor akp seçmeni gemiyi yavaş yavaş terk akp geçen eriyor tepede yaşayanlar sarayda oturanlar akp iktidarının zengin akp iktidarının makam verdiği akp iktidarının paye verdiği kişiler kötüye gidişin farkında akp gemisinin patronu taş ayaktayız sağlamız güçlüyüz muhaliflerin eleştirilerine kulak asmayın laflara aldırmayın akp gemisi titanik sulara gömülecek lk seçimde akpnin kaptanı durumun farkında çare arıyor çare 2002de halk değişim istiyordu 23 halk değişim istiyor değişim talebinin önüne güç geçemez tarihte örneği
ankara kötü zamanda yakalandı neye diyeceksiniz,suriyeye esad gitmekle kalmadı suriye devlet ortada kalmadı ordusu dağıldı darmadağın edildi srail 400 ayrı noktaya binden fazla füze saldırısı düzenleyerek silah gücünü ç güvenliği sağlayacak polisi kalmadı alt yapı kalmadı elektrik su benzin gaz şamın durumu iyi halepte hama humus binaların neredeyse yarısı enkaz yığını yollar köprüler kısaca yanı başımızdan anlamda yıkık dökük ülke ülkenin acilen paraya ihtiyacı ordu kurmak güvenliği sağlamak binaları ayağa kaldırmak birliği bütünlüğü sağlamak ülkeyi ayağa kaldırmak para kimdeyse parayı verirse şam yönetimi sözünü dinlemek zorunda kalacak parayı veren düdüğü çalacak sebeple ankara kötü zamanda yakalandı dedim ankaranın siyasi gücü erdoğanın siyasi ağırlığı türkiye suriyedeki gruplara söz geçirecek kapasitede yere ankaranın parası suudilerin parası bea parası olacağını görmek istiyor ellerini ağırdan alıyorlar acele etmiyorlar ötesi trumpın kararını bekliyorlar paralı arap dünyasının tavrı burası arap yarımadası ran türkiye uzak durmalı türkiye elini sokmazsa para veririz diyebilirler trumpın srailin tercihine bağlı şama el koyan htş sraille arası iyi htş numaralı düşmanı hizbullahı hallaç pamuğu atan srail şii milisleri kovalayan srail htşnin önünü açan srail srailin generalleri subayları satın alarak esadın ordusunun dağılmasını sağladığı söyleniyor srail golan tepelerini yuttu htş sesini çıkarmadı hakkıdır muamelesi tehlike abd srail ikilisi yanlarına zengin arapları suudileri körfez ülkelerini alırsa ankara emevi camiinde rekat namaz kılıp dönmek zorunda kalabilir şamın fiili lideri ahmet eş şara parayı verirse dinlerim havasında ayakta kalmak iktidarını sürdürmek ülkeye hakim olabilmek öncelikli ihtiyacı para dolar
otelin haline göz yumdu,bolu belediyesinin raporuna takılıp kaldı 78 canımızı alan grand kartal oteli 12aralıkta bolu itfaiyesine yangın denetimi başvurmuş denetimden geçemeyince 24 aralıkta başvuru dilekçesini geri çekmiş gündür konuştuğumuz mevzu buradan sorumlu suçlu çıkarmaya çalışıyoruz suçlu tartışmasız otelin sahibi sorumlu net turizm bakanlığı otel geçen tıktım tıklım doluydu 2023 yılında 2022 yılında geriye 10 gidebiliriz soru otele itfaiye tarağından yangın denetimi yapılıp yeterlilik belgesi tarihte verilmiş biliyorsunuz belge başvuru itfaiye veriliyor isteği bağlı belgenin denetim sırasında istenecek belge denetime müfettişlerin sorması istemesi gereken evrak otelin denetleme yetkisi kimde turizm bakanlığında denetlemişler sormuşlar otelde yangın alarmı olmuş duman detektörü ötekiler yangın merdiveni yılların yangın merdiveni turizm bakanı ersoy denetim yapıldı diyorsa yapıldı denetim yapanlar rapor verdi çıkıp açıklasın yıldır bakan sahibi turizm firması oraya müşteri taşıyor otel denetlendi denetlenmedi sorulabilir otelin riskli bilindiği kayırıldı kayırılmadı görülen yangına önlem almamasına göz yumulmuş diyen belgesini koysun ortaya diyeceksiniz otel uzun yıllardır işletiliyorsa sezon açılırken bolu itfaiyesine denetim başvurmuş soru işareti sabah gazetesinde yayınlanan habere şirket oteli sigortalamamış riskli an yanabilir nitekim yandı 78 çan aldı onlarca aileyi toprak diyorum oteli işletenler sigorta yaptırmak amacıyla yeterlilik belgesi itfaiyeye başvurdu herhalde çıkan sonuç tekrarlıyorum suçlu otel sahibi sorumlu turizm bakanlığı
türkiye yargısı,baştan söyleyelim yargı erkinin etkin gücü savcılar eski türkiyede savcılar iddia makamıydı iddialarını delillerle tanıklarla desteklemek zorundaydılar hakimler kuvvetli suç şüphesi delileri etme kaçma şüphesi varsa tutuklama kararı verirdi türkiyede ihtiyaç duyulmuyor savcı derse hakimler genellikle yönde karar veriyor savcı iddia makamı yargılayan makam hakimler savcılara itiraz edemiyor savcıların taleplerini tutuklama ev hapsi adli kontrol yurt dışı yasağı sorgulama duymuyor savcıya delil tanık sormuyor ötesi yasaya tutuklanmasını istiyorsun demiyorlar örnek ayşe barım meclisten geçmeyen etki ajanlığı yasasına tutuklanması istendi yasayla ktidar muğlak yasa maddeleri çıkartıyor savcılar istediği yöne çekebiliyor anlaşılmayan belge bilgiye dayanmayan iddialarla ceza istiyorlar örnek tüsi d başkanı turan k başkanı arasa yurt dışı yasağı konulması talebi tüsi adın üst düzey yetkilisi yapmış çeriğini bilmediği konuda beyanda bulunmuşlar suçlama konunun içeriğini bilmeden konuşmuşlar şimdilik bilmiyoruz savcı biliyor hakim biliyor hakim sorma duymuş bilmem türkiyenin iç dış güvenliğiyle gerçeğe aykırı bilgiler yaymışlar turan aras dediler türkiyenin iç dış güvenliğini zedelediler sanayici işveren çalışan mutsuz demeleri güvenliği zedeledi otel yangınında 78 kişinin ölmesi faciadır demeleri savcı basından öğrendikleri bilgilerle dezenformasyon içerikli ifadeler kullanmakla suçlamış basında çıkan bilgiymiş hakim belli merak etmemiş kısaca madde çeriğini bilmediğin konuda konuşmak türkiyenin iç dış güvenliği yararları aleyhine konuşmak dezenformasyon içerikli ifadelerle konuşmak kısaca konuşmak ktidarın hoşuna gitmediği konuşursan an olabilir erdoğan partisinin grup toplantısında konuşan türkiyenin mimarı söyledi türkiye yargısında uygulama başladı eski türkiyede soruşturma açan savcılar kişileri ifade vermeye davet ederdi kişiler savcıya gider sorulara yanıt verirdi türkiyede durum değişti savcı eve polis ekibi yolluyor polis koluna girerek medyaya fotoğraf vererek ifade vermeye getiriyor gözaltı kararı yakalama kararı savcı istedi deniliyor geçiliyor türkiyede düzen
sert otoriter rejimin altyapısı hazır,belli siyasal iktidar seçime otoriter sert önlemler alacak kişiler kurumlar üzerindeki baskıyı arttıracak kimseye göz açtırmayacak toplantı gösteri yürüyüş hakkını suç sayacak ktidarı eleştirmek suç kapsamına girecek yasal hazırlıkları tamamlanmak yasal uygulamalar ifadeye gözaltına alarak geceyi emniyette geçirterek çağırmak tutuklamak kanıt tanık aramak tutuklamak fetöcü hakim savcı polis çetesinin yargıya soktukları yöntem amaç korku toplumu yaratarak insanları diken üzerinde yaşatmak tutukluluğu sıradanlaştırmaktı uyguladılar toplumu alamaz hale getirdiler yargı müessesesine kötülük suçlanan kişinin suçsuz kanıtlamak zorunda olmasıydı savcılar suçladığı kişinin suçlu ispat etmek durumunda değildi suçlanan kişi masum kanıtlamak zorundaydı türkiye dönemi yaşadı insan ağır bedeller ödedi anında gözaltı acele tutuklama anlayışı sürüyor kaçmaya niyeti insanlar kaçacak yaftasıyla hapse atılıyor dahası birileri tweet atıyor hemen hapse atılıyor cumhurbaşkanına hakaretten hakaret varsa bırak mahkeme kararını versin suç delili tweet apaçık ortada silinecek hali tutuklama tutuklama adı konulmamış ceza savcılık rtükten gezi olaylarının görüntülerini istemiş 12 önceki eylemden suçlu çıkartacaklar galiba sözümüz kameraya yakalanan görüntümüz attığımız slogan nedeniyle başımız derde girer binlerce kişi telaş halindedir binlerce kişinin uykusu kaçmıştır suç üretmek yargının alışkanlığı haline geldi yargı sopasına dönüştü sert otoriter rejime geçtiğimizin belirtileri yasal düzenlemeleri mesela devlet denetleme kuruluna verilen yetki ddk cumhurbaşkanına bağlı cumhurbaşkanı oluşturulan kurul tek adama verilen süper yetkiler denebilir ddk bakanlık valilik belediyeler barolar sendikalar üniversiteler ticaret odaları kamu vakıfları üzerinde yetkili stediği kişiyi görevden alma yetkisine sahip baro başkanını belediye başkanını belediye iştirakindeki görevlileri sivil toplum kuruluşlarının yöneticilerini sendika başkanlarını görevden alabilir gerekçe gerekçe kişinin görevde kalmasının kamu zararına yol açabileceği düşüncesiyle kalmasının sakıncalı bulunması halinde görevine verebilir yöne çekilecek muğlak ifadeler ddk sivil toplum kuruluşunda bulamazsa başındaki kişiyi sakıncalı buldum der kesip atar demokrasiye anayasaya aykırı yasa anayasa mahkemesinden döndü ktidar üçüncüyü zorluyor demek sert otoriter rejim gerekli kurumlar zapturapt yasası kişiler getirilecek yasa adı etki ajanlığı tckdaki casusluk tanımını genişleterek ifadeyi eklediler devlet güvenliği iç dış siyasal yararları aleyhine yabancı devlet organizasyonun stratejik çıkarları talimatı doğrultusunda suç işleyenler hakkında yıldan yıla hapis cezası verilir devletin iç dış yararını belirleyecek yabancı devletin stratejik çıkarları olduğuna karar verecek savcı yasa tbmmden geçmedi uygulamaya konuldu organizatör ayşe barımın etki ajanlığı nedeniyle tutuklanması istendi 2021deki orman yangınlarının söndürülmesindeki aczi dillendirdi yasa çıkmadan uygulaması buysa yasa çıktıktan açılacak defterleri düşünemiyorum etki ajanlığı yasası 12 15 önceye götürülüp yabancı güçlere hizmet ettin talimat alarak yaptın devletin iç siyasal yararları aleyhine söz sarfettin soruşturma furyası başlayabilir olumsuzluğu dillendirenin yolsuzluk dosyası açıklayanın türkiyenin avrupanın pahalı ülkelerinden olduğun söyleyenin başı derde girebilir sert otoriter rejimin alt yapısı hazır demem
trt kurdi öcalanın açıklamasını yayınlamadı,denilecek tarihe açıklamada bula bula buldun trt kurdi ahmet türkün kürtçe okuduğu mesajı yayınlamadı diyarbakıra vana dev ekranlar kuruldu binlerce insan meydanlarda toplandı kürtçe yayın yapan kanal tarihi anı tarih açıklamayı vermedi kürtçe kanal kurdum yıllardır övünüyorsun öcalanın pkkyı lağvettim gruplar silah bırakmalıdır açıklamasını yayınlamıyorsun anlaşılır pkknın ana besin kaynağı insan kaynağı güneydoğu halkıydı 1980li yılların ikinci yarısında 15 yaşına genç dağa çıkmanın yolunu arardı anneler hapisteki çocuklarıyla kürtçe konuşamazdı mahkemelerde kürtçe ifade veremezlerdi tbmmde kürtçe lakırdı edenin sözü kayıtlara anlaşılmaz dil geçerdi mecliste olmasa kürtçe konusunda günleri aştık erdoğanın katkısı 20 yıla yakın süredir terörün bitmese yoğun çaba sarf kah oy kaybettiği süreci askıya aldı kah oy devşirmek süreci hızlandırdı nişli çıkışla yol izledi tahlilde terörün bitmesi elinden gelini öcalan 2014 yılının nevruzunda pkkya silah bırakın türkiye topraklarından çıkın çağrısı yapmıştı kandil kabul etmedi suriyedeki iç savaşa dayanarak rojava kantonunu oluştururuz hayaliyle öcalanın çağrısını reddetti diyarbakırın sur ilçesinde cizrede nusaybinde hendek savaşı başlattı gücünü yerel halktan alıyordu kiminin ağabeyi kiminin kardeşi kiminin amcası kiminin dayısı kiminin babası dağdaydı pkklıydı öcalanın 2014 teki açıklaması coşkuyla karşılanmamıştı öcalanın 2025 teki açıklaması coşkuyla karşılandı kandil dahil rojava dahil destekleyen güçler dahil beslenme kaynağının kesildiğini gördü güneydoğudan dağa çıkan pkkya katılan diyebiliriz yöre halkı duygusal aile bağı nedeniyle hak arayışı nedeniyle pkk kurduğu bağı çoktan kopardı pkk bağını koparmasa öcalanın pkk fesih ettim tarihi sorumluluk açıklaması coşkuyla karşılanmazdı devletin kürtçe kanalı kürt halkına açıklamayı ana dillerinde duyurmadı
teyze amca imza ver gençler hapse atılmasın,chpnin başlattığı imza kampanyası erken seçimi zorlamak mamoğlunun tahliye amacını taşısa yüklendiği anlam niyetten fazla rejimi değiştiren 2017 referandumu ağırlığında imza toplanırsa erken seçim istemek anlamı taşımayacak zamanda rejimin oylanması olacak halk seçmen tek adam yönetimine otokrat rejime devam diyecek buraya deyip kırmızı kart gösterecek mesele sebeple imza kampanyası saraçhane protestosuna katılıp anayasal hakkını kullanan 320 genç tutuklandı şimdilik 80 gençin hapis yatmaları isteniyor yapmışlar polis elbisesi giydirilen bekçilere direnmişler yapmışlar kaskında omuzunda sicil numarası polis elbiselilerle itişmişler kakışmışlar gaz bombası atmalarına tazyikli su sıkmalarına direnmişler safta duranların polis olmadıkları belli kimine paramiliter kuvvet bilemiyorum bildiğim imza türkiyeye değiştirmeye yeter imza türkiyeyi demokrasiye döndürür imza tek adam yönetimine verir imza rafa kaldırılan anayasayı yeniden hayata geçirir imza demokratik anayasayı inşa eder imza yargıyı siyaset vesayetinden kurtarır imza türkiyeyi batı demokrasilerine yakınlaştırır imza ahi m kararlarını uygulamaya sokar imza siyasi hapislere verir imza adalet arayan gençlerin tutuklanmasının önüne geçer imza çiçek açtırır korkma fişlenirim çekinme atacağın imza türkiyeyi değiştirecek demokrasiyi getirecek gençlerin önünü açacaktır üstat düşünür nazım hikmetin yıllar yazdığı şiirin satırını değiştirerek yazıya noktayı koymak istiyorum kapılarınızı çalan kapılarınızı birer birer teyze amca imza ver gençler tutuklanmasın
chpnin zor kararı,hafta gündür chp derdiyle uğraşıyor chpli yan yana gelse konuştukları tek cumhurbaşkanı adayının hemen açıklanması mayıs ayına adayımızı belirlemeliyiz diyenler insanlar cumhurbaşkanı adayımızı görsün ülkeyi yöneteceğin bilsin kişi projelerini açıklasın ülkeyi erken seçime zorlasın tezini savunuyor aday açıklamak erken tezini savunanlar aday açıklamasıyla yakalanacak heyecanın buçuk sürmeyeceğini iddia buçuk seçim havası yaşatmanın zor söylüyorlar simlendirerek söyleyelim mansur yavaş chpnin ülke sorunlarına odaklanması gerektiğini savunuyor ekrem mamoğlu cumhurbaşkanı adayını an belirlenmemeli ülke sorunlarını rahat dile getiririz dün özgür özel ekrem mamoğlu mansur yavaş uzun görüşme parti meclisi toplanarak önseçim yol haritasını belirleyecek pm den karar çıkacağı bilinmez genel başkan yardımcıları myk seçimin hemen yapılmasını istiyor bence yapıyorlar acele ediyorlar panikle karar alıyorlar diyeceksiniz erdoğan oyun planını bilmiyoruz öcalan pazarlık yapıldığından haberimiz öcalanın 15 şubatta diyeceği muamma kandilin rojavanın dem partisinin yapacağı belli chpnin cumhur ttifakının attığı adımı beklemesi gerekmiyor anayasa mahkemesi anayasa aykırı iptal devlet denetleme kurulu yasasını değiştirdi ddk erdoğana bağlı direktif alan kurul sendika başkanlarından sivil toplum kuruluşlarına belediye iştiraklerinden barolara istediği kişiyi görevden alabilecek gerekçesiz görevde kalmanı sakıncalı buldum yasayı çıkartan erdoğanın amacı olmalı tmsf yasası suç gelirini akladığı iddia edilen terörle iltisaklı şirketlere süreyle kayyum atayabilecek ltisak hukuki terim küçük sözü nedeniyle yerlerle iltisaklı ilan edilebilir tbmmden geçmediği savcıların uygulamaya koyduğu etki ajanlığı yasası sakız tarafa çekilecek muğlak ifadelerle dolu devletin iç dış siyasal aleyhine ifade demek demek savcılar istediklerini kapsama sokarlar hayat pahalılığının fakirleşmenin ötesinde memleketi kasıp kavuran sorunlar pazarda yangın çıkmadı memleketin fikir düşünce özgürlüğü yanıyor chp adayı zamanını bekleyip yeter ortaya çıkmalı rüzgarı gücüyle arkasına alınca dalga sörfçüleri yüksek dalgayı yakalayıp hedefe ulaşmayı hedeflemeli erkenden yola çıkıp rüzgarını yaratmalı soru chp adayını mayıs ayında seçimle açıkladı diyelim rakibi ktidar yanlısı medya chp erdoğanın karşısına çıkacak adayı belirleyecek yayın yapıp anketler yayınlıyor anketlerde erdoğan erdoğan aday olamıyor dördüncü aday meclis kararı gerekiyor diyorlar dem yanına çekip 360 oyu bulur erken seçime gider 400 oyla anayasa değişikliği yapar chpnin gelişmeyi akpnin dem ittifak yapıp yapmayacağını beklemesi gerekmiyor
had bildirme dönemi kapansın,diyorlar türk kürt kardeşliği güçlenecek barış olacak silahların gölgesi kalkınca olacak siyasetin kanalları açılacak diyorlar kürtler türkler dönemin başlangıcı olacak diyorlar demokratikleşmenin önündeki engeller kalkacak diyorum işe had bildirmeden başlasak had bildirme dönemi kapansa devletin zirvesinden başlıyor ücradaki köy kahvesine uzanıyor fikrini beğenmediği kişiye haddini bil haddini bileceksin bağırıyor had bildirme işinin öncüsü erdoğan tüsi adın başkanına haddinizi bilin bağırdı ana muhalefet partisi genel başkanını haddini bileceksin fırçaladı had bildirme meselesi tskya sıçradı milli savunma bakanı genelkurmay başkanı kara deniz kuvvetleri komutanları chp genel başkanına haddini bildirmek dava açtı sürtüşmelerinin nedeni süre hadlerini bildirdiğimiz teğmenler teğmen kılıç çattılar atatürkün askeriyiz bağırdıkları ordudan atıldılar ikisi birden net sonuçta disiplinsizlik kamuflajıyla hadleri bildirildi yüksek disiplin kurulunun üyesi çıktı üyenin oyuyla ilişkileri kesildi karar gönül rahatlığıyla alındı baskıyla verildi gelir ortaya çıkar sahi teğmenlerin atılmasına çıkan general emekliliğini istedi savunma bakanlığına tesadüf şubat ayı emekliliği isteme dönemiymiş denk gelmişmiş duyda inan had bildirmenin yanına kayıt dışı siyaset sözcüğü yapıştı ankara genellikle kayıt dışı siyaset yapanlara haddini bildiriliyor kayıt dışı siyaset diyeceksiniz ankarada grup siyaseti tekeline aldı grubun dışında ülke meseleleri hakkında konuşanlar kayıt dışı sivil toplum kuruluşuysan baroysan meslek odasıysan derneksen kulüpsen sendikaysan fikir beyan edersen kayıt dışı siyaset yapmış oluyorsun pkk silah bıraksın lağvetsin demokratik açılım başlasın dertlerimiz kalmayacak vesileyle inşallah had bildirme dönemi kapanacak
suskun toplum pembe medya,nihai hedef korku salıp toplumu sindirmek sesini çıkaramaz hale getirmek evine kapatmak bitenle ilişkisini kesmek medyanın zapt rap altına alınması gerekiyor medyadan aykırı ses çıkmaması gerekiyor medyanın pembeleşmesini istiyorlar medyanın 80nine yakını pembe yetmiyor 99u pembe haksızlığı hukuksuzluğu yolsuzluğu soygunu görmesin istiyorlar halk tvyi düşünmeyin aydır operasyonları tutuklamaları dikkate alın belediyelere kayyum atanmasından belediye başkanlarının tutuklanmasına 10 12 önceki dosyaların açılmasına yöntem suçlu bulunuyor suç icat cat diyorum 10 önceki telefon konuşmasının suç sayılıp tutuklama kararı verilmesi hukuk tarihinde cat gezi protestolarının 12 yılında sanatçıların katıldın iradenle katıldın emirle katıldın sorgulanması cat zorlama ayşe barımı tutuklamak yasayı varmış göstermek etki ajanlığı yasası mecliste cat hukuk dışı yasa dışı soruşturma açılan kişiyi davet usulüyle polis marifetiyle getirtmek gece emniyette tutmak yöntem icat ülkenin üzerinde dolaşan karabulut hukuksuzluk bulutu diyebiliriz halk tvnin tepesine çöktü adını sanını bildiği mahkeme dosyalarında kapı raporları raporların altında imzası bulunan bilirkişiyle konuşmak suç sayıldı kişisel hakların korunması yasası kapsamında şikayet soruşturma açılabilir ifade alınabilinir dava açılabilir gazetecilere terörist muamelesi yapılamaz memleketin sırrını açıklamışlar davranıldı yayın yönetmenimiz suat toktaş tutuklandı arkadaşlarımız kürşat barış seda serhan adli kontrol şartıyla serbest bırakıldı karar bilirkişiymiş sorgulayan yanıyor dedirtti savcının tavrı yöntem soruşturma gözaltına alınmasını beraberinde getirecek soruşturma varsa gözaltı normal sayılacak tutukluluk sıradanlaşacak korkunç yargının 2024 2025 model icadı diyebilir miyiz kötü haberim kara bulutlar kolay kolay dağılmayacak lk seçime karardıkça kararacak etki ajanlığı yasası çıksın bakın neler olacak neler ktidara mensup bakan olay eleştirilemeyecek olayların duyurulması suç sayılacak nerden biliyorsun derseniz savcı ayşe barım tutuklama talebinde işaretleri verildi perşembenin gelişi çarşambadan belli gelince halk tv sesimiz çıktığı sürece gerçekleri söylemekten çekinmeyeceğiz haksızlığa duracağız burası ülkemiz ülkemiz
