Başlık,Metin
siyasi nefret adaleti yendi,bb başkanı erdoğan 1997de siirtte düzenlenen açık hava toplantısı sırasında topluluğa konuşmada okuduğu ziya gökalp şiiri nedeniyle halkı sınıf ırk din mezhep bölge farklılığı gözeterek kin düşmanlığa tahrik gerekçesiyle savcılığa davet edildi savcılığa götürmek sabahın köründe evine bırakın polis ordusunu tek sivil gönderilmedi fade vermeye belediyenin tahsis makam otosuyla belediye başkanı gitti yargılandığı sürece belediye başkanlığı görevi devam yargılama sonunda suçu sabit görüldü görevden alınıp 10 aylık hapis cezasını çekmek 90 pınarhisar cezaevine kondu yargılanmasından yargılanma süresince yargılandıktan mahkemeden ellerine kelepçe vurulup doğrudan cezaevine götürülmediği sokaklara düşüp hak hukuk adalet bağırmadı demokratik hukuk devleti çerçevesinde yürütülürken iktidarda sözde 28 şubatçı hükümet 28 şubatin adaleti ni arama duygusu geleyim ekrem mamoğluna belediyede yolsuzluklar yapan çetenin reisi bizzat yargı iktidar medyasına servis edilen haberle tutuklanacağı duyuruldu savcılık davetine bizzat giden ekrem başkanın evine sabahın köründe polis ordusu gönderildi mamoğlu günlük sürecin ardından medya aş üzerinden yapıldığı iddia edilen yolsuzluk suçlamaları nedeniyle tutuklandı demin mamoğluna meydanlarda verdiği destek demle arasını bozmaya korkan iradeye geri adım attırdı terör suçlamasıyla tutuklama kararı çıkmadı belediyeye şimdilik kayyum atanmayacak millet lokantaları kreşler halka hizmet vermeye devam savcılık karara itiraz edip yeniden tutuklama talep edebilir keşke mamoğlu muamelelere muhatap edilmeseydi keşke erdoğan yandaş medyasına faşist 28 şubat hükümeti döneminde bb başkanı erdoğan hukuk yolu uygulandıysa uygulansaydı sözümün özü hukuk adil yargılama günümüz rejiminin 28 şubat dönemi hükümetinin tehlikeli olduğuna karar verin bi zler si zi sevdi k ergenlik dönemimizin güzel zarif kadını filiz akın hakkın rahmetine kavuştu kendisiyle söyleşide demişti sinemayı gerçekten seviyorum sevgi saygı mutlu sonlar fedakârlıklar hayatlar sunduk seyirciye filmleri sevdiler bizler güzel konulu filmlerinizi sevdik filiz hanımefendi allah mekânınızı cennet eylesin sevenlerinizin başı sağ
haklısın ahmet trump erdoğanı övmedi seçen türk halkına hakaret,ahmet hakan kardeşimiz hürriyetin genel yayın yönetmeni köşe yazarı kimliği kimliğinin erdoğan televizyon ekranlarında canlı yayında açıkladı çoğunuz biliyorsunuz bilmeyenlere duyurmak bilenlere hatırlatmak yazayım erdoğan televizyon canlı yayınında sözde soru soranlar arasında yerini alan ahmete abdülkadir selvi bey gereğini getir ahmet talimatını verdi canlı yayında anladık ahmet erdoğanı överken erdoğana yönelik eleştirileri cevaplarken genel talimatın gereklerini getiriyordu ahmet dün köşesinde gereğini getirdi trumpın erdoğana ilişkin övgülerine pencereden bakarak yazdı olayın kısmı trumpın erdoğanı övmesi olayın kısmı şuralar trumpın netanyahunun gazına gelip türkiyenin aleyhinde konuşmaması trumpın netanyahuya türkiye aranızı bulurum makul olacaksın demesi tabi övgüler deği ldi olayın kısmı övgü erdoğanın gaza getirilerek halkımız ülkemiz adına acayip tavizler vermesi denk ölçülü taviz müzakerelerin olmazsa olmazıdır olayın çirkin yanı onurlu ulusun seçilmiş cumhurbaşkanını netanyahu tv canlı yayınında emri himayesi altındaymış emrederse yaparmış dünyaya ilân etmesidir canlarım trumpın çirkinliği dangalaklığı erdoğan zeki seviyorum deyişi netanyahuya aranızda sorun varsa söyle çözerim sözümü dinler deyişidir trumpin çi rkefli ği şte orasi trump dangalak gerçek devlet adamı davransaydı sözleri medyanın önünde canlı yayında kapalı kapılar ardında netanyahu baş başa kaldıklarında söyler dünya kamuoyunun önünde erdoğanla ilişkilerini görüntülerini bürokrasiye gösterip bak başbakan adamım havası basan reza zarrabla benzeştirmezdi canlarım trumpın çirkinliği övgüde trumpın çirkefliği türk halkının seçtiği cumhurbaşkanını anda dünya televizyonlarında izlenen canlı yayında adamı dediğini yapan emir eri anlatmasındadır 100 yil görmüş müslümanlardan kaçıp slâmiyete sığın filozof 100 adeta bugünkü türk müslümanlarını görmüş
ülkede savcı yargıçlar karakuşi kadıya dönüşmüşse,osmanlı döneminde kadı karakuşi efendi fırının önünden geçerken burnuna mis koku gelmiş fırından içeri girince dumanı tüten nar kızarmış ördek görmüş sar demiş fırıncıya kadıya itiraz edemeyen fırıncı paketleyip vermiş ördeği sahibi gelip sorunca uçtu demiş fırıncı ördeğin sahibi cevaba öfkelenip fırıncının üstüne yürümüş sırada korumak küreğe sarılan fırıncı kavgayı ayırmak amacıyla araya giren gayrimüslim müşterinin gözünü çıkarmış korkup kaçmaya başlamış gayrimüslim peşine düşmüş fırıncının kovalamaca başlamış duvarın üzerinden atlamış fırıncı öteki taraftaki hamile kadının üstüne düşmüş kadın çocuğumu düşürdüm yetiş efendi bağırınca kocası fırıncının peşine takılmış gözünü çıkardığı gayrimüslimden çocuğunun düşmesine sebep kadının kocasından kaçan fırıncı telaşla yahudiye çarpıp adamı devirmiş gözü çıkan gayrimüslim çocuğunu düşüren kadının kocasından yahudi fırıncıyı kovalamaya başlamış sonunda zaptiyeler duruma müdahale edip hepsini yakalamış kendisinin ördeği sardırıp evine götüren karakuşi kadının karşısına çıkarmışlar kadı ördeğin asıl sahibine sormuş fırıncıyı göstermiş şikâyetçi adam ördeğimi karakuşi kadı kızarmış ördeği almamış fırıncıya sormuş yaptın adamın ördeğini uçtu demiş fırıncı kadı kara kaplı defteri açmış ördeğin karşısında tayyar yazıyor tayyar uçar demek ördek uçmuş olabilir fırıncının suçu olamaz gözü çıkan gayrimüslime sormuş şikâyet sebebini adam fırıncı gözümü çıkardı cevabını alınca kara kaplı deftere bakıp maddeyi okumuş gayrimüslimin gözünü çıkara müslimin tek gözü çıkarıla karakuşi kadı şimdiii demiş davacıya fırıncı gözünü çıkaracak tek gözünü çıkaracağız gayrimüslim şikâyetinden vazgeçmiş fırıncı davadan beraat etmiş çocuğunu düşüren kadının kocası şikâyetinin gerekçesini anlatınca kara kaplı defterden madde okumuş karını fırıncıya vereceksin adam çocuk koyacak adam şikâyetini geri almış fırıncı davadan kurtulmuş kadı dönmüş yahudiye şikâyetin nedir bre yahudi süre düşündükten ellerini açmış diyeyim kadı efendi demiş adaletinle yaşa bi n yaşasinlar ülkede yargı bizzat yarattığı şüphelileri ortada maddi delil yokken gizli tanık itirafçı denilen kişilerin gördüm duydum aldım verdim ifadeleri tutuklu yargılıyorsa ülke yargısında bol miktarda karakuşi savcı yargıç istihdam edildiğini düşünmek suç değildir yüce rabbime şükürler ülkemizde karakuşi savcı yargıç yoktur adaletleriyle yaşasınlar
çeşmeden müslümana su içmek haram,bursanın payitaht başşehir yıllar müslüman çeşme sebil yaptırmış başına kitabe ekletmiş kula helâl müslümana haram kitabeyi görenler hayırseveri kadıya şikâyet etmişler hayırsever yaka paça yakalanıp kadının huzuruna getirilmiş kadı dini slâm ahalisi müslüman koca devlette fitnedir hayrattır sebildir çeşme yaptır suyunu müslümana yasakla azarlamış adamı müsaade edin anlatayım lâkin delili şarttır demiş hayırsever delili ispatı gürlemiş kadı fitne çıkardın müslüman ahalinin huzurunu kaçırdın katlin vâciptir tek sultana söylerim cevap vermiş adam olay sultanın kulağına gidince huzura getirin emretmiş iştir sebil çeşme yaptırırsın kula helâl müslümana haram yazarsın nedir sebebi adam delilim vardır sultanım lâkin ispat ister deyince sultan öfkelenir dediğin delilin sağlam değilse boynum kıldan incedir vereceğiniz hükme razıyım sultan söyle bakalım nedir delilin dinliyorum çeşmeyi yaptıran adam sultanım havradan sinagog rastgele hahamı gerekçe olmadan tutuklayın hafta tutuklu kalsın bakın neler olacak adamın dediği yapılmış azınlıklar araya gelmiş birlik olmuş başlarında musevîler zulüm din adamımızı tutukladınız kefiliz gerekirse söyleyin yapalım masumdur gerekirse kefalet ödeyelim demişler çevre ülkelerden elçiler mektup üstüne mektup getirmiş hafta dolunca çeşmeyi yaptıran adam sultanım bırakmak zamanıdır demiş haham serbest bırakılmış haham serbest kaldıktan çeşmeyi yaptıran şahıs işi kiliseden papaz yaptırınız sultanım demiş olmuş tepkiler papaz verilmeye başlanmış haftalık süre dolunca papaz serbest bırakılmış sultan bitti sormuş adama sultanım iş kaldı yapalım hüküm zamanıdır cevap vermiş nedir isteğin sultanım başlamış adam bursanın sevilen âlimini hocasını minberde hutbe okurken alınız adamın arzusunu getirmişler tek kişi neler yapıyorsunuz olmazsa hutbe bitene bekleseydiniz itiraz etmemiş aradan hafta geçmesine imamımız giden alim hoca dedikodu başlamış adam bilirdik hoca bellemiştik meğer kafirin tekiymiş padişah kadı çeşmeyi yaptıran adam bitenleri izliyorlarmış sonunda padişah çeşmeyi yaptırana sormuş olacak adam ey sultanım irade buyurunuz lütfen müslümanlara su helâl edilir sultan acı acı tebessüm etmiş söylemiş bırak suyu hava haram hava erdoğan milleti iyi tanıyanlardan mamoğluna yaparsa yapsın kimsenin umurunda olmayacağının farkında
yüksek gümrük tarifesi felâketi,borsa çöküşüyle başlayan 1929 buhranı dünya ekonomisinin tarihinde dönüm noktasıydı kriz sürecinde alınan politik kararlar ulusal ekonomiler üzerinde uluslararası ticaret düzeni üzerinde derin izler bıraktı üretim fazlası düşük fiyatlar üretici sanayiciyi iflâslara sürükledi çöküşe çözüm arayan cumhuriyetçi reed smoot cumhuriyetçi willis c hawley yerli üreticiyi dış rekabetten koruma amacıyla yüksek gümrük tarifesi yasası teklifi verdiler 1930 yılında amerika birleşik devletlerinde yürürlüğe giren abd senatosunun resmi internet sitesinde kongre tarihindeki felâket eylemlerden nitelenen smoot hawley tarife yasası thalâta yüksek oranlı gümrük vergileri getirerek amerikan ekonomisini dış rekabetten korumayı hedeflerken korumacı eğilimleri tetikledi küresel krizi derinleştirdi amerikan ekonomisinde ciddi daralma yaşandı 20 000den fazla ithal ürüne 20 60 arasında değişen oranlarda vergi getiren smoot hawley tarife yasası tarım tekstil sektörlerinin talepleri doğrultusunda şekillenmişti yasa uygulamaya konduktan yalnızca amerikan tüketicisini ihracat yapan üreticiyi olumsuz etkiledi avrupa ülkeleri abdye misilleme yapınca 1929 1934 arasında dünya ticareti yaklaşık 66 oranında daraldı abd almanyayı perişan yüksek gümrük tarifeleri bakıma dünya savaşını başlatan ortamı yarattı franklin d roosevelt 1932 seçimleriyle başkanlık görevine geldikten abd ekonomi yönetimini j maynard keynese emanet gümrük vergileri yeniden düşürüldü amerikan ekonomisi krizden çıktı almanya japonya krizi savaşla aşmak isteyince dünya savaşı başladı şimdilerde tarih cumhuriyetçi başkan trump döneminde tekerrür lk başkanlık döneminde küreselleşmeyi yıkan trump milliyetçi dinci kapanmacı ekonomi politikalarıyla dünya savaşına adeta zemin hazırlıyor üçüncü savaşı çıkarmak adeta çırpınıyor trump mahzun kırmızıgül cdsi dinliyor olmalı alem buysa kral moduna girdi birileri vasat cahil adama tarih dersi vermeli açıkladığı yüksek gümrük vergileri 1929 1934 arasında uygulandı dünya savaşına zemin hazırladı yasalar abd dünya ekonomisini yoksul gelişmiş ülke halklarını perişan dünya politik deli bencil hesapçı çılgın politik şeflerin acısını çekiyor endişe etmeyin bugünler geçecek otoriterlik totaliterlik dünya halklarına yenilecek
allah encamımızı hayreylesin,1970 olmalı kırklareli damlalar orkestrası solistiydim üniversite giriş sınavlarına hazırlanıyordum bas gitaristimiz değerli arkadaşlarımdan dostlarımdan bora coşkun edirne eğitim enstitüsünde öğrenciydi sabah boranın jawa motosikletiyle kırklarelinden edirneye sinemaya gittik filmin türkçe adı değişen dünyanın nsanları idi lerleyen yıllarda filmin fahrenheit 451 isimli romandan uyarlandığını öğrendim 12 mart 1971 askeri muhtıra döneminde filmini izlediğim kitaba ilgim arttı sokağa çıkma yasağı ilân edildiği pazar gününden önceki cuma günü akşamı eve geldiğimde sayıda kitaplarımı felsefenin temel lkeleri das kapital lenine mektuplar bulamayınca baba anneciğime sormuştum bizimle evde yaşayan babamın kuzeni necati münzür lerleyen yıllarda doğruyol parti kırklareli l başkanlığı baba anneciğime pazar sokağa çıkma yasağı askerler evlerde yasak kitap anarşist arayacaklar dedikten kitaplarımı gösterip yakalım başımız belâya girmesin demiş kitaplarımın devlet korkusuyla yakıldığını öğrenince 1961 anayasasıyla özgürlüklerin 10 izlediğim değişen dünyanın nsanları isimli distopik filmin ülkemizde uygulanmaya başladığını düşünmüştüm 27 mayıs 1960 darbesinden evden alınıp götürülen hapse atılan dpli oğlunun acısını unutmadığı baba anneciğim kitaplarımı odunlu termosifonumuza tıkıştırıp yakmıştı filmden kısaca söz edeyim özgürlükçü hümanist demokrasiyi öven kitapların tamamıyla yasaklandığı totaliter ülkede itfaiye yangın söndürmek gizli saklı okunan kitapları bulup yakmak görevlendiriliyordu nsanlar nesildir kitap yüzü görmemişlerdi yazılı kültür ortadan olmuştu unutulmaması özgürlükçü demokrat kitabı ezberliyordu enseyi karartmayin kitap film distopik kurgu dünyanın sürekli değiştiği gerçektir 20 yüzyılınilk yarısından totaliterrejimler antisemitizmi hortlatmış yahudileri dünyadaki fakirliğin kötülüklerin günah keçisi tanımlamışlardı yahudi zordu 21 yüzyılın çeyreğinde yahudiler filistinlileri günah keçisiolarak gösterdiler binlerce filistinli sivili kadın çocuk demeden katlettiler yahudiler totaliter rejimlerini kurarak yoksul güçsüz arap müslümanları etme girişiminde bulundular enseyi karartmayın süreç yakında bitecek yepyeni özgürlükçü demokrat hukukun üstünlüğü ilkesinin küreselleşmenin denemesinden başarılı süreç yaşanacak örnek ülke totalitarizmde devlet kurumlarıyla tek liderin mutlak kontrolündedir kitleler sürekli propagandayla yönlendirilir muhalifler baskı altına alınır muktedir tehlikeli görülen masum aleyhinde uydurulan suçlarla hapse atılır hukuk rejimin çıkarlarına şekillenir hukukun üstünlüğü ortadan kalkar örnek ülke sorarsanız söyleyeyim rusya
merkez bankası zarar edince kötü,haberi gazetemizde okudum 2023 yılında 818 tl zarar merkez bankası 2024 yılında 700 tl zarar etmiş yıllık zarar tlyi aşmış türkiyede klasik iktisatçı çevrelerde merkez bankalarının zarar etmesinden kötü söz edilir sürekli takipçilerim 30 yılı aşkın süredir merkez bankası zararlarının siyasi iktidarların bencil çıkarcı hesapları kullanılmaması durgunluk yaşanmasına izin vermeden ekonominin büyümesini işsizliğin azaltılmasını vergi gelirlerinin verimliliğin üretimin artmasını sağlayıcı alanlarda kullanılması şartıyla toplum dar gelirli yurttaşların yararına savunduğumu hatırlayacaklardır nedenledir youtube kanalımın adının liberal demokrat sosyalist bilirler canlarım ekonomik sistem anlayışım devleti inkâr etmez aksine devletin düzenleyici kaynak yaratıcı alt yapıyı sağlayıcı yenilikçi yönlendirici yönünün siyasi iktidarlar mutlaka değerlendirilmesi gerektiğine dayanır demek istemem birincil görevi fiyat istikrarını sağlamak korumak t c merkez bankasının kâr zarar ülkenin tamamının yararınaysa büyüme işsizlik uygulan politikalara destek sağlıyorsa t c anayasasının sosyal devlet ilkesine uyum sağlıyor demektir zulüm üzüyor maliye eski bakanı nureddin nebatinin neo klasik ekonomi düşüncesinden epistemolojik kopuşu temsil heterodoks yaklaşım günümüzde giderek plana çıkan davranışsal ekonomi nöro ekonomi fazla önem kazanmaktadır cümlesiyle alay etmek anlamaya düşünmeye çalışsaydık görevine devamı destek verseydik emin olun aylarda yıllık enflasyon erdoğana tek haneye düşmezdi 10lu oranlarda olurdu sözümün özü canlarım bilenlerin ünlenenlerin kendilerini ağırdan satanların başlara taç edildiği canım ülkem zavallı halkım adına üzülüyorum kıt kaynaklara erdoğanın çelmelerine stanbulu harika yöneten ekrem mamoğluna zulme üzülüyorum kaybeden m merkez bankalarının kuruluş amacı kâr etmek değildir olmamalıdır merkez bankaları gerektiğinde ekonominin büyümesine işsizliğin azalmasına halkın moralinin yükseltilmesine kaynak ayırmalıdır hâsılı ekonomide taraf kazanıyorsa taraf kaybettiği içindir ülkenin merkez bankası kâr ediyorsa kaybedenler üretici tüketicilerdir
trumpın azil işlemleri devreye girerse şaşırır mısınız,totaliter rejimler bürokraside sadakatlerini ahlâklarını satın aldıkları bağlı kadrolar oluşturur bürokratlar öncelikle kişisel çıkarları ilerleyen süreçte statülerini kaybetme korkuları nedeniyle rejime hizmet ederler bürokrasi halkın totaliter rejime bağımlılığını artıran araçlardan biridir rejim sadakatlerini satın aldığı bürokratların yönetiminde medya eğitim kültürel araçları kullanarak halkı dünya görüşüne ikna etmeye çalışır nsanların vicdanlarını ahlâkî yargılarını bastırmaları sürekli propaganda mekanizması devreye sokulur polis gücü istihbarat servisleri ordu zorlayıcı güçler muhalefeti susturmak halkı kontrol altında tutmak ktisadi gücü olanlar güçlerini kaybetmemek kullanılır sıradan insanlar çalışmadan kazandıkları kuruşluk maddi çıkarlarını kaybetme korkusundan rejime itaat ederler başta sistemden doğrudan fayda sağlayan yüksek bürokrasi medya mensupları rejimi desteklemekten vazgeçmezler bunlarla eş zamanlı rejim halkı sürekli ayrımına zorlar iç dış hayali düşmanlar üreterek kitleleri korku nefretle yönetir aylarda amerika yazık totalitarizme savrulmakta abdde anayasal kurumlar öylesine güçlü trump anayasaya uymaması insan haklarına saygısızlığı nedeniyle impeachment azledilebilir güçlü enseyi karartmayın beraber gördük günümüz üniversite gençliği ülkeyi totalitarizme teslim etmez dün anlattığım kıssadaki tip müslümanlar gençlerimiz arasında denilecek sayıda sınav sorularının çalınması 35 yıllık diplomaların iptal gösterdi üniversite gençliğinin geleceği gelişmiş demokrasi eksiksiz hukuk devleti kuvvetler ayrılığı ilkesinin hassasiyetle uygulanmasıyla mümkün güçlü nedenlerin güçlü eylemler yarattığını lütfen unutmayın güçlü eylemleri yaratacak güçlü demokratik hukuk devletine kuvvetler ayrılığı ilkesine bağımsız yargıya insan haklarına saygıya duyulan özlemdir alkişlarim çi n ktidarın güçlü destekçisi hürriyetin genel yayın yönetmeni ahmet hakan mamoğlunun cumhurbaşkanlığına giden yoldaki yürüyüşünün engellenmesi amacıyla baskının gördüyse dün yayımlanan yazısından gördüğü anlaşılıyor değişim uzun süreçte medyada şeyin olumlu yönde değişeceğinin işaret fişeği olabilir çıkarlarıyla vicdanıyla yazan ahmeti alkışlıyorum
siyasetin çivisi çıktı,özgür özelin genel başkan girdiği seçim 2024 yerel seçimleri seçimlerde oyları 47 40ı geçen atatürkün kurucu genel başkan chp birinci parti köşenin youtube kanalımın izleyicileri normalleşme kavgasız müzakereci siyaset dediğim özgür özel politikalarına destek verdiğimi bilirler 1987den kavgadan beslenen parti haline getirilen chp deniz kemal beyden medyadaki fanatik chpliler gerekse özgür özelin ekibinin siyasi başarılarını kıskanan yıllarca başaramadık eczacı başaramasın diyen azgın azınlık kavganın içine itildi erdoğanın top oynamaktan zevk aldığı başarılı çamur sahada oynamak zorunda bırakıldı özgür özel kavgaya hazır olmalıymış stanbulu kazanan türkiyeyi kazanır diyen erdoğanı stanbulda seçim üst üste yumuşacık sevecen edepli saygılı kucaklayan güler yüzlü politikalarıyla perişan ekrem mamoğlunu benzetti siyasette hırlaşmayı uzlaşmayı öneren politika yazarları seçim yapmayın etmeyin eylemeyin lazım seçim olağanüstü kurultay ekrem mamoğlunu genel başkanlığınıza getirmek dediysek özgür özel mamoğlu azgın azınlık chplileri chpye sızmış erdoğan göndermeli truva atlarını dinlediler gelinen noktada mamoğluna yapılanlar kabul edilebilir hukuk dilinde alenen yargı zulmü denir kabul edelim ip tek elle gerilmez pin ucundan tutan çeken olacak ip gerilsin özel mamoğlu ikilisi ipin ucundan tutunca boşta kalan ucu erdoğan aldı siyaset hayatı boyunca iyi gerdi bıraktı anda atatürkün partisi 47 yaşadığı normalleşme döneminde giderek artan 41 oy oranının 10 puan altında erdoğanın ittirdiği çamurun debeleniyor sözümün özü özgür özelin başlangıçta uyguladığı akpyi geride bırakan hırlaşmacı uzlaşmacı politikaları doğruydu erdoğan temiz siyasi iklimde meyve vermez kılıçdaroğluna defalarca anlattım anlaşılamadım chplilik özgür özel deniz kemal bey çamur sahayı tercih şimdilik ekrem başkana
şte gençler sayesinde ensemi karartmıyorum sabırlıyım,ekrem mamoğlunun siyasî amaçlı tutuklanmasına gençlerin üniversitelilerin verdikleri tepki politik toplumsal olaylara duyarlılıklarının göstergesi önceki sonraki kuşak gençleri pısırık ülke sorunlarına ilgisiz nitelendirse gençler tarih boyunca toplumsal siyasi dönüşümde öncü rol oynamıştır mustafa kemal samsuna ayak bastığında 38 yaşındaydı gezi parkı protestolarından günümüze gençlerin sokakta dijital mecralarda tepkisini ortaya koyduğu örnek ktidar medyası başta muhalifler gençlerin enerjisinden korkuyorlar genç yav başında kavak yelleri esiyo teraneleriyle gençleri ciddiye almıyorlar başlarında mars yelleri esmiş mamoğlunun tutuklanmasına milyonlarca gencin tepki göstermesi olgunlukla şiddete şiddetsizlikle eyleme koyması siyasete demokrasiye dair güçlü bilinç taşıdığını hukuk adalet özgürlük kavramlara sahip çıktığını gerektiğinde sokağa inebildiğini kanıtladı ensemi karartmamakta ısrarlı oluşumun gerekçesi hafta yabancı yatırımcı akını başlayacakmış diyenler nşallah deyip sorayım gelişmiş ülke ekonomilerinde keyifli güvende canlarını sıkıyormuş macera arıyorlarmış heyecan gerginlik belirsizlik gelsinler valla eğleniriz erdoğanın ölmüş annesine küfreden insanımsılar suçlu ahlâksız dilek mamoğlu hanımefendiye hakaret iftira atan ankarayı parsel parsel sattığı bizzat akpli meclis başkanı bülent arınç açıklandığı hâlâ ifadeye çağrılmayan melih gökçek mücahit birinci isimli akp yöneticisi sıfatları kullanmalıyız ey cehalet yüzen slâmcılar çki alemleri yapan padişahları evliya mertebesine yükseltirken ülkede rahat yaşamanızı sağlayan atatürke sövmeniz saymanız nankörlük etmeniz kanıma dokunuyor lahiyatçı prof mustafa öztürk
