Başlık,Metin
açılım sahi,ülkede hızla esen anti demokratik rüzgarlar ana muhalefet partisini cumhurbaşkanı adayını etkisiz hale getirme çabaları devletle kürtleri barıştırma projesi sunulan açılım sürecinin geleceğiyle şüphe yarattı kimileri açısından muhalefet bloğunu bölme amacı taşıyan çalışmanın noktaya geldiğinin izini sürdük 19 mart darbesinden yazdığımız açılım süreci cumhurbaşkanı tayyip erdoğanın bayram mesajındaki sözleri nedeniyle radarımıza girdi erdoğan sıra örgütün çağrıya amasız fakatsız uymasına gelmiştir konuda sınırsız vakte tahammüle sahip değiliz fazla oyalanılmadan örgütün feshetmesini silahlarını bırakmasını bekliyoruz konuyla yakından ilgilenenler teknokratlar düzeyinde çalışmaların sürdüğünü anlatıyor kongrenin yapılacağına ilişkin seçenekler pkkdan çatlak sesler süreci sulandırma çabası nitelendiriliyor sti hbarat di yor stihbarat kaynakları açılım çalışmalarının başında kaleme aldığımız kandilin pkknın fesih kongresinin toplanacağı yer netleştiği iddia kobani süleymaniye ortaya atılan toplantı yerlerinin gündeme gelmediği savunuluyor pkk lideri abdullah öcalanın kongreye katılması söz konusu görsel mesaj şimdilik yazılı mesaj ileteceği iddia tarihine gelince devlet kongre sürecinin uzamasını istemiyor mart ayı planlar suya düştü düşürüldü geç nisan ayının ikinci yarısında pkk kongresinin toplanacağı örgütün lağvetmesi silahların bırakılması silahların toplanması süreçlerin ay süreceği hesabı yapılıyor uzarsa sabote edi li r kobani bölgesinde tsk operasyonun sivillerin ölmesinin nedeninin grupların süreci provoke etme çabası öne sürülüyor yönlendirilmiş istihbarat ihtimalinden söz ran sraille işbirliği grupların sabote etmiş olabileceğine vurgu yapılıyor sürecin uzamasının provokasyonlara kapı açacağı yorumları yapılıyor evdeki hesap çarşıya uyarsa yaz aylarında yazıldığı öcalan umut hakkı konuşulmaya başlanacak tabi ülkenin iç mekanizmaları izin verirse çatlak sesler pkk içindeki çatlak sesler devam ayrı ekibin yer aldığı yapının kesiminden ses çıktığı anlatılıyor öcalan murat karayılan ekibiyle birlikte anılıyor cemil bayıkın ran etkisinde belirtiliyor tunceli grubu dursun kalkan ekibinden oluşan eskilerin etkisinin savunuluyor pkk kongresinin hareketin önderi öcalanın gücünün görünmesi açısından belirtiliyor terör örgütü içindeki çatlak sesler bölünme durumların ortaya çıkması öcalanın gücünün sınanması anlamına geleceği ifade demokrasi sinavi gelelim ülkede yaşanan iklimin planlara izin verip vermeyeceğine ülkenin ana muhalefet partisine operasyon düzenlenirken muhalif belediyelere birer birer kayyum atanırken protesto hakkını kullanan gençler cezaevinde tutulurken akpliler yargıda neler sorularını sorarken çalışmaların amacına ulaşacağına ilişkin inanç zayıf inanç vatandaşlarda devletin çeşitli kademelerinde azalmış tabi kürt siyasetçilerin sürekli savundukları demokrasiye bağlılıkları test
dipten dalga yaratıyor,sis bulutu dağılmaya başlayınca stanbul büyükşehir belediye başkanı ekrem mamoğluna siyasi operasyon konusunda akpde yaratıcı benzetmeler yapılmaya çarpıcı sorular sorulmaya başladı parti kulislerinde 19 mart darbesi sonrasında chpnin yönetiminde başlatılan mücadele sürecini eklemeli imalata benzetenler boyutlu üretimi düşünün printer aracılığıyla sıfırdan başlayarak ortaya çıkarıyorsunuz chpnin süreç yönetiminin dipten dalgaya dönüşeceği savunuluyor öncelikle partinin resmi açıklamalarına etkisi myk mkykdaki konuşmalara bakıldığında tersi havayı görürsünüz ktidar yansılı köşe yazarları sürekli güzelleme yaparak görüneni görmeme oyunu oynarlar siyaseti yakından izleyen siyaset sosyolojine kafa yoran yakın siyasi tarihi bilen akpliler 20 günde siyasi rakiplere operasyon amaçlı siyasi darbenin sonuçları konusunda ilginç yorumlar yapıyorlar şte farklısı eklemeli imalat vardır boyutlu imalat düşünün sıfırdan başlayarak yaratıyorsunuz küçük noktaya vura vura başlıyorsunuz ortaya obje çıkıyor mermerden heykel yapmasının tersi düşünün chpde yapmaya çalışıyor durumda gelişmeler iktidarla sonuç doğurur bulunduğu yerden hareket etmek istemese sandık önüne geldiğinde etkilerin sonuçları görünür nce ince üretim yapılıyor iktidar yıpratılıyor yüzdendir anketlerde chp sürekli akpnin önünde çıkıyor uzun vadeli hikaye yazılmaya çalışılıyor yapılanlar dipten derin dalgaya dönüşebilir modern üretim süreçlerinde devrim yaratan eklemeli imalatın siyasi analizde kullanılması sonuçları çarpıcı benzetme geleneksel imalat metotlarının aksine eklemeli imalat katman katman malzeme ekleyerek ürünlerin üretilmesini sağlayan yenilikçi süreçtir tarif ktidar geleneksel siyaset yapma yöntemleriyle medya karartması algı operasyonu gözaltı talimatlı haber köşe yazdırma yöntemlerle uğraşırken eklemeli imalat katman katman çoğalıyor sohbette siyasi gelişmeleri deyişle yorumlayanlar brezilya atasözüyle chpnin istikrarlı operasyonu gündemde tutma mitingler aracılığıyla tepkisini sürdürme kararına örnek gösterildi kayalara şekil veren dalgaların gücü sürekliliğidir taşı delen suyun gücü damlaların sürekliliğidir biçimde kullanılan deyim motivasyon odaklanma hayatımızda önemlidir öz disiplin süreklilik bilincine sahipsek istediğimiz işi başarabilir koşulda olursak olalım sonuç alabiliriz şeklinde yorumlanmış konuya oldukça bakan siyasiler chpnin yaklaşımını iktidarda yaratacağı sonuçlara ilişkin derin analizler yapılıyor akpli yorumu ekrem mamoğlu ekibine operasyona şahinlerle atmacaların kapışması bakmak lazım şin devletin unsurları vardır yaptığınızı sanırken planlar yürütülüyor olabilir noktada avantajlı çıkacağına bakmak gerekir benzetmeler yorumlar ilginç kimden şüphe edildiği açıkça ifade edilemediği devreye mecazlar giriyor türk siyaseti imalı yorumları sevmiştir elmanın elma günleri özlüyor insan
pkk feshedilmeden adım,cumhurbaşkanı tayyip erdoğan dem heyetine randevu vererek dikkatleri çekti açılım sürecinin gündemi değiştirmesini bekleyenler aradığını bulamadı dem heyetinin cuma günü adalet bakanlığında yapacağı görüşmeye fazla anlam yükleyenler yanılacak hazırlık plan pkk feshetmeden silahları temsil etmeden hukuki çalışma başlatılmayacak öncelikle söyleyelim dem yönetimi cuma günü kamuoyuna açıkladıkları taleplerini adalet bakanına iletilecek dem heyeti gelecek bakanlıkta özel çalışmanın yapılmadığını öğrendik bakanlik beklemede gelin taleplerinizi alalım cumhurbaşkanlığı kurumlarla konuşalım hangisine yol verilebilir karar alalım duygusundalar sözlerinden pkk feshetmeden silahları teslim etmeden adım atılmaz olası yasal düzenlemelerin müzakere ayrıntıya girilmesi beklenmiyor görüşme iyi niyet beyanı şeklinde gerçekleştirilecek süreci yakından izleyenlere istihbarat bürokratları adalet bakanlığı bürokratları sarayın temsilcileri araya gelip olasılıklar konusunda çalışma yasal hazırlıklar adımlar atılacak iyi olasılıkla yaz ayları demek ellerinde 2015de atılan adımlara ilişkin eski yol haritası yol uzun süreci hatırlayalım başbakan tayyip erdoğan ekim 2012 tarihinde demokratikleşmeye ilişkin 63 maddelik yol haritası açıklamıştı ayrı yargı paketi tbmm kabul edilerek yasalaşmıştı çözüm süreci kurulu kurumlar arası zleme koordinasyon komisyonlarının kurulmasına ilişkin bakanlar kurulu kararı çıkartıldı ardından terörün sona erdirilmesi toplumsal tu nles menin güçlendirilmesine dair kanun tasarısı tbmm genel kurulunda kabul edilmişti bunlara ilişkin adımlar 2012 sonunda başlayıp 2015de sonlandırıldı cumhur ttifakı hızlı süreç planlasa gerekiyor öcalana ev hapsi pkk terör örgütü lideri abdullah öcalanın serbest bırakılması başlık yerde konuşulmuyor öcalanın mralıda ev hapsinden çıkartılmayacağı fazla konuk ağırlayıp dışarıyla iletişime geçebileceği anlatılıyor izinle yurt hareket etmesinden geri adım atılmış amaç erdoğani kurtarmak sonuç aylarca ağırdan alan erdoğanın elle açılım sürecine sarılmasının nedenleri konusunda siyasilerin net fikirleri akplilerin düşü kendilerinin öngördükleri tarihte seçimi erkene almak amaç cumhurbaşkanı tayyip erdoğanın yeniden aday olmasının kapısını açmak tbmmde demin oylarına ihtiyacı seçimlerde dem takviyesi istiyorlar akpyi terk muhafazakar kürt seçmenin geri dönmesini sağlamayı planlıyorlar açılım sürecinin milliyetçi seçmeni partiden uzaklaştıracağı biliniyor konuşulurken mhp genel başkanı devlet bahçelinin durup durup seçimin zamanında yapılacağına ilişkin vurgusunu lazım hayat planlar yaparken başınıza şeydir sözünü anımsatarak bitirelim
hükümette koğuş ağası kafası,kötü ebeveynlerin çocuklarını dayak arsızı yapıp çocuk sorması durum yaşanıyor anayasanın verdiği protesto haklarını kullanan gençlerin tutuksuz yargılanabilecekken cezaevlerine konulması mantık gençleri sırf psikolojik işkence normal koğuşlardan alıp adi suçluların arasına koymak ruh hali günlerdir konuşulan kötü muamele iddiaları avrupa birliğinin dikkatini çekti heyet inceleme türkiyeye ab heyetinin türkiyeye gelme kararından öncesine giderek yaşananlarla perde arkası gelişmelere bakalım protesto eylemlerine katılan öğrenciler poliste yaşadıkları kötü muameleden normal koğuşlara konuluyor gençlerin birbirinden güç aldığı itirazlarını içeride sürdürdüğü iddiasıyla nevi çifte ceza amacıyla adi suçluların koğuşlara dağıtılmasına karar veriliyor koğuş ağaları marifetiyle zorlamalar aşağılamalar haklarının kullanılmasının engellenmesi sorunlar yaşanıyor düşünün tutuksuz yargılanabilecek pırıl pırıl başarılı üniversite öğrencileri hırsız dolandırıcı grup suçluya ayar vermeleri teslim tutukluların poliste gözaltında kaldıkları süre başta fiziksel psikolojik işkence gördükleri iddialarının kamuoyunda yankılanmasının ardından karardan geri adım atılıyor ddiaya haftadan öğrenciler adi suçluların kaldığı koğuşlardan alınarak normal koğuşlara taşınacak yapılıyor şikayetlerin artması cezaevi yöneticilerine insan haklarına aykırı infaz rejimine gölge düşürecek davranışlarda bulunulmaması tutukluların haklarına azami özen gösterilmesi konusunda talimat veriliyor avrupa birliği heyetinin cezaevlerinde inceleme talebinin öncesinde başvuruya olumlu yanıt verildiğini öğrendik dakikada engellenmezse önümüzdeki günlerde heyet cezaevlerinde inceleme başta mamoğlu süreçte tutuklanan siyasilerin cezaevlerinden sosyal medya aracılığıyla topluma mesaj göndermeleri ciddi rahatsızlık yaratmış kamuoyuna yansıyan gelişme iktidar kanadında tartışmaya yanda derhal iktidar trolleri devreye sokularak engellenmesi gerektiğine ilişkin kampanya başlatılırken tarafta tutukluların kullandığı haklar kullanılıyor avukatlarıyla yakınlarıyla görüşme hakkı aracılığıyla görüşlerini paylaşan kişi hukuksuz durum engellenirse yollar bulunur diyenler ktidarın kanadının normal hak gördüğü durum yollarla engelleme girişimlerin başlıyor suç duyurusu yaptırılarak işin içine stanbul başsavcılığı sokuluyor siyasilerin kurumların görüşleri askıda kalıyor tartışma silivri cezaevinde rahatsızlanan bb genel sekreter yardımcısı mahir polatın tutuksuz yargılanmasıyla öğrencilerin polatın tutuksuz yargılanması gerektiğini söyleyenlere direnç ktidar kanadında yolları savunanların çatışmasına tanık oluyoruz türkiyenin taraf uluslararası sözleşmeler mevcut anayasa ihtiyaç duyacağı işkence zalimane insanlık dışı aşağılayıcı muamele suçların etkili biçimde soruşturulması konusunda net hükümler içeriyor bırakın devletin kötü muamelenin aracı olmasını devletleri açık şikâyetin durumlarda işkence kötü muamele yapıldığına ilişkin belirtileri soruşturmakla yükümlü kılıyor devletin 20 yaşındaki gençleri sindirmek adi suçluların koğuş ağalarından medet ummaması gerekiyor
kaygılı akplilerin tuzak şüphesi,toplum kırılgan ekosistemdir yalanlarla insanların gözlerini kamaştırabilirsiniz gözlerinin önündeki deliliğe kör olurlar sonunda geri alınamayacak kabusa dönüşür sözler alacakaranlık kuşağı dizi serisinde siyasi yalanlarla algı operasyonu yaratanları anlatan bölümden türkiyede haftadır gerçeklerle yalanların karıştığı alacakaranlık kuşağı yaşıyor kasvetten muhalefet muhalif olanlar nasibini alsa yaratılan ekosistemin ciddi zarar vereceğinden endişe ilginç sözlerle açıklayan akpliler kaygili akpli ler stanbul büyükşehir belediye başkanı ekrem mamoğluna operasyon chpye yönelik sürdürülen hazırlıklar muhalif medya şirketler kişilerle baskı susturma girişimleri paket servis edilirken akp kurmayları arasında gelişmesinden rahatsız kararı ekrandan öğrenmekten şikayet edenler trolleri saymazsak konuya ekonomi dış politika açılım süreci güven yatırım ortamının zedelenmesi açılardan bakıyorlar mamoğlu chpye yönelik operasyonlar planlandığı sonuçlansa türkiyenin kaybedeceğini savunuyorlar şte kapalı kapılar ardındaki hezeyanlardan yaşadik garip işler dönüyor operasyon iyi araştırmak lazım komplo kokan girişimler olmuştu rahip brunson olayıydı türkiye abd ilişkilerinde tamiri güç zararlar açtı dönemde gizli tanık ortaya çıktı dosyasını incelemiştik suçlamalar boştu türkiye ekonomik siyasi açıdan kaybetti dönem operasyonun zararını gördük dosyaların dolu saatten kimseye siyasi olmadığını anlatamazsınız diploma olayını içine katarak iyice sulandırıldı dönem arkadaşlarımızdan geçiş yapanlar kolay yoldu tercih hukuki sorun varsa diploma alandan hakkı tanıyanlardan hesap sorarsın sabah kalkıyorsun düğmeye basılmış karşında buluyorsun bugüne durdun önceki hukuksuzluklara itiraz etmedin yetki li organlarda konuşulmadi parti kimsenin gelişmelerden haberi yoktu yetkili organda konuşulmadı siyasilerin tamamı ekranda gördü tahmin etmek ayrı süreçlerden haberdar edilmek ayrı kucağında buldu dönük pozisyon almak açıklama zorunda bırakılıyorsun tek talebim dosyaların içindeki iddialar gerçek kimseyi kendimize inandıramayız günün sonunda siyasi rakibine operasyon çeken iktidar durumuna düşeriz açıdan tuhaf neler sorup araştırmaya kalksak yadırganırsın alt kademelerden bilgi almaya çalışıyoruz düzgün bilgi akışı parti birbirine gerçekte soruyor sekteye uğradilar gelinen noktada kırılgan ekonomiyle alınan kararların uygulanmasında zorlanılıyor yurt dışındaki imajımız zarar gördü açılım sürecinin etkilenmemesi çaba herkeste tereddüt oluştu adımlar projeler kaos ortamından etkileniyor aklı selim kararlar alınmalı soğukkanlı adımlar atılmalı parti ruh halinde olanlar bakanlarin pozi syonu krizden etkilenen isim hazine maliye bakanı mehmet şimşek adalet bakanı yılmaz tunç bakanın sürece dahil olmadıkları yaratılan krizin sonuçlarına katlanmak yönetmek zorunda oldukları anlatılıyor şimşekin ekonomik program hedefinde yaşanan kırılmaya müdahale etmekte güçlük çektiği tunçun duruma uygun açıklamalar yapması beklenen makam kullanıldığı aktarılıyor bırakın karar vermeyi gelişmelerden haberdar edilmedikleri iddialar arasında
öcalana kısıtlı özgürlük,terör örgütü lideri abdullah öcalanın tin yardımlarıyla oluşturulan pkknın şartsız feshini içeren açıklama metni kapının açılmasına atılması gereken adımlar 2013 açılımındaki hazır listeden biliniyor finali yapacağı açılım projesi istendiği işlerse öcalan özgür kalacak kısıtlı mralıda ikamet dışardan ziyaretçi kabul türkiye sınırları içerisinde izinle seyahat yurt dışına çıkamayacak seçme seçilme hakkı olmayacak türkiye umut hakkını konuşacak umut hakkının sınırlarını devlet belirleyecek tekrar hatırlatalım umut hakkı ömür boyu cezaevinde infaz hapis cezasına mahkum edilen hükümlülerin serbest bırakılıp bırakılmayacağının idari yargısal makam değerlendirilmesi dari makam ifadesine dikkatinizi çekerim pkknın feshetmesi kongresini toplayacağı biliniyor tarihi konusunda görüşler ankara istihbarat kaynakları pkk kongresinin hafta toplanmasından söz 21 mart nevruz bayramının tarih kullanılmaması öncesine alınması planı yolunda giderse umut hakkını yaz aylarında konuşmaya başlayacağız plan sistematik devletin öngördüğü gider fesih silahların teslimi lider kadroların ülkelere göç kamp yaşam alanları mağaraların boşaltılması operasyonlar kazasız belasız biterse af konuşulmaya başlanacak kaynaklar yapılacaklar hesaba katıldığında yılı bulacağını dile getiriyorlar açılım sürecinin takvimine sondan baktık merak yer orası başlayacağı konusunda deneyimimiz biteceği konusunda tecrübesiziz şimdiye başarılı olunmadığı yüzden final gelelim sürecin ilerleyin zamanlarında beklenen demokratik adımlara ankaranın planına kürtçe dilinin günlük hayatta düğünde cenazede kullanmayla baskılar kalkacak yerel yönetimlerde çift dilli tabelalar panolar yeniden hayatımıza girecek kürtçe şarkılar rahat dinlenecek kayyum baskısı kalkacak ana dilde eğitim çalışmanın yerinde sürecin siyasi nedenlerle cezaevine konulan kişilerle sonuç doğurması bekleniyor pkklıları birer birer affederken muhalif oldukları insanları cezaevinde tutmaya devam edemeyeceklerini biliyorlar hukuki tutum olmasına inanmaktan pkkları serbest bırakan iktidar olmayı seçmene anlatamayacakları
akpde mamoğlu yorumları,ktidarın adalet konusunda hafta içerisinde verdiği mesajlar birbirinden sıkıntılı stanbul büyükşehir belediye başkanı ekrem mamoğlunun önceki kumpas davalarının görüldüğü salonda yargılanması gençleri içerde tutarsak alacaklı çıkacaklar gerekçesiyle serbest bırakılması mahkemeler mevcut iklime karar verirler diyen akpliler ktidar kulislerinde mamoğluna siyasi operasyon gençlerin cezaevine konulması sonraki yargı sürecinin işleyeceğiyle yoklamalarımızın sonuçları idealden hukuki olmaktan uzak partide düşünenlere bizzat sürecin olanların bakış açıları mamoğlu ekibinin yargı süreciyle bugünden yarına sonuç beklenmiyor siyaseten yakın zamanda serbest bırakmak iddialarla dağ fare doğurdu izlenimi yaratır istemezler yorumları yapılıyor yolsuzluk iddiaları üzerinden kurulan mizansenin devam ettirileceği anlaşılıyor ilginç yorum mahkeme başkanlarıyla olandı mahkeme başkanlarının iklimin zeminden etkilendiği genel havaya aykırı karar almaktan kaçındıkları anlatılanlar arasında siyasi lla baskı olmasına kararlar mevcut iklimden etkilenir rüzgar ekrem mamoğlunun serbest bırakılması yönünde esmediği sürece mahkeme başkanı cesaret edemez yorumu mamoğlunun davası silivri mahkemesinin seçilmesi kurgulanan sürecin siyasi operasyon net biçimde gösterdi yakın tarihteki kumpas davalarının görüldüğü mahkemeyle akpli siyasilerin geçmişteki yorumları kulaklarımızda aklı başındaki kişi hariç canla başla yaratılan dosyaların içeriğini savunmaya başlamıştı ergenekon balyoz iddianameleri sarıkız darbe planları ortaya çıktığında gaz savunan bakanların yıllar kötü kumpasa getirilmişiz mizansenmiş dediklerine tanığız fetönün selam tevhid soruşturması kapsamında tamamı akpnin önde isimlerinin neredeyse ran ajanı suçlanmasının üzerinden geçmedi hukuksuz izinsiz dinlemelerden tutun siyasette başrol oynayan bakanlık yapan akplilerin vatan haini ilan edilmişti dönem yapılanları fetö kumpası ilan edip olmamış hukuki vicdanı siyasi açıdan tek sorumluluk almadan yürüyüp giden kişiler benzer kumpasları başkası planlıyor kişisel çıkar öncelik gençlerin serbest bırakılması sürecinde kapalı kapılar ardında tartışmalar yaşanmış hukuki açıdan mahkemenin vereceği cezanın içeride yattığı süreyle örtüşmesi gerekiyor gençlerin eylemleri nedeniyle isnat edilen suçun yatarı çerde kaldıkları sürenin uzaması durumunda ceza maddesine alacaklı çıkabilirler hukuki sonuçları nfaz kanuna birilerine zarar vermemişse yatarı suçlarda zanlıyı içerde tutamazsınız hürriyeti bağlayıcı infazı suçlar içerdeki kaldıkları alacaklı duruma düşüyor adliyede bakanlıkta tartışma konusu eylemlere katılan kişilerin yaklaşımla serbest bırakılacağı bekleniyor yaralama olayına karışanlar hariç
açılımda ypg şüphesi,terör örgütü lideri abdullah öcalanın açıklamasının satır araları didik didik edilmeye başladı çağrının suriyede faaliyet yürüten ypgnin silah bırakmasını kapsayıp kapsamadığına takıldı akpliler ypgnin kapsamda söyleseler şüphe içeren tavırlar kulislerde konudaki analizlere kafa karışıklıklarına bakmak istedik devlette süreci yönetenler siyasiler silah bırakma konusunun ypgyi kapsadığını söylüyor ypg ana başlik kişiler süreci öcalanın açıklamasından başlatmıyorlar suriyede hükümetin kurulmasından yana görüşme temasların temelinin ypg bölgesinin silahsızlandırılması kurulduğunu anlatıyorlar pazarlıkların kurulduğu belirtiliyor stihbarat uzmanları türkiye bölgedeki silahlı unsurların lağvetmesini bekliyor merkezi hükümetle varılan mutabakat içeriyor silahların merkezi hükümete teslim gerekiyor ypgnin tavrı hamisi srailden kaynaklanıyor abd görevi sraile havale umut bağladılar türkiyenin tavrı net yaşanan 800 kürtün sivil siyaset temsil edilmesinde sorun silahlı unsurlar pkk kabul edilemez yorumu yapıyorlar net olunmadi öcalanın açıklamasının aşamasında rol alan istihbarat birimlerinin konunun net vurgulanmasını sağlamadığı soruların başında unsurlar ifadesinin yarattığı kafa karışıklığı herhalde öngörülmüştür öcalanın yazdığı mektuptan bölgeye giden kastediyorum demiş midir ypg yönetimi kastedilen değiliz demektedir incelikli ayrım konusunda kamuoyu eksik bilgi verilmiştir beklenti ler planlar iktidar partisi kurmayları ypgye yönelik atılacak adımlarda barzani ekibinden beklenti içindeler buradaki silahlı unsurların lağvedilmesiyle arabulucu rol üstlenebileceklerini düşünenler suriyenin toprak bütünlüğü esas alınarak merkezi hükümetten ayrı yapı olmayacak türlü formül hükümete uyuyor kongre kandi lde kulislerde konuşulan konulardan pkk kongresi kongrenin kandilde toplanacağı iddia sabote etmek isteyenler fırsata dönüşmemesi çift taraflı güvenlik önlemlerinden söz akpliler öcalanın açıklamasındaki ulusal devlet federasyon idari özerklik kültüralizm konularında talep olmadığına ilişkin vurguyu önemseniyor kürtlerle türklerin yıllık gönüllü birlikteliği cümlesi öne çıkartılıyor ktidar partisi mensupları sürecin başarıyla sonuçlandırılmasının avantaj yaratacağını düşünüyorlar sorunların gündemden düşmesinden memnunlar sabote edilmesine ilişkin korkuları yüksek anlayacağınız aylarca kafa yorulacak başlık malzeme
ysknin seçim turizmi,yüksek seçim kurulu ysk tarihinde abd seçimlerini izlemek ülkeye gitti seçim sistemi benzemeyen ülkeye seyahat sonrasındaki tartışmalar olmasaydı kurulun yurt dışı gezi sevdası dikkat çekmeyecekti sonradan öğrendik yargıtay danıştay üyelerinden oluşan ysknın 11 kişilik kurulu çoğunluğu davet sık sık yurtdışı seyahatine gidiyormuş seçim dönemleri dışında yılda muhtarlık seçim yenilemesi dışında işleri kurul üyelerinin sıraya koydukları gezileri konuşulmaya başladı siyaset kulislerinde kapsamda rusya moldova gürcistan macaristan bosna hersek azerbaycan özbekistan venezuela kazakistan ülkelerde incelemelerde bulunulmuş sırada tacikistan uruguay varmış ülkelerin seçim sistemleri inceleniyormuş kurumdan aldıkları harcırahlar dışında maliyeti yokmuş gerçekten ysknın deneyimli yargı kadrosundan oluşan kurulun seçim sistemlerini incelemek gezilere ihtiyacı nternet üzerinden ayrıntılarıyla öğrenilebilen seçim sistemleri bireysel araştırma garip üstelik türkiyenin seçim sistemine benzemez ülkelere neyi değiştirmek istiyoruz ysk heyeti yollara düştü seyahatlerde detaylı incelemelerde bulunulduğu incelemeler neticesinde edinilen bilgilerin kurul toplantılarında değerlendirildiğine ilişkin açıklama yapılmıştı geçtiğimiz aylarda başkan türkiye elektronik oylamaya geçebilir demedi tartışmaları yaşandı sonuçta niyet seyahatler keyfi görünüyor seyahatlerin gereksizliğini turistik faaliyete dönüştüğünü tarafa bıraktık yargıtay danıştayda sıkıntı yaratmış geziler yargı mensuplarının bulundukları dairelerde işlerin aksamasına olmuş şikayetler siyasilere ulaşmış yargıdan açılınca siyasiler geçmiyor yargı mensubunun silahı arabası lojmanı telefon almayalım yakındılar yakın zamanda yasada düzenlemeyle yüksek yargı mensuplarına milletvekilleri özel hastanelerden yararlanma olanağı getirilmişti yüksek yargının yöneticileri hızla artan özel hastane diş tedavisi faturalarıyla uğraşıyormuş aşırı harcama önlem almak zorunda bırakmış kulislerin bireysel talepler iddia anlayacağınız yargının yavaş işlemesi kararlara güvensizlik yargıya müdahale tartışmaları kararlar adalet duygusunun zedelenmesi öncelikli sorunları konuşan tek kişi
saraya ekonomi kadrosu,hazine maliye bakanı mehmet şimşek ekonomik programı sabote siyasi operasyonun sonuçlarıyla boğuşurken sarayın planlar iddia merkez bankası başkanlığı döneminde uyumlu çalışamadığı hafize gaye erkanın atanacağı iddia edilen görev kulislerde dalgalanmaya erkanın göreve getirilmesinde abdnin ankara büyükelçisi tom barrackla dostluğunun etkili olacağı iddiası tartışma yarattı hafize gaye erkanın şubat 2024de merkez bankası başkanlığı görevinden alınmasından sürekli gündem erkanın görevden alınma gerekçesi hazine maliye bakanı mehmet şimşekle uyum sorunu abdye dönmek türkiyede kalarak görev beklemesi oecd temsilcisi ardından sarayda etkin göreve getirileceği iddiaları önümüze düştü türkiyenin erkana görev bulmaktan meselesi yokmuş 28 martta resmi gazetede yayımlanan kararnameyle dijital dönüşüm ofisi finans ofisi nsan kaynaklan ofisi yatırım ofisi birleştirilerek yatırım finans ofisi oluşturulmasının ardından erkanın ismi ortaya atıldı ofisin başkanlığına getirileceğine ilişkin kulis bilgileri haber paylaşıldı iddialar nedeni sonuçları konusunda kulisleri hareketlendirdi bayram rehavetine ekonomideki dalgalanmayı yakından izleyenler gerçekliği yaratacağı sorunlar konusunda ilginç saptamalar bulunuyorlar bakış açısı erkanın ofisin başkanlığına getirilebileceğini savunanlar abdnin ankara büyükelçisi tom barrackla iyi ilişkilerini gerekçe gösteriyor abd dönemde kurulacak ekonomik ilişkilere özel anlam yükleyen çevrelerin ilişkinin faydası olacağı tezini işlediği cumhurbaşkanı tayyip erdoğanı noktadan ikna etmeye çalıştığı öne sürülüyor açıdan bakanlar endişeli erkanın yatırım ofisinin başkanlığına getirilmesinin sarayda alternatif ekonomi yönetimi oluşmasını sağlayacağı başlı ekonomi yönetiminin zor kontrol edilen ekonomiyi yoldan çıkaracağını dile getiriyorlar ekonomiyi yakından izleyenler hazine maliye bakanı mehmet şimşekin uyguladığı politika konusunda saray yönetimini ikna etmekte zorluk çektiğini biliyor sorunun eski ekonomi yönetiminin temsilcisi merkez bankası eski başkanı şahap kavcıoğlunun şimşeke bankacılık düzenleme denetleme kurumuna atanmasıyla başladığını unutmamak gerekir kavcıoğlunun merkez bankası başkanlığına getirilen kısa sürede görev anlayışı ailesinin müdahaleleri kişisel yaklaşımlarıyla sorun hafize gaye erkanın cumhurbaşkanı erdoğanın talimatıyla göreve getirilmesini cephe açmak nitelendirenler cumhurbaşkanının ekonomi danışmanlarının şimşek ekibinin ekonomi yönetim anlayışıyla uyuşmadığı sık sık ters düştükleri hesaba katılarsa şimşekin destekçisinin cumhurbaşkanı yardımcısı cevdet yılmaz yılmazın yaşanan sorunlar nedeniyle arabuluculuğa soyunmak zorunda kaldığı aşikar şimşek iş yapma biçimi bakımından partiden destek görüyor sarayın ekonomi kadrosu oluşturulacak şimşek ekibinin yapıyla ilişkisi kurulacak çift başlı görünümün dikiş tutmakla zorlanan ekonomiye etkileri olacak sorular soruluyor hükümetin bayram hediyesi elektriğe ölçüsüz zam stanbul büyükşehir belediye başkanı ekrem mamoğluna siyasi operasyonunun hasarlarını gidermeye yönelik adımlardan acı reçete paketlerinin hazırlandığı iddia siyasi kulislerde ekonomik programa asıl darbenin 19 mart günü vurulduğu boykotların eylemlerin günkü şoka kıyasla hesaba katılmadığı anlatılıyor şimşekin istediği heyeti oluşturamadan brüksele gidip güven tazeleme çabalarına abdeki muhataplarının endişeli sorular sorduğu bilgiler arasında bıçak sırtında sürdürülen ekonomi programa asıl hasarı iktidarın karar politikalarının verdiğini gösteriyor
