Başlık,Metin
nsanlar alışverişe mecbur milli ekonomiye sabotajı,karadenizin çoşkusu volkan konaka iktidarın milli eğitim müdürlerinden tutun kafası sarıklı sözde imamlarına milletin maaşını ödediği kötü ruhlara ağızlarına küfürleri nefretlerini kusmaları serbest aşağılıkların topluma kin nefret tohumları ekmek üniversiteli gençlerin alışverişi genel tüketimi boykot çağrıları toplumu bölmek halkı kin düşmanlığa tahrik nefret suçu işlemek yasalarla ilgisi ucube soruşturmalara olabiliyor ekrem beyin cumhurbaşkanlığı adaylığı karşısında tir tir titreyenler uyduruk maddelerin içine sokarak parmaklıklar ardına atabiliyor belediyelere el koyabiliyor yöneticilerini hapse atabiliyor alışveriş yapmayacağım demek suç konusu olabiliyor milli tüketime ekonomiye şantajmış medyalarında yalan haberlerini paralık paçavralarına döktükten akşam tvlerde koltuklarına gömüldükten yalanlarını oradan kusan iktidar görevlilerinin halkı bölme kin nefret kusma faaliyetlerine özgürlük güç performans tasarım özgünlüğü yeniden keşfetmek isteyenler büyülü yolculuk başlıyor ds automobiles keşfet alışveriş yapmayacağız diyen çağrı yapanlar milli ekonomiye sabotaj yapıyormuş ktidar adamlarının tek derdi para eyvah paralar kasadan kasaya halkın cebinden patronların iktidarlarının kasasına akmayacak milletin çoğunluğunu alışveriş yapamayacak duruma getirenler bizzat kendileri yoksulluk diz boyu sefalet bulunan ölmeyecek al kuruş idare et diyenler kendileri milli ekonomiye sabotajı kendileri halkı alışveriş yapamayacak duruma getirerek bence tartışılması gereken soruşturulması gereken ekonomiye sabotajdır toplumun azınlık kesimi istedikleri yaşayacak tüketecek gezecek tozacak eşitsizlik duvarları yıkacak millete soruşturma açacaksın tüketmiyorsun git tüket gerçekten ihtiyacı tüketim kötü şeydir tasarrufa zarardır türkiye alanda tasarruf edemeyen toplumdur sermaye birikimi zayıftır halkın kuruş tasarrufunu bırakın değerlendirmeyi yüksek enflasyonla hiçe dönüştürmek patronlara iktidara iç ettirmek enflasyonu araç kullananların ülkesidir neymiş milli ekonomiye zarar veriyormuş boykot gereksiz satın almayın çalışanlar emekten gücünü grevlerle kullanıyorsa millet bunca haksızlığa adaletsizliğe yolsuzluğa tüketimden gücünü kullanıyor
demokrasi milli irade sandık hukukun tutuklandığı andan yoktur,bugünün başlangıcı tarihte başlar kendime tarih sorduğumda sayıda tarih dönemeçleri önüme sizce tarihi esas almalıyız kilometre taşlarına başlı başına demokrasinin ortadan kaldırıldığı zamana işaret olayları sıralayalım şüphesiz başlıkta yazdığım hukukun tutuklandığı an diyoruz 2007 ergenekon arkasından balyoz operasyonlarının şimdiki adı fetullahçı terör örgütüne dönüştürülen yapıyla akp iktidarının mükemmel işbirliği sayesinde başlatılması hukukun kaldırıldığı tarihtir bakın askıya alındığı demiyorum ortadan kaldırıldığı tarihten hukuk düzgün işletilmedi 2007de uyduruk veri sahte bilgi sahte senaryolar binlerce insanın hayatı karartıldı odatv ergenekon operasyonları balyoz operasyonlarıyla ordunun tasfiye gereken fetöcü akpci subayları tutuklandı hayatlarından çalındı 2010 tarihini alsak hukukun tutuklanma zamanını akp fetö başı mezardakilere oy kullandırın yetmez evetçi sözde kanaat önderi kullanışlı araçlar ortaklığı referandum anayasada 23 maddelik değişiklik devlet bahçeli paketi uzlaşmadan uzak yabancı dayatması parti anayasası nitelendirdiği avrupalıların desteklediği taraf iktidar medyasının halk yönetime el koydu manşetleri duyurduğu güç performans tasarım özgünlüğü yeniden keşfetmek isteyenler büyülü yolculuk başlıyor ds automobiles keşfet referandum tarihi 12 eylüldü 12 eylül 1980 askeri darbesi tarihine denk düşürülmüştü askeri darbeye anayasa hukuka sivil darbe esası anayasa mahkemesinde vb değişikliklerdi 2016 fetö darbe girişimi sonrası yargıdan fetöcü yargı mensuplarının temizlenmesi yerlerine akpnin mutemet yargı adamlarının getirilmesini esas almalıyız fırsat fırsat yargının bakımdan akp kontrolüne girdiği tarihtir yargıda fetö hakimiyeti akp hakimiyeti yer değiştirdi akp bütünüyle iktidar yargı bütünleşmesi güçleri elinde toplamış 2016 fetö darbe girişiminin akp iktidarının kontrolü altında geçtiği darbe girişiminin epey zamandır gözlendiği konusunda yorumlar epey veriler bulunuyor gecenin gerçek tarihi yazılmadı iktidar girişimi otoriter hukukla bütünleşmiş otokrat karakterli rejime adım atmış iyisi 2017 referandumuyla başkanlık sistemine geçişi hukukun tutuklandığı tarih almalıyız hâkimler savcılar kurulu cumhurbaşkanı akpnin kontrolüne girdi yukarıda saydıklarımızın hepsini hukukun tutuklanmasında kilometre taşları kabul etmeliyiz demokrasi özgürlükler medya ifade özgürlükleri adım adım noktada iktidarın kontrolüne girdi hukuk akp iktidarının sürekliliğinin payandası kullanılmaya başlandı siyasi rakipler tasfiye edildi seçimlerin kazanılamayacağının görülmesiyle hukukun anlamıyla torbada tutuklu iktidarın uygulamalarıyla belgelenmeye başlandı hukuk 2007den tutuklu akpnin seçimleri kazandığı zamanlarda varmış algılanması sağlanıyordu seçimleri kaybetmeye başladığı tarihten hukukun göstermelik görüldü demokrasi 2007den oyuncaktır 2008de medyayı susturmaya başlamışlardı milli iradenin iktidar tutuklandığını görüyoruz seçim sandığı akpnin oyuncağı torbada tutuklu turpun büyüklerinden biridir
mutlaka iktidarda kalmak istiyorsunuz,rdelenmesi açıklanması yazılması gereken temel soru budur uzun süredir iktidarın karar eylemleri konusunda yazılıp çizilenlerin ortak noktası erdoğanın mutlaka cumhurbaşkanı seçilmesi elinden yapacağı üzerinedir seçimde iktidarı devralabilecek halk desteğinin görüldüğü ekrem beyi siyaset sahnesinden tasfiye etme operasyonunda net ortaya çıktı kimsenin savcılık iddialarının içeriğiyle ilgisi boş kofluğunu görüyor hedefin ekrem bey konusunda zerre şüphe duymuyor köylüsünden şehirlisine işçisinden memuruna emeklisinden çalışanına türkiyeyi izleyen yabancı tarafsız yazarlarına cumhurbaşkanı konuşmasında torbada turplar chp belediye adaylarına yönelik hazırlıkların işaretlerini veriyor baktım le monde erdoğan geri dönülmez adımlar atıyor otoriterlikten otokrasiye geçiyor yazmış saptama muhalefette düşünüyor adım atıldığında sandık göstermelik kalacaktır şimdiye sandık üzerinde gerçekleştirilen hukuki yargısal numaraları geçersiz kılacak yanıtı lk otokrat otoriter kişilerin bitmez tükenmez iktidar tutkusu ktidara yapıştı sonsuza koltukta oturmayı vaat edilen hediye edilen ilahi karar sanması konulmaz insan benliğini esir alan hırs tutku tutkunun sonucu hepsine katlanan göze alan demokrasi oyununa katılan sürekli iktidara yapışma niyetini saklayan otokrat kişilerin tavrı olabilir bilmiyoruz demokrasiyi tren gören iktidar istasyonunda ineceğini dile getiren söylemlere bakılacak baştan kararlaştırılmış gizli niyet duruyor tutku zamanla 22 iktidarda kalmanın nimetleri iktidarlığın kişiselliğe yapışması gelişmiş olabilir kinci yanıt birincisiyle derece ilişkili ktidara yöneltilen zenginleşme kayırma belediyelerindeki araştırılmamış yolsuzluklar ihalelerin iktidar yanlılarına akıtılması ihalelerde yasalara uygun uygulamalar vb iktidar muhtemel soruşturmalara uğrayacak konuların varlığı iktidarda kalma zorunluluğuna yol açabilir muhalefeti sürekli onlarca boyunca iktidardan uzak tutmanın önlemlerini şimdiden almayı gerektirir yaşadıklarımızın arka planında muhalefeti tasfiye operasyonlarının gerisinde mutlaka iktidar kalma isteğinde yukarıda saydıklarımız yatıyor
tüsi ad yapmış bakın hele,tüsi ad başkanı orhan turan yüksek stişare heyeti konseyi başkanı ömer aras hakkında savcılık halkı yanıltıcı bilgi yaymak iddiasıyla 10 aydan aya hapis cezası istedi akla ziyan istek siyasetçe yönlendirildiği konusunda kamuoyu yaygın kanaate sahip ikisi işadamı iktidarı eleştirirsin ders verme icraatı eleştirileri medyanın alanında yapmayan bilim teknoloji konularında yazan dergi yayımlayan yorum yapan gazeteci tüsi ad etkinliklerine sırada davet edilirim fırsatım olunca katılırım tüsi adın düzenlenen etkinliklerinin listesini istedim asuman bayraktan derletip gönderdi teşekkür ederim liste uzun önümde gerçekleştirilmiş 143 etkinlik ciddi iş alanlarının geliştirilmesine türkiye ekonomisinin ileri düzeyde yenilikçi katma değeri yüksek üretime dijitalleşmesine teknoloji inovatif yapıya kavuşmasına yönelik toplantılar rapor sunumları üzerinde tartışmalarla tüsi ad tonlarca parasını bunlara harcıyor dedim kendime sanayi kuruluşlarını ileri teknolojiye dijitalleşmeye katma değer üretmeye teşvik amacıyla düzenlenmiş bütününe baktığınızda devletin başrol oynaması gereken konuları iş edinmiş devlet konularla yoğun ilgilenmezken başlıklarla demek istediğimi iyi anlatacağım sanayide dijital dönüşüm günleri sanayide dijital dönüşüm programı dünya ekonomisinin baş konusu konularda sayıda webinarlar yetmedi onuncu sanayide dijital dönüşüm günleri rekabet öncesi şbirliği türkiyenin dijitalleşmesi dijital çözümler konuda onlarca toplantı değişik konulara bakalım neleri iş edinmiş tüsi ad başkanı 2020 türkiye siber risk algı araştırması raporu tanıtım etkinliği türkiyede yazılım ekosisteminin geleceği raporu tanıtım etkinliği türkiyede yazılım ekosistemi 2025 vizyonu oturumu mesleki teknik liselerde sanayi stem eğitimi proje bulgular raporu teknoloji medya telekomünikasyon öngörüleri sürdürülebilir gelecek çin solar soğutma enerji depolama sanayide sıfır atık döngüsel ekonomi sürdürülebilir büyüme bağlamında tarım gıda sektörünün analizi çalışması avrupa yeşil mutabakatı türkiye ş dünyasını etkileyecek raporu tanıtım tüsi ad gençlikte ş 2020 kazananları girişimcilik kampı sanayi teknoloji entegrasyon programı step etkinliği zmir girişimcilik merkezi çalışmaları nesil sanayi çalıştayı bugünden yarına sağlıkta küresel novasyon otomotiv sektöründe nesil teknolojiler otonom araçlar webinarı şim gücüm geleceğim projesi 5g teknolojisi hayatımıza ş yapış biçimlerimize etkisi webinarı klim değişikliği mücadele enerji sektörünün dönüşümü klim değişikliği zirvesi yapay zekâ düzenlemeleri yapay zekâ odağında teknolojiler dijital dönüşüm paneli yeşil ş zirvesi yeşil dönüşüm perspektifinde ş dünyası paneli türkiyenin yüzyılında yüksek teknoloji eylem çağrısı raporu tanıtım toplantısı gelecek trendleri yapay zekâ çip savaşları ab yapay zekâ yasasına lişkin güncel gelişmeler şirketler açısından risk fırsatların ab türkiye perspektifinden değerlendirilmesi toplantısı silikon vadisi ağı toplantısı startuplar teknoloji firmaları avrupa ortadoğu afrika bölgesinin cazibe merkezi türkiye rapor tanıtımı endüstri novatif fikirler programı savcının istediği yüksek hapis cezaları etkinlikleri kapsıyor ktidar sahiplerinin sözcülerinin saldırıları herhalde yahu işimiz rolümüzü hakla kapmaya kalkışırsın düşüncesinden kaynaklansa diyeyim allah akıl fikir versin desem zerre işe yaramayacağını biliyorum
cunta,olağanüstü kongre beklentiler doğrultusunda gerçekleşti özelin parti meclisi sunduğu anahtar listesine dışarıdan giren olacak belli değildi delegelerin listede muhalifi görmek istemesi beklenen olaydır chp iyi okuyorsunuz özgür özelin cumhurbaşkanına cunta lideri tanımlamasına akpliler baştan sona itiraz ettiler chpye ağır suçlamalar yönelttiler cunta lafından alınması iktidar mensuplarının anlaşılır demokrasicilik oyununu bozan niteleme iktidar mensupları ekrem beye yönelttikleri içi boş suçlamaları davaları üstelik silivri hapishanesine tıkmalarını chpye kayyum atama girişimlerini milletin dünyanın chp iktidarını ekrem beyin cumhurbaşkanlığını engelleme girişimleri görmesinden alınmıyorlar gocunmuyorlar akplilerin iktidarın siyasi militan hukukunu yargısını oluşturduğu konusundaki açıklamaları yargı üzerindeki denetimleri bugüne muhaliflere uygulamaları kör gözüm parmağına apaçık ayan beyan ortadayken güç performans tasarım özgünlüğü yeniden keşfetmek isteyenler büyülü yolculuk başlıyor ds automobiles keşfet adalet bakanlığına getirdiklerinin iyi seçme görevlerinin olduğunun yüksek düzeyde bilincindeler talimat verilmesine gerekeni hemen yapıyorlar akpli milletvekilleri bürokratları emir kulları ortalıkta oynanan oyun konusunda sus pus olacaklar işleri maaşları keyifleri şeyleri tıkırında haleler akıyor zenginlikler paylaşılıyor hazine yöntemle hortumlanmıştır sonuçta ekonomi çökmüş millet yoksullaşmıştır türkiye tarihinin çöküşünü yoksullaşmasını dönemde yaşıyoruz akpnin yarattığı orta sınıfı milleti yoksullaştıran politikalar sayesindedir sınıf akpnin 25 30 arası oy almasını sağlamaktadır bağlamda soru önem kazanıyor muhalefeti parçalayıp etme mamoğlu arkadaşlarını üstelik tutuklamak siyasi kararlarınızın ekonomiye yeniden darbe vuracağını bilmiyor muydunuz biliyordunuz ekonomi umurunuzda esas dağınık parçalanmış cumhurbaşkanı adayının seçimlere girmesi engellenmiş muhalefet milletin yoksullaşmasından önemlidir leri cumhurbaşkanı adaylarına komplolar kurulacağının tartışıldığı ortam yaratıldıysa bütünsel türkiye fotoğrafı ülkede sandık demokrasisinin ortadan kalktığının göstergeleri kabul göstergeler millete mutlaka iktidarda kalmak isteği politikalarının önümüzdeki boyunca kötü günler beklendiğine işaret milletin iktidara erken seçimi kabul ettirme olasılığı kötü bekleyişlere verebilir ülkenin önü açılır cunta lafına alınacağınıza yarattığınız tabloyu inceleyin kendiniz karar verin yahu özgür özelin söylediği gerçekten cunta olduk paralel millet değiştirmek istiyor iktidara yapıştık yahu topal ördek olduk
sivil görünümlü askeri yönetim uygulamaları,şimdiye böylesi olmamıştı chpye kayyum atama partiyi dağıtma girişimi pişmiş tavuğun başına olay olabilir chpnin başına kayyum olayı gelmemişti chpyi 12 eylülün rezil uşak katil cuntacıları kapatmıştı cunta görevini tamamlayıp geri çekilince chp doğan partilerin chp çatısı altında birleşebilmeleri 11 sürmüştü ktidarın kafası chpye tarihi kötülüklere iyi çalışıyor geçmişteki benzerlerimiz chpye yapmışlardı dp dönemi dahil bugünkü koşullarda yapabiliriz kafası konularda çalışacak varsa ktidar mensupları medyası dahil tezgâhlanmak istenen kayyum kumpasını boşa çıkarmak yasal olağanüstü kurultay kararı almalarına hâlâ kurultayı geçersiz kılarızın kirli hesapları içindeler sırası gelmişken araya sıkıştırayım kayyum girişimi örtülü askeri karakterli yönetimin işi olabilirdi sivil görünümlü iktidarın örtülü askeri adımları uygulamaları resmi askeri yönetimin uygulamaları arasındaki ilişkiler benzerlikler ayrı araştırma konusu olabilir güç performans tasarım özgünlüğü yeniden keşfetmek isteyenler büyülü yolculuk başlıyor ds automobiles keşfet özgür özel muhatabım cumhurbaşkanı cunta başkanı içine girilen siyasi sürecin yapısına gönderme iktidarın seçim sürecinde attığı adım geçmişte askeri keyfi uygulamaları çağrıştırıyor 1980 askeri cuntasının adamı turgut özal cuntanın safdışı bıraktığı eski liderlerin 10 yıllık siyasi yasaklarının sürmesi cunta kararlarının kalması demişti referandumla yasaklar kalkmıştı bugünkü iktidar dönemdeki siyasi süreci aşarak özala rahmet okutacak uygulamalara imza atıyor partileri dağıt liderlerini içeri at fiili ülkede siyasi faaliyet yasağını hayata geçir parti kapatmak yargıtay başsavcılığının açacağı dava sonucu anayasa mahkemesine bırakılmış parti dağıtmak işlemez hale getirmek yasal yönetim dışında partide pusuya yatmış minik mahfillerin ortaya çıkmasıyla başlılık yaratmak amaçla türlü katakulliye başvurmak yasaldır gülmeyin otokrasiye yol alan tarafa geçmiş iktidar yasa hukuk yazılı uygulamaların bütünüdür yasalarda karşılığı ayaküstü uydurmalardır kolayı ayaküstü uyduramazlarsa maddelerden birinin içine insanları kurumları tıkmaktır sıkça başvurulan budur çeri tıktıkları milletin cumhurbaşkanı ekrem bey bunlardan tanesini balbaya söylemiş turbun büyüğü açıkladığın kişiyi tutukla uygun suçlama kılıf ara 600 lira palavra sık iktidarın malı yaptığın gazete yönetimleri imza atacak kimliksizler emirlerine amade ortam iktidar bizzat yarattı karşılarında bütünlüklü millet direnişi istediklerini yapmalarına izin vermiyor olağanüstü kurultay büyümüş güçlenmiş milleti arkasına almış bütünleşmiş parti yaratacak partiye yönelik kayyum girişimleriyle sıkı örgütlü üye sayısını üstelik artırmış chp oluşturdu ktidara aferin yolda devam edin demeli chpliler gizlice teşekkür etmeli bilemedim yasadışı siyasi adımları milleti ayağa kaldırdı herhalde kadarını beklemiyorlardı olağanüstü kurultay mitingle bütünleşiyor üstelik gençlik ayakta yiğit sanatçılar susmuyor 81 baro başkanı ankarada yürüyor chpnin erken seçim imza kampanyasına milyonu aşan katılım uyanış ayağa kalkış duracağa benzemiyor ktidarın elinde savcılık makamı yasaya uydur girişimlerinden sonuç almayı hayal ediyorlar eksik kalmasın tamamlayalım tanık çağırıyorlar savcıların iddialarını doğrulamaları amacıyla tutuklanırsın böylesine şahit olduk şirket sahiplerinin mallarına el konuyor murat ongun patronlara gel etkin pişmanlık yasasından yararlan itirafçı ol suçla baskılarının yapıldığı duyumunu paylaşıyor uygulamalarıyla karşılarında millet direnişi bulurlar yolda devam ederlerse resmi olağanüstü rejime geçecekler demektir
seçilmezsem seçilemez,hukuk iktidar ktidar hukuk istendiği keyfe keder uygulanan iktidar aracıdır ekonomi iktidar ktidar ekonominin batması geçmişte battı dönemimdeki batışın sayısı geçmişi yakalamam gerekir ktidar eşitlik ktidar ağzınızda gini katsayısı eşitsizlik artmış eşitsizliği sakız çiğniyorsunuz milletin katbekat fazla parası malı mülkü neresi eşitlik batışlarla zenginlik el değiştiriyor eşitlik sağlanıyor ktidarda kalmalıyız eşitliği sağlayabilelim sürükleyici sürüş deneyimi ds güç estetik performansın sınırlarını keşfedin ds automobiles keşfet adalet iktidar ktidar katmerlisinden şüphesiz adalet iktidara ait olmalıdır boşuna koltukta oturuyoruz nsan hakları iktidar ktidar yahu soru insan hakları dediğin batı sisteminin uydurması kavram osmanlıda kulluk iyi sistemdir vurursun enseye oturtursun kıçlarının din dersin peygamber dersin cami dersin minareler süngü dersin cehennem dersin fareli köyün kavalcısı peşine takarsın millet iradesi iktidar ktidar şüphesiz millet iradesi demektir ele geçirdin tepe tepe kullanırsın patentleyeceksin elinden kaptırmayacaksın siyasi ahlak iktidar ktidar tartışmasız ahlak değişken şeydir koşullara değişir ahlaksızlık yoktur yalan namuslu gününü koşullarına kılık değiştiren kullanılan kavramlardır ktidardayken muhalefette iken kanun iktidar ktidar bizzat kanun demektir kanun söyleyen değilim izleyicisiyiz ktidar kanunları yapar değiştirir iradeye el koymaya kalkanların kafasını ezer geçersin haa unuttum kanunu istediğin yorumlarsın maddenin içine milleti suçlu tıkabilirsin kanunları değiştirmenin yeri anlamı yoktur laf eski geleneği sürdürüyoruz madde kullanılabilir anayasa iktidar saçma soru iktidar anayasayı düzenlerim anayasa yasaya tabiidir demiş ünlü filozoflar nehrin altından akan su değildir değişim şeydir değişmeyen tek değişimin kendisidir hayatın değişime tabi midir din iktidar zırva soru iyi biliyorsun din iktidar aracıdır elinden bırakmayacaksın milletini tepesinde sopa sallayacaksın bıraktın iktidar olamazsın soru sözünüzü alabilir miyim seçilmezsem seçilemez
mar lago anlaşması vahşi trump teorisi,gördüğüm yazıyı özetleyeceğim yorum yapmadan yazı dijital yayın organı the atlanticte yayımlandı yazan rogé karma yazar hepimizin bildiği trumpın gümrük vergilerini abdde üretimi artırmak borçları azaltmak amacıyla uyguladığını belirtiyor arkasında dünyada jeopolitik kurgu yattığını ileri sürüyor kurgunun adımı gümrük vergileri teori abdnin finans piyasaları ekonomi basınında ciddi konuşuluyor trumpın yapmayı planladığı varsayılan pazarlığa isim verildi mar lago anlaşması teorinin temel ilkelerinin hazine bakanı scott bessentce onaylandı gümrük vergilerinin amacı ülkeleri pazarlık masaya oturmaya zorlamak fentanil kaçakçılığı yasadışı göç gerekçeleri aldatmaca trump dünyanın geri kalanını şok dehşet tutmak istiyor vergilerin yarattığı kargaşanın küresel durgunluğa yol açması teori gereğidir trump dünya ekonomisini çökertmeye hazır deli gösterdikçe ülkeler türlü ertelemeden korkacak çaresizleşecek yabancı liderler gümrük vergisi kaynaklı çılgınlığın sona ermesi adeta yalvarmaya başladıklarında trump floridadaki yerleşkesine çağıracak dizi talepte bulunacak ülkelerden amerikan mallarının satılması para değerlerini artırmaları istenecek almanya çin ticaret fazlası ülkeler amerikan kalbinde fabrikalar kurmaya zorlanacak yabancı merkez bankaları abd borçlarındaki mevcut varlıklarını 100 boyunca faizsiz yüzyıllık tahvillerle değiştirmeyi kabul amerika birleşik devletlerine fiilen ücretsiz finansman sağlayacak uyan ülkelere gümrük vergilerinden muafiyet askeri koruma garantisi verilecek reddeden ülkelere yüksek gümrük vergileri gelecek askeri destek alamayacaklar trumpa doların güçlü küresel rezerv para birimine dönüştürüyor dolar normalde olacağından pahalı hracatta amerikan şirketleri dezavantajlı ülkeler doları manipüle amerikan sanayisinin düşmesine trumpa hükümetler savunma harcamalarını düşük tutuyor abdyi müttefiklerini korumak aşırı harcamaya zorluyor ulusal borcu sürdürülemez seviyelere sürüklüyor trumpın pazarlığı bunlara vermek tasarlandı amerikanın müttefikleri rakipleri arasında ilişkiler küresel istikrarı getirecek teori saygın çevrelerde ihtiyatlı taraftar kazandı wall street firması müşterilerine mar alago anlaşmasını anlatıyor financial timesın köşe yazarı gillian tett yatırımcıların anda kavraması gereken trumpın eylemleri kapris teorinin güçlü iç mantığı yunanistanın sol görüşlü eski maliye bakanı yanis varoufakis trumpın gümrük vergisi takıntısı sağlam özünde risklibir küresel ekonomik planın parçası teoriye uymayan durumlar doların zayıflaması yabancı ülkelerin miktardaki abd hazine tahvillerini satmasını gerektirecek satış faiz oranlarını yükseltecek abd borcunun ödenmesini pahalı hale getirecek trumpın plana ilgi duymuyor yılın başlarında brics üyesi ülkelerin uluslararası ticaret para birimi yaratabilecekleri söylentileri dolaştığında trump güçlü abd dolarını değiştirmeye çalışırlarsa 100 gümrük vergisi uygularım mar lago anlaşması gerçekleşirse felaket gelebilir ülkelerin dolara alternatifler bulma çabası uluslararası ekonomik kaos yaratır abd hazine piyasasına inancı zayıflatarak küresel mali krizi tetikleyebilir şimdilik mar lago anlaşması gerçek plan olmaktan trumpın adamları şimdilik başkanın gelişmemiş dürtülerine stratejik bakış açısı kazandırmaya çalışıyor https theatlantic com author roge karma hudsonbaycapital com documents fg hudsonbay research 638199_a_users_guide_to_ restructuring_the_global_trading_ system pdf
otokrasiyi önleyecek halk kitlelerinin gücü türkiye02,ramazan şeker bayramınız kutlu bağımsız bayramları severim aileler araya gelir çoluk çocuk torun kardeş damat gelin dedeler nineler çocuklar büyükanne büyükbabalarını tanır aile toplumsal yaşamda önemlidir ortak yemekler aileden birilerinin sürpriz yemeği şakalaşmalar hafif takılmalar üstü kapalı dokunmalar başarılar başarısızlıklar tembellik edenler okullar veee geçmişten anılar neredeee günler bolca hikâyeler miydi yaaa gençliğimizde varya ahhh ahh salonun yemeğin ortak vazgeçilmezi günümüzün gerçeği nee yapacağız gidecek neyin pahalı uzun ahlar vahlar anneanneler dedeler yaşadıkları yerdeki marketleri dolaştıklarını anlatacaklar boyu süren iyi ucuzu arama yemek masasında neler duruma bakın sıkma canını be anne sıkmam be oğlum rezil ekonomik durumumuz olmuş muydu eğitimin kötülüğünden tutun okul masrafları denkleştirileceği tartışmalar oradan yandan ses yükselecek kızgın allah kahretsin yüzler gerilecek söylenmeye başlayacak yiyip tükettiler yapacağız bayram bayram buraya taşıyamayacağım söylemler güç performans tasarım özgünlüğü yeniden keşfetmek isteyenler büyülü yolculuk başlıyor ds automobiles keşfet derken ninenin sesi yükselecek söylemeyin bayramın tadını kaçırmayalım olmazsa bayramı güzel atlatalım tadı kaldı anneanne bayram büyükadada geniş aile yemeğini günerin özel burma hafif şekerli cevizli tatlısını özleyeceğim tatlı yeme yarışını sohbetleri novanın doğumu süredir dışarıdayız ufak harcamada tl karşılığı hesap edip yoksulluk uçurumuna düştüğümüzü görüyor hemen geri çekiliyoruz para suyunu çekti adanın eğitim derdi kardeşi novanın olacak ada birinci sınıfa başladı sürü etkinliği gününe sığdırıyor 15 günlük tatilde onlarca kurs dijital medya kursuna gidiyor ülkemizin genç beyinlerinin hayatlarını dışarıda kurmak istedikleri buradan iyi anlaşılıyor zamanlar sosyal açıdan sıkıntılar olabilir aşılıyor ülkeden göç binlerce yetişkin insan öğrenciler birbirlerini buluyorlar ülke dışında yaşayan çalışan beyinlerimiz mesela diyelim dünyada genişçe yer edinebilseler araya gelebilseler mükemmel türkiye02 kurabilecek güçteler maltepe mitingini izliyoruz muazzam kitle alanın bugüne görmediği görmeyeceği ktidar seçim kaybedeceğini görüyor milli iradeyse milli irade maltepede milyonlar saraçhanede binler ülkeyi seviyor musunuz milleti seviyor musunuz temel soru budur yol ayrımındayız ktidarınız ülkenin milletin iyiliği esenliği
üniversitede siyasi olayda diploma gerçeğini bükecek makam yoktur,dün ekrem bey cumhuriyeti ziyaret haberini sayfalarımızda okuyacaksınız ekrem beye üniversite üniversite ahlakına üniversite kavramına uygun davranarak diplomanız gerçeği söyleyecek sorusunu yönelttim ekrem bey konuda endişeliyim geçmişini kuruluşunu varlığını 600 öncesine dayayan üniversitenin gerçeği söylemesi diplomayı verdik gerçeğe uygundur demesi beklenir hemen arkasından savcılığın rektörlüğe ikinci yazı yazarak işlemleri hızlandırmasını istediği haberini gördük diploma işlemlerinin yapıldığı dekanlık üzerindeki baskı ortaya çıktı kararı verecek rektörün diplomayı fakülte verdiyse dekanına savcılık emrini iletecek kendilerinden istendiğini belirterek dekanın gerçeğe sadakati rektörlüğün savcılığın sarayın istediği sahte rapor vermesini mümkün kılması zor çamura atan kalemler bastırıyor bilgiye gerçeğe sadakat üniversitenin üniversite olma halinin olmazsa olmazıdır sonucu savcılığın acelesi demek kardeşim diyenler savcılık hakla hafta geçmeden ikinci yazıyla rektörlüğü sıkıştırıyor güç performans tasarım özgünlüğü yeniden keşfetmek isteyenler büyülü yolculuk başlıyor ds automobiles keşfet mamoğlu hakkında savcılık hakla resmi belgede sahtekârlık davası açabiliyor ortada diploma ekrem bey diploma üzerinde tahrifat yapmış diploma vermiş verdirmiş üniversite kayıtlarında verilmiş diplomanın belgeleri bilgileri trabzon doğumlu anası babası belli mamoğlu soyadında üniversitenizde kayıt yaptırmamış üniversite diploma vermemiş mamoğlu adamları karanlıkta üniversiteyi basmış diploma düzenlemişler mamoğlu adamları rektörlüğün dekanlığın kafasına silah dayamışlar üniversitemizden mezundur diplomasını zorla vermişler ktidar adamları stanbul üniversitesine bak kardeşim günler oraya atadık bitir işi üniversite yönetimi istenen raporda eli kolu hazırlayıcısı imzası olacak üzerlerinden gerçekleştirilmek istenen sahtekârlığa direnmelidir bedeli üniversite evrensel kurumda çalışıyorlar gerçeğin bilginin namusunu korumak zorundalar gerçeğe sadakat oynanmak istenen dalavere karşısında gerçeğe sadık kalmak insanın önüne hayatı boyunca gelir namussuzlar tahrif et diploma sahte iptal edin şeklinde koldan bastırabilirler sınavdan alnın ak çıkmak fırsatı hayatta önüne gelir boyun eğdin ikinci üçüncü beşinci gerçeği çiğnemek kapını çalarlar kullanışlı çıkarsın alnın ak yaşarsın stanbul üniversitesinde siyasi olayda gerçeği bükecek yetkili makamın olmadığını düşünüyorum mesele mamoğlunun ötesinde dönemde onlarca kişiye verdikleri durumdaki insanların gerçeğini pas geçemezler 600 yıllık tarihi gözetliyor evrensel değerler gözetliyor
