Başlık,Metin
haksızlıklara dur diyecek güç,tarihinin yaşamsal seçimine diliyoruz olmamak arasında tercih yapacağız ortalık allak bullak anlaşılan iktidar kargaşa çıkartmaktan medet umuyor barış huzur seçim isteseydi yapardı haksız suçlamalarla ekrem mamoğlu defterini dürmek ister miydi mamoğlu na yönelik haksızlıkların kamuoyunda tepki yaratacağını bilmiyorlar mıydı biliyorlardı demek kasten planın parçası sahneye koyuyorlar ortada çığrından çıkmak hukuksuz saldırı anayasa kanunlar rafa kaldırıldı keyfi uygulamaların güvensizlik huzursuzluğu arttıracağını herkesten iyi bildiklerine seçimi kazanmak uğruna türlü hukuksuzluğu göze aldılar demek seçime bilir nelere tanık olacağız tasarlandığı haksız hukuksuz keyfi kararla ekrem mamoğlu görevden alınıp akp li kayyum atanırsa milyonlarca stanbullu saraçhane meydanında toplanıp ekrem başkanı seçtik görevden alamazsınız başkanımızı kimseye yedirtmeyiz savunmaz milyonlarca insanı aşacaklar dedim gözlerini karartmış görünüyorlar mamoğlu nu tasfiye edip stanbul zengin gelirlerine el koymaya gidiyor chp parti diğerlerinin keyfiliğe seyirci kalmayacağını biliyorlar ülkeyi karıştırmak seçimlere sisli havada kaygan zeminde girmek istiyorlar mühürsüz oyların sayılması trafolara kedi girmesi atı alanın üsküdarı geçmesi kolay olacak unuttukları ülkede anayasa çiğnenip kanunlar rafa kaldırılsa duruma dur diyecek güç güç millettir ülkenin gerçek patronu odur yüce milletinin anlayış sezgisine inanıyorum haksızlıklara halkın demokratik hakkını kullanarak yeter diyeceği inancındayım ülkenin gerçek patronu vatandaştır halktır millettir mamoğlunu yedirtmeyiz dün stanbul büyükşehir belediyesi imkânlarıyla yaptırdığı dudullu bostancı metro hattının açılışında konuşan ekrem mamoğlu stanbul adalet türkiye adalet istiyorum haykırdı yanlışlıktan dönülmemesi halinde gök kubbeyi başlarına yıkacağını söyleyen mamoğlu mücadeleyi bırakmayacağı anlaşılıyor türkiye kent kent sokak sokak dolaşarak uğradığı haksızlığı halka anlatacak mamoğlu kimsenin hakkını yemem kimseye hakkımı yedirtmem stanbul halkı yana nsanlarımızın nabzını iyi tutan sanatçı müjdat gezen vatandaşın duygularını sözlerle dile getirdi rüşvet yiyebilirsiniz birbirinizi yiyebilirsiniz ekrem mamoğlunu yedirtmeyiz stanbul seçmeni sahip çıkacaktebessüm acı tebessüm ülkede malı götürenler eli yağda eli balda yaşayanlar yerden maaş alanlar köşklerde yalılarda saraylarda günlerini edenler ülkenin kaymağını yiyenler paralarına para katanlar mutlu olmaları fakir fukaraya garip gurebaya vaat ahret cennet huriler sabir gel acı acı tebessüm etme böylesi dünyaya günün sözübir ülkede hukuk adaletsizlik kar topu yuvarlanarak büyür
kılıçdaroğlu olmasaydı,uzun yıllar azap çektirilen ıstırap kıvrandırılan eyt lilere emeklilikte yaşa takılanlara haklarının teslim edilmesinden anlıyoruz ülkede vatandaşın hayrına yapılıyorsa altılı masa kurucusu kemal kılıçdaroğlu ndan kopya çekilerek yapılıyor kılıçdaroğlu emeklilikte yaşa takılanlara eziyetin bulması çağrıda bulunmasa iktidara gelince sorunu çözeceğiz saray sıkıştırmasa eyt lilerin sorunu çözülür müydü milyonlarca emekli bayramlarda ikramiye alabilir miydi cumhurbaşkanı erdoğan 2019 yılında eyt lilerin umutlarını yıkan konuşma yaparak demişti tutturmuşlar erken emeklilik skandinav ülkelerinin sistemle battı ülkenin başına erken emekliliği dolayanlar maalesef bedelini ödeyecekler ödediler erken emeklilik bırakalım emekli gerekiyorsa parasını güzel alsın hesap kötü hesaptır şer hesaptır zararlı hesaptır politik hesaplarla yapmayız yapmayacağız arkadaşlarıma söylüyorum yola teşvik etmeyin milletimin faydası neredeyse varım milletimin ülkemin zararına yokum seçim kaybetsek yokum cumhurbaşkanı erdoğan 2019 sonuçta aradan geçen yılda eyt lilerin ıstırabı dağ büyüdü kılıçdaroğlu söz veriyorum sorunu çözeceğim deyince iktidarın tavrı değişti seçim kaybetsem yapmam diyen sayın cumhurbaşkanı zorda kaldığı geri adım atarak 250 eyt liye emeklilik hakkı tanıdı kılıçdaroğlu diyorsam yapıyorlar sıra otomobildeki ötvde erdoğan nasılsa yapacaksın yapacağını biliyorum yorma sesleniyor kılıçdaroğlu iktidarın çekişmesinden vatandaş kazanıyor muhalefet sıkıştırdıkça iktidar oy kaygısıyla kesenin ağzını açıyor duruma itiraz edenler seçim rüşvetleri ülke ekonomisini batıracak diyorlar popülist harcamalar dengeleri bozar ülkede neye para harcanmıyor tibardan tasarruf diyen iktidar yana oluk para akıtıyor sıra vatandaşa gelince tasarruf akla lüzumsuz harcamaları kısıp işçiye çiftçiye memura emekliye öğrenciye versinler tibardan tasarruf diyen iktidar yurttaşın ülkenin itibarı unutmamalı ktidar oy kaygısıyla istenirse chp lideri kemal kılıçdaroğlu ktidar sorunları öğreniyor zorunda kalıyor yaptıracağım kılıçdaroğlu haksız gerçekten oy kaybedeceğini anlayan iktidar bugüne dediyse şte örnek emekliye bayramlarda ikramiye istedi iktidar emekliye istemeye istemeye 1000er lira ikramiye verdi düşük emekli maaşının arttırılmasını istedi artırıldı temel gıda ürünlerinde kdvyi kaldıracağını söyledi kdvnin oranı 8den 1e indirildi dar gelirlinin liraya icra borçlarının silineceğini söyledi silindi yoksullara doğalgaz desteği muhtar maaşlarına zam istedi aynen yapıldı elektrik faturalarındaki trt payını kaldıracağını açıkladı kaldırıldı emeklilikte yaşa takılanların hakkını vereceğini söyledi iktidar eytlilere haklarını teslim etmek zorunda kaldı örnekler arttırılabilir ktidarı yönlendiren kılıçdaroğlu vatandaşın umudu günün sözü gerçek lider fosfor gibidir çevreyi karanlık sarınca iyice parlar
altılı masa umut,enflasyon rakamları açıklandı türkiye statistik kurumu tüi k yıllık enflasyon 64 27 imiş rakama inandınız inanmadım bağımsız kuruluş enag yıllık enflasyonu 137 55 açıkladı 73 puan fark yaşanan pahalılığa baktığımızda tüi k inanmamız mümkün memur emeklilere maaş zamları tüi k in açıkladığı rakamlara belirlendiği kazığı yemiş konuştuğum emekli memurlar ateş püskürüyor sanırım hesabını sandıkta soracaklar seçimlere buçuk ay kala altılı masa halkın umudu haline geldiyse mimarı kötü yönetimdir 2002 yılında akp demokratik değerlere ekonomiye hukuk devletine adalet özgürlüklere dayanarak göreve gelmişti iktidarda 21 inci yıla girdiler durumumuz hemen ters dönmüş akp 20 yılda ülkedeki değerleri yıprattı demokrasi özgürlüklerden uzaklaşıldı halkın kısmı ucuz ekmek kuyruklarına mahkum edildi güç bende kuvvet bende kasa bende para bende söz bende kudret bende halk seçti aklıma gelirse canım isterse yaparım zihniyeti ülkeyi hale getirdi siyasette ekonomide gersin geriye gittik halkın çarşı pazardaki sıkıntılarını yoksulların göz yaşlarını pazar artıklarını toplayan çaresiz insanları görüyor biliyor üzülüyor şte noktada altılı masa vatandaşın umudu eğimli zeminde seçimlere kayıp gidiyoruz erkene alınmazsa buçuk ay kaldı akp elindeki imkanları kullanıp iktidarda kalmak istiyor tükendi millete verebileceği kılıçdaroğlu öncülüğünde kurulan altılı masa vatandaşa refah huzur türkiye vaat plan partisiz cumhurbaşkanı kuvvetler ayrılığı adil bağımsız yargı ülkeyi zora sokan tek adam sistemine vermek güçlendirilmiş parlamenter sistemi tesis etmek düşünce ifade basın özgürlüğünü sağlamak yolsuzlukları etmek kadın haklarını güçlendirmek eğitim adaletini sağlayıp gençlere umut imkan vermek ülkede liyakat sistemini kurmak in 100 üncü yılındayız 29 ekim ikinci yüzyıla adımımızı atacağız altılı masa verdiği mesaj yurttaş aç açıkta kalmayacak devlette görev ehil olana verilecek güreşçiden banka yöneticisi akademik hırsızdan rektör rüşvetçiden büyükelçi olmayacak hizmet yandaşa vatandaşa yapılacak cinayet aydınlatılmalı ankara göbeğinde işlenen siyasi cinayete akp mhp den ses çıkmaması şaşırtıcıdır siyasi suikast değilmiş kurşunlara hedef sinan ateş ülkü ocakları eski genel başkanı değilmiş nedendir tuhaf sessizlik bilinmez sinan ateş 2022 günü ailesiyle kutlamaya hazırlandığı saatlerde motosikletli saldırganın açtığı ateş sonucu hayatını kaybetti olay ülkücü camiada derin üzüntü yaratırken mhp yönetiminin cinayete sessiz kalması hayretle karşılandı chp lideri kılıçdaroğlu suskunluğu eleştirerek bakınız saraydan tık sarayın stepnesi değerli evlatlarından öldürülmemiş tek kelime etmiyor evladına sahip çıkamıyor ekledi cinayeti görmezden gelemezler susarak geçiştiremezler chp izin vermeyeceğiz gerçek aydınlanıncaya eşine babasına söz verdim aile adalet istiyor günün sözü siyasette atıp tutan kişilerden insan çıktığı görülmemiştir
paran varsa sağlıklısın,türkiye sağlık felâket halini aldı devasa şehir hastaneleri yaptılar doktorları kovdular yeterli doktoru hastane işe yarar sağlık sorunlarına çözüm bulması gereken iktidar ayrılmak isteyen doktorlara kızıp varsın gidiyorlarsa gitsinler deyince ipler koptu devlet hastanelerinden 13 550 doktor istifa ay 220 hekimimiz memleketlerde çalışmaya gidiyor ülkemizde emekle uzun yıllarda yetişen çaresiz kalıp yurt dışına giden doktorlarımızın sayısında 40 kat artış devlet hastanelerinden randevu almak sorun haline geldiği vatandaş özel hastanelere mahkûm edildi özel hastaneler ateş pahası paranız varsa sağlıklısınız paranız çile çekmeye ölmeye hazırlanın devlet altılı masa liderleri kılıçdaroğlu sağlık politikaları danışmanı coşkun bel in sesine kulak vermeli uzun yıllar sağlık yazarı görev yapan coşkun bel yıldır chp hizmet raporlar hazırlıyor kitaplar yazıyor yazdığı kitabın adı sağlıkta 20 sorun çözüm yollarıchp coşkun bel in tecrübelerinden mutlaka faydalanmalı kitabında devlet hastanelerinin çöktüğünü anlatan coşkun bel türkiye sağlıkla 20 temel sorununu gözler önüne seriyor parası olana gam özel hastaneleri mercek altına alan coşkun bel devlet hastanelerinden randevu alamayan dar gelirli vatandaşlarımız hastane kapılarında sürünüyor parası olana sorun paralıları özel hastanelerin kapılarında hasta hostesleri karşılıyor âdeta önlerine kırmızı halılar seriliyor serilmesin özel hastane odalarının fiyatları geceliği liradan başlıyor devam yıldızlı otelde kalıyorsunuz yıldızlı otelde kalsanız hesaplı otellerde oda fiyatlarına sabah kahvaltıları dahildir özel hastanelerde kuru odaya 10 lira aralığında para ödüyorsunuz içine tedaviler ilaçlar tahliller tetkikler dahil yazıyor coşkun bel haklı özel hastanelerde ufak operasyonlarda 10 50 arasında fatura ödemek zorundasınız ağır ameliyatlarda rakam lirayı buluyor faturası yarım lira fazla ameliyatlar vatandaş rakamları ödeyebilir özel hastanelerle mutlaka yönetmelik çıkarılarak konunun belli standarda oturtulması gerekiyor başıboşluk olmamalı tebessüm vay canına rüşvet alman mühendis türkiye yol yapımında çalışırken işçinin gelir dozerin paleti kırıldı der alman mühendis hemen kepçeyi kullanın talimat verir süre işçi yeniden gelir kepçenin dişleri kırıldı efendim der alman mühendis şaşırarak vay canına kayaymış arkadaş sert kaya yaa söylenir şçi kayadan efendim karaisalı hacı babanın mezarı ruhu kazıya izin vermiyor der alman sorar yapalım öyleyse şçi koç kurban edelim yoluna girer der koç kesilir kısmı yenir kısmı sağa sola dağıtılır ertesi dozer hamlede kayayı söker atar şçi gördünüz efendim deyince alman mühendis vay canına yaa der ölünüz rüşvetçiyse dirinizden allah korusun günün sözü hayatta gerçek bilgi yalnız bildiğini bilmediğini bilmektir
godotyu bekleyen çaresizler gibiyiz,ülkemiz fırtına çalkalanıyor halkımız bekleyiş umut bekliyorlar altılı masa gelsin kurtarsın bekliyoruz bekleyişe ülkenin patronu biziz hepimiz oylarımız altın değerindedir kendimiz güvenmeli yapacağımızı bilmeli acı ıstırap dolu dönemden kurtulmalıyız vatandaş bilinçlenmemiz iş başına ehil elleri liyakatli kişileri getirmemiz gerekiyor ülkede şeyimiz kullanmasını bilmiyor kurtarsın bekliyoruz toplum uyanmazsak kurtaramaz godot bekleyen çaresizlere döneriz yaşadığımız günlerde toplumumuzun suskun bekleyişi rlandalı yazar samuel beckett in godotyu beklerken adlı dünyaca ünlü eserini hatırlattı kısaca özetleyeyim yaşlı perişan adam akşam vakti boş kır yolundaki tek ağacın altında bekleşirler godot dedikleri birini beklemektedirler godot gelecek sefil hayattan kurtaracaktır godot gerçekten gelip gelmeyeceğini bilmezler adam godot beklerken sürekli konuşurlar tartışırlar darılıp barışırlar birbirlerine amaçsız anlamsız duygular düşünceler aktarırlar akşam ortalık kararır adamlardan godot geleceğinden ümidini keser yatıp uyur öteki hâlâ umutludur süre arkadaşı uyanır uykusunda gördüğü evrensel uyumsuzluğu ifade kabusu anlatır gerçeğin düşün umutsuzluğu uyumsuzluğu yoksulu korkutur gece ilerler ay çıkar iyice yükselir kurtarıcı umutla beklenen godot gelmez gelmeyecektir godot amaçsız hayata amaç getiren beklenen istenen bilinmeyen tanınmayan varlıktır godot gelecek insanların düzenini uyumunu sağlayacak işler düzelecektir eserin kahramanları düşünmektedir umutla beklenen godot gelmez nsanlar akıllanıp kendilerini kendileri kurtarmak zorundadır toplum yıllardır gelmeyen godot beklemek kendimize güvenmeli yapacağımızı oy vereceğimizi bilmeli acıklı dönemden gücümüzle kurtulmalıyız mustafa kemalin gazeteleri erkan özmen mesleğin başarılı isimlerindendir 1999 yılında emekli olduktan kitap yazmaya başladı mustafa kemal atatürk ilginç kitaplarıyla dikkati çeken erkan özmen mustafa kemal sofyada beşiktaşlı mustafa kemalson kale çanakkale kitaplarından mustafa kemalin gazeteleri adlı kitabını yazdı atatürk kurtuluş savaşı boyunca basına önem vermiş ulusal basının oluşmasına çalışmıştı gazeteciler gördüklerini düşündüklerini bildiklerini samimiyetle yazmalılar diyen atatürk özgür basının savunucuydu tebessüm türkiyenin başkenti ülkede cehaletin artmasından şikayet gazeteci yazar can ataklı sanatçı müjdat gezen müjdat abi toplum iyice cahilleşti ekledi yarışma programlarını izliyor musun nanılmaz basit soruları cevaplayamıyorlar türkiyenin başkenti neresi sorulsa bilmeyecekler müjdat gezen kahkaha patlatıp yahu can abartma türkiyenin başkentinin adana bilmeyecek çıkmaz günün sözüben zekiyim böbürlenmeyen zeki insandır
tanrım ülke olduk,eczaneye girip alacağımdan gayet emin kutu azopt göz damlası verir misiniz dedim göz tansiyonum yüksek süredir azopt adındaki damlayı kullanıyorum eczacı olumsuz başını salladı veremeyiz efendim aydır piyasada eczanelerde ecza depolarında yaa piyasada ilaçlara göz damlası eklendi demek skandal ülkenin sağlık bakanlığı yaa ülke olduk eczacı hazin durumdayız türkiye ilaç kabusu yaşıyor devam göz damlasının alternatifini bulabiliriz ilaçlar lk tercih kullanılan hayati önemdeki antibiyotik kanser ilaçları kanser tarama kitleri öksürük şurupları çocuk şurupları doğum kontrol malzemeleri verem çocuk felci hepatit b tetanos temel bebek çocuk aşılamaları aksıyor dertli eczacıyı dinlerken ruhum karardı koca türkiyeyi hale getirdiler acı acı düşünmeden edemedim yoklar ülkesinde yaşar hale geldik yüzyıl kuduz aşısı başta hayati aşıyı üreten kısmını yabancı ülkelere ihraç türkiye sorumlu ülkeyi kimler yönetiyorsa sağlıkta çağ atladık böbürlenen akp iktidarı tersine ülkeyi tehlikeli sağlık girdabına soktu rezilliğe çare ülkemizde hasta çaresizlik kıvranıyor yaşamaları şart ilaçları bulamıyorlar eczacı dostuma ülkeyiz bulunmayan ilaçlar sorunu çözülemez rezilliğin çaresi mudur sordum kederli başını salladı sağlık bakanlığı isterse çözer çözmüyor bizde üretim ilaçların çoğunluğu dışarıdan hammadde hazır ambalaj şeklinde getiriliyor laçları yabancı ülkelerden satın alırken dolar euro ödüyoruz şte sorun gerçek kur uygulamayan sağlık bakanlığı ilaçların fiyatını hakiki kur üzerinden belirlerse sorun anda çözülür canım sıkılmış söylendim yere para savuruyor tibardan tasarruf model uçaklardan lüks araçlardan inmiyorlar laca gelince para kalmıyor eczacı arkadaş sorun devam gerçekçi döviz kuru uygulanırsa ilaç fiyatları 200 300 zamlanır durumda sgk sosyal güvenlik kurumu altından kalkamaz vatandaşın ilaç zamlarına vereceği sert tepki iktidarı korkutuyor şin özeti sağlıkta yaşanan sorunlar sağlık kurumlarının çöküşü istifa edip yurt dışına kaçan doktorlar piyasada ilaçlar seçim öncesi akp iktidarının sonunu hazırlıyor tebessüm dönülmez sokak direksiyon başındaki temel sağa dönülmez işaretine aldırış etmeyerek sağa sapar anda düdük sesiyle irkilir trafik polisi elinde ceza makbuzuyla yaklaşıp sorar dönülmez levhasını görmediniz bayım temel boynunu büker vallahi polis bey görmesine gördüm görmedim
karanlık günler geri dönmesin,ülke bütündür göz ağlarken göz gülmez cenahta şiddet cinayet suikastlar ulusu sarsar ankara göbeğinde işlenen siyasi cinayete taraftandı boş vermesin gerçeği unutmamak kandan beslenmeyi tercih edenler sonunda kendileri akıbete uğrayabilir mhp camiasının ismi ülkü ocakları eski genel başkanı doçent sinan ateş in motosikletli tetikçi öldürülmesinden yana geçti ortalık hâlâ toz duman cinayeti organize ettikleri iddia edilen 10 kişi tutuklanarak cezaevine gönderildi aranan şüpheli hapse atılan sanıklar arasında özel harekât polisi bulunması düşündürücü kimden talimat alıp olaya karıştılar mhp camiası evlâtları sinan ateş sahip çıkmadı ülkenin güvenliğinden sorumlu iktidar partisinden ses seda suskunluk sinan ateş in mhp 12 danışmanlığını genel sekreter smet büyükataman ın nedeni bilinmiyor sesi soluğu çıkmadı çişleri bakanı süleyman soylu aydınlatıcı açıklama yapmıyor soruları yuvarlak lâflarla geçiştiriyor genel suskunluğu anlamak zor suikast şüphelilerinden birinin ankara mhp milletvekilinin evinden çıkması şaşırtıcı zanlı gözaltına alınıyor savcı talimatıyla serbest bırakılıyor 12 eylül 1980 askeri darbesi nden yana geçen 43 yılda ülkü ocakları genel başkanlarından suikasta kurban gidiyor cinayetin aydınlatılması ülkemiz siyasetimiz varırsa varsın ucu dokunursa dokunsun sonuna gidilmeli eski yıllarda siyasi cinayetlerin acılarını yaşadık karanlık günlerin geri dönmesi türkiye perişan eder şiddeti tehdidi siyasetin gündeminden çıkartmak şart yetkililer akıllarını başlarına toplamalı kaba kuvvetin ülkeye egemen olmasına imkân vermemeli suçlular ceza görmedikçe şiddet artar şiddet şiddeti doğurur sonunda ülke zarar görür hepimiz saçımızı başımızı yolarız susanlar utanır parti genel başkanı rifat serdaroğlu sözünü sakınmayan siyaset adamı ktidara yönelttiği eleştiriler nedeniyle hakkında dava cumhurbaşkanı oğlu bilal erdoğan hakaret iddiasıyla hapse mahkûm cezaevine girip çıkan rifat serdaroğlu eleştirilerine devam türk askeri suriye sonu belirsiz macera içine atıldı pkk terörü can almaya devam ekonomi bıçak sırtında şsizlik geçen artıyor selam veren ülke kalmadı şi gücü bıraktık türkiyeyi tek kişinin yönetimine teslim ettik türlü tehdide uyarı görevimizi yapmaya devam edeceğiz türkiye aydınları bilim insanları sanayicileri sendikaları konuşmaya başlayacak susanlar utanır dersiniz tebessüm çenenizi kapatın osman tunaboylunun dünkü tweeti biliyor geminin su aldığını biliyor yalan söylendiğini biliyor zarların hileli ee biliyor değişen ülkede çarpıklıklar aynen devam müjdat gezen in dünkü köşe atışı hdpyi kapatacağınıza çenenizi kapatın günün sözübatağa giren siyasiler çamurlu pabuçlarıyla ülkeyi kirletmemeli
beklenen stanbul depremi sinsice,işaretler stanbul beklenen depremin yaklaştığını gösteriyor tehlike kimsenin umurunda jeofizikçiler uyarıyor deprem profesörü adını verdiğimiz bilim adamları uyarıyor yer bilimiyle ilgilenen uzmanlar uyarıyor devlet görünmüyor toplum geçim derdinden nedir depremi düşünmeye bulamıyor boş veriyor kuzey marmara bilinen adıyla stanbul depremi sessiz haince sinsi sinsi yaklaşıyor bakacağız bela gelmiş kapımızı çalıyor korkmanın feryat etmenin faydası olmayacak nsanları öldüren deprem depremin yıktığı çürük binalardır deprem yönetmeliğe uygun sağlam güçlü binaları yıkamaz bizde çürük bina düşündükçe ürpermemek mümkün tehlike göz yaklaşıyor stanbul anadolu yakası nşaat müteahhitleri derneği uyarıda bulundu başkan yardımcısı mimar ahmet erkurtoğlu çevre şehircilik klim bakanlığı nı uyararak özetle eski binaların acilen yenilenmesi şart yapılmakta binaların beton demir kontrollerinin sağlıklı gerekiyor denetim eskiden demir betonlardan numune alınarak yapılıyor imalatın proje eklerine uygun kontrol ediliyordu maalesef mesela kadıköy 100 tane inşaat varsa 95 ine avrupa yakasından tanesine anadolu yakasından denetim uzmanı atanmıştır nşaatlarda beton genellikle sabah saatlerinde dökülür avrupa yakasında bulunan yapı denetim firması trafiğin yoğun saatlerde gelmek binanın kalıplarının fotoğraflarını istemekte görüntülü telefon konuşması demir beton kontrolu yapmaktadır saçma uygulama sonucunda inşaat esnasında proje eklerine uygun demir beton kontrolleri yapılamıyor bakanlığı uyarmayı görev biliyoruz gerekli önlemler alınmazsa beklenen deprem stanbulu fena vurur altan öymen kuşaklar arası uzun söyleşi altan öymen yılların gazeteci siyasetçisi mesleğin büyüklerinden siyasette zirveye tırmandı 1999 2000 yıllarında chp genel başkanlığı 40 ıncı hükümet te turizm tanıtma bakanı görev aldı 1932 doğumlu 91 yaşına bastı dev çınar 25 yaşındaki gazeteci atahan ünal üstat altan öymen le uzun söyleşi gerçekleştirdi söyleşiden kuşaklar arası adında 410 sayfalık kitap çıktı atahan ünal kuşağının merak ettiklerini sordu öymen kinci dünya savaşı yıllarında bahçede savaşçılık oynayan çocukların 1950 li yıllarda demokrasi sokaklara döküldüğü 1960 larda demokratik türkiye mücadele 1970 lerde bağımsızlık kalkınmanın savaşını verdiği darbeler siyasi ekonomik krizler düşe kalka bugünlere toplumun hikayesini anlattı birikimli bilge kişi altan öymen in anlattıkları ders olacak nitelikte doğan kitap tebessüm yürüten yürütene adam kahvede rastladığı komşusuna arkadaş sorum bakalım bilecek misin soruyor sor bakalım komşusu devletin temel organı temel organ yasama yargı yürütmedir aynen devletin kurumlarında yürütmeyi anlamış günün sözü kalın iplerle sımsıkı bağlanmış aslana tavşan hücum eder
onur duyduğum ödül uğur mumcu ödülü,uğur mumcu gazeteciliğin akı meslektaşımızdır alçakça öldürülen basın şehididir gazetecilik hayatı başarılarla dolu uğur mumcu verimli çağında karanlık güçler otomobiline bomba konularak kalleşçe şehit edildi 51 yaşındaydı araştırmacı gazeteci canavarca suikasta kurban gider uğur mumcu gerçekleri yansıtan köşe yazıları kitapları gericileri bölücüleri silah kaçakçılarını mafyayı rahatsız kendileri hakkında bilgiler belgeler açıklayacağını düşündüler 24 ocak 1993 günü evinin önündeki otomobiline bomba koydular suikastı bda c slâmî hareket hizbullah terör örgütleri üstlendi suikastın arkasında kontrgerilla mossad ın iddia edildi çabalara gerçek türlü aydınlatılamadı yıllar çabuk geçiyor 24 ocak salı günü uğur mumcu ölümünün 30uncu yılı çağdaş gazeteciler derneğinin eskişehir tepebaşı belediyesinin destekleriyle düzenlediği uğur mumcuyu anma ödül gecesi davet ettiler onur duyarak gittim lâyık görülen uğur mumcu ödülü dönem seçim kazanan tepebaşı belediye başkanı dt ahmet ataç verildi meslek hayatımda bugüne sayıda ödül aldım ödüller arasında uğur mumcu ödülü yeri gurur verici uğur mumcu bombalı suikastla öldürüldüğü tarihte çişleri bakanı rahmetli smet sezgin idi katilleri bulacağız devletin şerefidir namusudur söz vermişti smet sezgin siyasetçi elinden geleni güvenlik güçlerini seferber menfur cinayetin karanlığını aydınlatamadı uğur mumcu olay yaratan eserlerinden altan öymen birlikte 1975 yılında hazırladığı mobilya dosyası dır dönemin başbakanı demirel in yeğeni yahya demirel in hayali mobilya ihracatını edinen mobilya dosyası dönemin yolsuzluğunu ortaya çıkarmıştı 1977 sakıncalı piyade yazdı askerlik hayatını anlattığı eser ankara sanat tiyatrosunda 700 sahnelendi 1981 silah kaçakçılığı terör kitabını yazdı takım çevreleri fena ürküttü 1983 te abdi pekçi öldüren papa vuran mehmet ali ağca roma cezaevi nde çarpıcı röportaj 1987 gazetecilik açısından başarı rabita 12 eylül kitaplarını yazdı 1993 te yolsuzluk dosyalarını açıklamaya hazırlanırken suikasta kurban gitti çalışmalarıyla basın tarihinde şerefli yer edinen uğur mumcu unutmayacağız yılmaz büyükerşen ciddi tehlike atlattı eskişehir büyükşehir belediyesi olağanüstü sevilen başkanı yalnız eskişehir türkiye tanıyor seviyor prof dr yılmaz büyükerşen den bahsediyorum eskişehir avrupa kenti yapan başkan nazar değdi ev işleriyle uğraşırken çıktığı sandalyeden düşen başkan büyükerşen hastaneye kaldırıldı sağ gözünün altında düştüğü sırada aldığı sert darbe sonucu derin yara oluşmuştu kanlar akıyordu göze zarar gelmemişti doktorlar ciddi tehlike atlattığını söylediler kaldırıldığı hastanede tedavi edilen süre istirahat tavsiye edilen yılmaz büyükerşen iyileşmediği eskişehir bekliyor görevine döndü yarasının üzerindeki bant çıkarılmış görünmez kazayı ucuz atlatan prof dr yılmaz büyükerşen geçmiş diyorum günün sözü nefret öfkemizin aklımızın izinden gidelim
site aidatları çığırından çıktı,ülkede uçmaya başladı fiyatlar uçuyor kiralar uçuyor site aidatları uçuyor yaşamak derece zorlaştı paran oturma diyen saygısız site yöneticileri ülkedeki ekonomik kargaşayı fırsat bilip fiyatları coşturuyorlar nanlar evlerinde oturamayacak hale geldi sitelerin temel sorunu işin ehli bilinçsiz kişiler yönetilmesi nedeniyle ciddi zararlar yaşanması dün sabah yürüyüşü yaptığım sırada etiler alkent sitesi sakinlerinden dostla karşılaştım dertli görünüyordu hayrola dedim sitede aidatlara geçen zam yapılmıştı 55 arttırdılar tasarruf yapmıyor yana para savuruyorlar yazık konuyu bilmediğim sordum anlattı alkent yönetimi aidatları 18 ayda buçuk kat arttırdı 2021 yılında 1920 lira aidat ödüyorduk 500 lira ödeyeceğiz yılda 78 lira tutar çatı katlarının ödeyeceği aidat yaklaşık 8000 lira yılda 96 lira evimizde kiracı haline geldik nsaf sözleri dinleyince acı acı gülümseyerek sordum zamcı yönetimi seçti alkent sitesi oturanlarının oylarıyla göreve gelmediler şikâyet ediyorsunuz seçtiniz katlanacaksınız memleketimizin hali ağlaşıyor iktidara oy verip duruyorlar alkent demek arkadaşım yutkundu başını önüne eğdi diyemedi olay nazım hikmet in ünlü şiirini hatırlattı şair koyun gibisin kardeşim devam ediyordu gocuklu celep kaldırınca sopasınısürüye katılıverirsin hemen âdeta mağrur koşarsın salhaneye dünyanın tuhaf mahlûkusun derya içre deryayı bilmeyen balıktan tuhaf dünyada zulüm sayende açsak yorgunsak alkan içindeysek hâlâ şarabımızı vermek üzüm eziliyorsak kabahat demeye dilim varmıyor kabahatin canım kardeşim yılda şok artan konut fiyatları kiralar nedeniyle zor durumda kalan halkımız 2023 günlerinde şok yaşadı site apartman yöneticisi artan asgari ücretle personel maliyetleri genel giderlerin yükseldiğini gerekçe göstererek ağır zamları bindirdi genellikle sorumsuz bilinçsiz harcamalar site apartman aidatlarını olumsuz etkiliyor sitelerde yönetim kurulları aidat ödemiyor anlaşılabilir durum imkândan faydalanıp site işlerini gevşek tutup tasarrufu boş veren yöneticilerin bulunduğu yerlerde aidatlar arttıkça artıyor emlakçılar stanbul site apartmanlarda düşük aidatın 380 lira yüksek aidatın lira dolayında belirtiyor dertler genellikle ortak site sakini harcamaların şeffaf olmadığını iddia nerelere gidiyor paralar soruyor konuda dava açılabilir tebessüm merak temel doğduğu köyün camisine imam cuma hutbesi nden cemaatteki köylülerden merak konuyu sorar muhterem hoca efendi cenaze törenlerinde merhumun tabutunun önünde yürümeli arkasından gitmeli caizdir temel hoca vallahi azizim der bence olmayın neresinde olursanız olun günün sözüi nsanın insana kötülüğü yaratık yapmaz
