Başlık,Metin
akıl tutulması,geçenlerde aradılar genç yaşta kaybettiğimiz mizah ustası levent kırcayı anlatan belgesel hazırlıyorlarmış konuşur musunuz sorunca demek onur duyarım dedim telefonu kapatınca soruyu sordukları aklıma takıldı sevgili leventi iyi tanıdıkları yaşadığımız korku atmosferi nedeniyle susmayı tercih edenler olabilir düşünmekten kendimi alamadım iktidar türkiyeyi kara mizah ülkesi haline getirdi levent kırca yaşamış değerli oya başar arkadaşlarıyla olacak kadarı yayınlayacak televizyon kanalı bulabilmiş olsalardı bahse girerim kitüm zamanların reyting rekorlarını kırarlardı malzeme topluma mizahi çerçevede aktarabilmeyi göze alabilen rtük elinde ceza sopasıyla ekran başında bekliyor müjdat gezen metin akpınar ustaların ustası dev mizahçının sabahın köründe evlerinden alınıp adliye koridorlarına götürülerek hapis cezası istemiyle yargılandıklarını öznur kalendir tarihe tanıklık çizerlerin dava kıskacı yaşadıklarını görenlerin korkup sade suya tirit işlerle oyalanmalarına şaşırmamak gerekiyor basit eleştiriyi dava konusu yapabilen rtük sopasıyla bağımsız televizyonları sürekli döven akıl tutulmasının vardığı boyut karşısında insanın aklı duruyor akıldan söz edince fıkrayı anlatmasam adamın çişini tutamıyor yerde altına kaçırıyormuş doktora gitmesine derdine deva olamıyormuş pes edeceği sırada yolda arkadaşına rastlamış arkadaşı maşallah iyi görünüyorsun demiş adam fizik iyi görünmesine ciddi sorunu söylemiş arkadaşı hayrola nedir sorunun sormuş çişimi tutamıyorum demiş arkadaşı sağlıklı görünen insanın psikolojik nedenlerle çişini tutamayacağını söyleyerek psikoloğa gitmesini önermiş hafta yolda tekrar karşılaşınca arkadaşına hay allah razı iyi psikologa gönderdin demiş arkadaşı sevinmiş demek sorunun psikolojikmiş altına yapmıyorsun sormuş demiş adam altıma kaçırıyorum çişimle gurur duyuyorum gülüyoruz ağlanacak akıl tutulmasına vesselam
türkiye tarihinin kritik seçimlerine koşarken,önceki günden seçim sürecine girdik seçimler önemlidir mayıs ayında yapılacağı anlaşılan seçim tarihinin kritik seçimi olacak altılı masa muhalefet seçimi kaybederse atatürk cumhuriyeti 100 yılını tamamlayacak sayfa açılacak ktidar ortakları türkiye yüzyılı tanımlıyor atatürkün kurduğu cumhuriyetin devamı altılı masa adayının cumhurbaşkanlığını muhalefetin milletvekili seçimlerini kazanması gerekiyor seçimin tarihinden gerekse iktidar kanadı sözcülerinin söylemlerinden propaganda döneminde halkımızın dini duygularının alabildiğince sömürüleceği oy tabanlarını konsolide edebilmek kararsız seçmenleri tekrar kazanabilmek amacıyla kutuplaştırmaya hız verileceği anlaşılıyor durumda muhalefetin kutuplaşma kucaklaşma söylemlerini tercih toplumu kapsayıcı yaklaşımlar sergileyerek hazırladığı ekonomik toparlanma huzur güven kalkınma projelerini anlatması gerekiyor başta altılı masa kavgayı huzuru ayrıştırma kenetlenmeyi öne çıkarıp paralelde söylemler geliştirmek ekonomiden eğitime hukukun üstünlüğünden hak özgürlüklerin teminat altına alınmasına geniş yelpazeye yayılan proje vaatleriyle mahalleden oy toplamak zorunda kucaklaşma kenetlenme söylemleri 20 boyunca başta yargı hemen alanda yaşanan yıkımın dudak uçuklatan yolsuzlukların sorumlularından tekrar bağımsızlığına kavuşturulacak yargı eliyle hesap sorulmayacağı anlamına gelmemeli önceki dürüstlüğünden yurtseverliğinden ufak kuşku duymadığım uzun zamandır kalkınma projelerine kafa yoran değerli siyasetçi dostumla uzun sohbet yaptım benimle fikirde sert seçim süreci yaşanacağını öngörüyor karanlık riskli dönemin başladığını düşünüyor altılı masa başta muhalefetin olası provokasyonlara kapılmadan tuzaklara düşmeden halkımızı kucaklayıcı yaklaşımlar sürdürmesinin önemini ötekileştirmeden uzak durmanın değerini vurguluyor propaganda döneminde yurt çapında düzenlenecek mitinglerle çalınmadık kapı bırakmadan sürdürülecek ev ziyaretleriyle seçimlerin kazanılması halinde 100 günde ayda yılda yapılacakların güvencesinin halkımıza verilmesi gerektiğine inanıyor tv 100de program yapmama baktığını sordum söze kemal bey kılıçdaroğlu düşünüyorum başladı televizyon haber programcısı olsam editoryal bağımsızlık tanınsa programlarımın virgülüne dokunulmayacağı taahhüt edilse bırakın tv 100 merkeze oynayan kanalı yandaş televizyonda program yaparım nedenini açıkladı süreçte mahallemize mahalledekilere ulaşmamız bağımsız muhalif kanallardaki değerli konuşmacılar mevzulardan haberdar olanlara bildiklerini tekrar anlatıyorlar 10luk seyirci kitlesinde kısır döngü oluşuyor dediğim iktidar medyasının kontrolündeki mahalleye gerçekleri anlatıp oradaki seyircileri doğrularla buluşturabilirsek değerli işi başarmış oluruz
laç ilaç,doktorum antibiyotik yazdı mahallemin eczanesinden almaya gittim maalesef aylardır dediler eczanemiz merhum haldun taner hocamın yazdığı muhteşem tiyatro eseri fazilet eczanesi gibidir tanıdığınızda insanlar dünyaya iyilik yapmaya gelmişler diyeceğiniz meleklerin çalıştığı yerdir çeriye adımınızı attığınızda sizde tonik etkisi yapan güler yüzle karşılarlar anda kendinizi tek dozluk iyileştirici ilaç almış hissedersiniz depoları arayarak kendilerinde ilacı kısa sürede bulup yetiştirirler reçetedeki antibiyotiğin eşdeğerini sordum cevap verdiler bulursunuz dediğimde sağlık bakanı bulamaz türkiyenin eczanesinde dediler öğrendim meğer öksürük şurupları çocuk hastalıklarında kullanılan ateş düşürücüler antibiyotikler çocukların erişkinlerin tedavileri gereken grip ilaçları burun spreyleri kronik hastalık ilaçları uzun süredir bulunmuyormuş eczaneden çıkarken soluk soluğa maskeli girdi güçlükle alıyordu reçetesini uzatıp sizinki dolaştığım yedinci eczane ateşler içindeyim allah aşkınıza bulun ilacı yollarda öleceğim kalfa kızımız otur amca dinlen elimizden geleni yaparız sakinleştirmeye çalışırken çıktım gözlemlerimi tweetle paylaştım kısa sürede görüntülenme sayısı milyonun çıktı taraftan şikayetler imdat çığlıkları yağıyordu chp genel başkanı kemal kılıçdaroğlu benzer paylaşım ülkede ilaç ilaç çürüttüler ay el atacağımız konulardan ilaç devleti harap teslim edecekler toparlayacağız merak etmeyin gerekse kılıçdaroğlunun tweetlerinin altındaki yorumlara baktım troller üşüşmüşler sıkıntı türkiyede dünyada yazıyorlar dünyada benzer sorunlar avrupada yaşanıyor ham madde tedarik zincirindeki aksaklıklar nedeniyle ilaçlar zor bulunuyor avrupa ülkelerinde ilaç bulma güçlüğü varsa dünya lideri miyiz
refahyol hükümetine güvenoyunu abdullah çatlı aldırdı,birllk partisinin bbp kurucu genel başkanı muhsin yazıcıoğlu 25 mart 2009da yaşanan helikopter kazası sonucunda hayatını kaybetmişti bbpnin kahramanmaraştaki etkinliğinden dönüşte kazaya uğrayan helikopterde bulunan bbp sivas l başkanı erhan üstündağ l başkan yrd yüksel yancı belediye meclis üyesi murat çetinkaya pilot kaya stektepe vefat etmişlerdi helikopterin enkazına kazadan günler ulaşılması suikast iddialar ına olmuştu kazanın ardından otopside kan idrar örnekleri analiz edilmiş toksik maddeye rastlanılmamıştı yazıcıoğlunun ölüm nedeni bedenindeki kırıklar organ iç kanamaları gösterilmişti yazıcıoğlunun zehirlendiğine yönelik iddialar 19 ocak 2011 ikinci otopsi gerçekleştirilmiş kanında 13 oranında karbon monoksit tespit edilmişti ölüm nedeni beden travması belirlenmişti ndependent türkçeden cihat arpacıkın haberine kahramanmaraş başsavcılığı yazıcıoğlu dosyasını yeniden açtı savcılık stanbul adli tıp kurumundan analiz yapılarak merhumun kanında karbonmonoksit zehir bulunduğu iddialarına açıklık getirmesini istedi haberde kesin raporun htisas kurulunun incelemesi sonucunda çıkacağı belirtildi gelelim merhum yazıcıoğlu iddiaya geçenlerde susurluktaki kazada hayatını kaybeden abdullah çatlı ölümünden önceki yıllarda yakınında bulunan kişi kamuoyunda refahyol hükümeti bilinen prof necmettin erbakanın başbakanlığında kurulan 54 hükümetin abdullah çatlı sayesinde güvenoyu aldığını öne sürdü smi bende saklı haber kaynağım yaşanan süreci anlatırken ayrıntıları paylaştı çatlı bbp genel başkanı muhsin yazıcıoğlu iyi arkadaştı hükümette başbakan yardımcılığını üstlenen yol partisi genel başkanı tansu çilleri destekliyordu yazıcıoğlu milletvekili anapın listesinden seçilmiş olmalarına mecliste bağımsız hareket etme kararını almışlardı temmuz 1996 günü güven oylamasından anap lideri mesut yılmaz milletvekili eyüp aşıkı yazıcıoğluna göndererek oyu vermelerini istedi mehmet özbay sahte kimliğini kullanan abdullah çatlı devreye girdi yazıcıoğlu otelde buluştular görüşmede çatlı yazıcıoğlunu oyu kullanmaya ikna refahyol hükümeti 278 kabul 265 ret çekimser oyla güvenoyu almış yazıcıoğlu partisi oyu vermiş kritik eşik aşılamayacaktı özetle refahyol hükümetinin kurulmasını abdullah çatlı sağladı
vatandaşlık onurumuz satılıyor,uğur ağabey merhaba sermaye piyasası kurulu spk bankacılık düzenleme denetleme kurumu bddk lisanslı gayrimenkul değerleme şirketi sahibiyim mektubu göndermemin sebebi devletimizin 250 000 usdye gayrimenkul satın alınması karşılığında yabancılara vermiş türkiye cumhuriyeti vatandaşlığını almak başvurulan hileler ağabey bildiğin 250 000 usdye ülkenin kimliğini satıyorlar sözde 250 000 usdye anlatayım 143 gayrimenkul değerleme şirketi bulunuyor 2021 temmuz ayına değerleme firması 20 000 usdden tutun 150 000 usdlik yerlere 250 000 usd değerindeymiş belge vererek vatandaşlık aldırıyordu iyi rüşvet gerekiyordu örnek verecek olursam vatandaşlığı kurtarmayan gayrimenkuller katı değer yazılacaksa 50 000 tl 50 60 oranında yüksek yazılacaksa 30 40 000 tl 200 fazla gösterilecekse 70 80 000 tl rüşvet cebe indiriliyordu rezaletin ayyuka çıkması türkiye değerleme uzmanları birliği tdub tapu kadastro genel müdürlüğü tkgm spk dur demek düğmeye bastılar 2021 temmuz ayı itibarıyla antalya pilot bölge seçildi yabancıya satılan taşınmazların ekspertizinin ortak havuzdan değerleme firmalarına dağıtılması gayrimenkul bilgi merkezi gabi m adı altında sistem kuruldu sistemde ayrıcalık uygulanmadan 20 eylül 2021 tarihi itibarıyla belirli algoritma kullanılarak firmaya işler ülke genelinde eşit biçimde dağıtılmaya denetlenmeye başladı uygulama bazılarını rahatsız emlakçılar müteahhitlerden oluşan lobiyle baskı kuruldu 15 kasım tarihi yabancıya satış işlemlerinde emlakçılar istedikleri değerleme firması çalışabilme imkanına kavuştular devlet koymuş 250 000 usd uygulamayı arkadan dolaşarak kanunu koydum uymak zorunda değilsiniz yeter ülkeye döviz girsin kafanıza değer takdir edin demiş spk tkgm tdub direndiyse sistemin iptalini önleyemediler değerli ağabey içim yanarak söylüyorum t c vatandaşlığı yolla yabancılara peşkeş çekiliyor ülkemiz gerçekten parsel parsel satılıyor yanı sıra sektörde değerleme firması el değiştirmiş durumda sahipler eski akpli milletvekilleri eski belediye başkanları bakan yeğenleri torunları vs normal şartlarda değerleme uzmanının lisans alabilmesi yıllık üniversiteyi bitirmesi değerleme sektöründe çalıştıktan sınavları geçmesi gerekiyor sözünü ettiğim akpliler marketten gıda alır spkdan lisans alabiliyorlar ardından değerlendirme firmasına parayı bastırıp sahibi oluyorlar kamu bankaları kolayca anlaşıp piyasadaki işlerin hepsini hortumluyorlar yetmezmiş arkası sağlam akpli kamu bankasından kredi kullanacağı banka teminat istiyor banka 20 000 000 tllik teminat talep ediyorsa kişi 000 000 tllik teminatla işi halledebiliyor akpli firma işin içine giriyor 000 000 tllik taşınmazın değerini 20 000 000 tl gösteriyor yöntemle kamu bankalarının içleri boşaltılıyor bankadakiler avanta karşılığında göz yumuyorlar kamu bankası çalışıyoruz uzun soluklu birliktelik olmayacağını gayet iyi biliyoruz bankadakiler akpli birilerini bulup ortak alın listeden çıkarmak zorunda kalacağız diyorlar ağabey tezgahı özet anlatmaya çalıştım nanılmaz yolsuzluk dönüyor gerçi ülkenin neresinde yolsuzluk konuları ince ayrıntısına teker teker firma ismi vererek anlatabilirim sormak istediğin soruyu cevaplarım soruları tv ekranlarında korkmadan açık yüreklilikle cevaplarım belirttiğim konuların ispatlıdır vallahi kimseden korkum tertemiz şirketim hayatım boyunca dürüstlüğü ilke edinmiş birisiyim birilerinin bunlardan korkmadan dur demesi lazım fazla şirketimi kapatıp lisansımı iptal ederler etsinler iş yaparım yeter adalet yeter ülkeyi satmasınlar yeter yaklaşık 14 ay okuduğunuz haberi yazdığımda resmi ağızlarca yalanlandım mahkemelere verilmekle tehdit edildim linçler yedim saldırılara döviz sıkıntısı çekilen ülkeme naçiz katkı sağladım yabancılara türkiye cumhuriyeti vatandaşlığı verilmesi gereken gayrimenkul alım tutarı 250 amerikan dolarından 400 dolara çıkarıldı önceki çarpıcı gelişme değerli soruşturmacı gazeteci kardeşim murat ağırelin gazetesinde 400 dolara vatandaşlık alınır manşetiyle çıkan belgeli haberini birlikte okuyalım yer kırıkkale doğanay köyü 11 572 metrekare arazi temmuz 2022 tarihinde 91 500 tlye resmi senetle satılıyor arsayı alan kişi kısa süre anlaştığı değerleme şirketine rapor hazırlatıyor arsanın bedeli 22 800 tlye çıkıyor arsanın değeri ay 244 kat artıyor değer belirlendikten hafta arsanın hissesini 300 tl hissesini 400 tl üçüncü hissesini 300 tl bedel karşılığı afganistan uyruklu ahmad fahim nazarı mohammad wasıf abdulrahman mohammad alı barohı allah bakshsh adlı yabancılara satıyorlar alıcı yasanın gerektirdiği 400 doları tutturmuş oluyorlar yazıyı uzatıp kafanızı karıştırmamak belgeleri kullanmıyorum d allahtan dürüst tapu dairesi yetkilileri durumu fark edip çevre şehircilik klim değişikliği bakanlığına rapor ediyorlar bakanlık daireye yazı göndererek arazinin gerçek değerinin belirlenmesini istiyor bakanlıktan gönderilen yazıda değerlendirmeye esas alıcı satıcı arasındaki bedel transferini gösteren banka onaylı dekontlar arşiv sisteminde yoktur deniliyor murat ağırel çarpıcı kağıt örneklerini belgeleriyle paylaştığı haberini noktalıyor neticede yabancı uyruklu kişilere 400 dolar para yatırmadan vatandaşlık verilmesi türlü teşkilat kurulmuş kurumları dolandırmaya çalışıyorlar 400 doları görmediğimiz vatandaşlık onurumuzu ayaklar altına alıyorlar demem sevgili okurlar işleri denetlemekten sorumlu olanlar 14 ay yalanlayıp yargılanmakla tehdit etmek değindiğim usulsüzlüklerin üstüne gitmiş olsalardı rezilliklerle karşılaşmazdık
altılı masanın liderlerine açık oturum çağrısı,7o li yıllarda televizyon yayınlarının ülke geneline yayılmasıyla birlikte batı toplumlarında yaygın demokratik kültür siyaset konulu açık oturumlar bizde yapılmaya başlandı ktidar muhalefet liderlerinin masa etrafında toplanarak gündemdeki sorunları tartıştıkları programlar toplumdan ilgi gördü başlangıçta açık oturumları trt haber merkezi usta isimleri hüsamettin çelebi örsan öymen ertan karasu meslek büyüklerimiz yönetiyorlardı sonraları prof bozkurt güvenç saygın akademisyenler tarafsız olacakları düşüncesiyle açık oturum yöneticileri arasında yer aldılar trt çalıştığım yıllarda özel televizyonlarda açık oturum yöneten isimlerden bendim süleyman demirel bülent ecevit prof necmettin erbakan alparslan türkeş prof erdal nönü deniz baykal prof tansu çiller mesut yılmaz açık oturumda konuğum oldular açık oturumların belirgin özelliği aralarında sert polemikler yaşayan liderlerin ekranda yan yana geldiklerinde birbirlerine saygılı üslupla hitap etmeleriydi süleyman demirel başbakanlık dönemine rastlayan açık oturumların kapanışında akşam ülke meseleleriyle değerli görüş düşüncelerini açıklayan siyasi parti genel başkanlarına teşekkür ederim craatımızda bunlardan yararlanacağız derdi batı demokrasilerinin vazgeçilmezi açık oturumların ülkemizdeki sonuncusu kasım 2002 seçimleri öncesinde anketlerde oyu alacağı anlaşılan siyasi partinin adalet kalkınma partisi genel başkanı recep tayyip erdoğan chp lideri deniz baykalın arasında gerçekleşti kanal d ekranında moderatörlüğünü üstlendiğim seçim arenası buluşma yaklaşık saat sürdü izlenme rekoru kırdı sonraki yıllarda siyasi parti liderlerinin katıldıkları açık oturum maalesef yapılamadı tarihimizin kritik seçimlerine koştuğumuz günlerde güçlendirilmiş parlamenter demokrasiyi getirmeyi vadeden altılı masa liderleri demokratik kültürü yeniden hayata geçirebilirler amaçla çağrıda bulunuyor masayı oluşturan sayın liderleri tv 100 ekranında moderatörlüğünü üstleneceğim açık oturumda araya gelerek toplumun zihnini kurcalayan soruları cevaplamaya davet ediyorum kanallar tv 100 logosunu kullanmak koşuluyla ortak yayın yapabilirler gelin seyircilerimizin sorularıyla katılacakları çoğulcu demokrasilere yaraşır tarihi yayını birlikte gerçekleştirelim demokrasimizde yepyeni başlangıç adımı atalım
sıfır dediniz,ocak 2005 uygulanan tarihi kararla türk lirasından sıfır atıldı türk lirası tedavüle girdi banknotlar 200 ytl belirlendi tarihte başbakan recep tayyip erdoğan türk lirasından sıfır atılmasındaki temel amacın milli para birimine yeniden güven itibar kazandırmak belirtti paradan sıfır atılmasının enflasyonla mücadelede elde edilen tarihi başarının sonucu ifade erdoğan değerlendirmede bulundu türk lirasına geçişle vatandaşlarımız ceplerinde türk lirası taşımaktan gurur duyacak türkiye cumhuriyeti tarihinde gerçekleşen uygulama devrim niteliği taşımaktadır uygulamayla öncelikle günlük yaşam ekonomik aktiviteler oranda kolaylaşacak türk lirasına kazandırılan itibarın perçinlenmesi dünyada bilinirliğinin artırılması türk lirasına simge kazandırmak merkez bankası tl simge yarışması düzenlendi türk lirası simgesi mart 2012de kabul edilerek kullanılan halini aldı simgede türk lirasının türkiye ekonomisinin belirgin özelliği güven istikrar yükselen değer kavramları plana çıkartıldı türk lirasının kıymet saklama aracı güvenli liman haline geldiği vurgulandı türk lirasına itibarını kazandırmak amacıyla paradan sıfır atılmasının üzerinden 18 geçti önceki hafta suudi arabistan finans bakanı muhammed al jadaan türkiye pakistan mısır ekonomileri savunmasız ülkeleri yatırımlarla desteklemeye devam edeceklerini söyledi suudi arabistan maliye bakanlığı süre türkiye cumhuriyeti merkez bankasına dolar yatırmak görüşmelerde sona yaklaşıldığını belirtmişti önceki hazine maliye bakanı nureddin nebati türk lirasının değerli olmasının işsizlik aşırı ithalat üretim yapılmaması sakıncaları ifade türk lirasından sıfır atılmasındaki temel amacın milli para birimine yeniden güven itibar kazandırmak enflasyonla mücadelede elde edilen tarihi başarıyı gösterdiğini söyleyen cumhurbaşkanı erdoğan miydi
hoşgörüsüzlüğün vardığı boyuta bakar mısınız,önceki sevilen mizah ustası kardeşimle sohbet ediyorduk pandemi döneminde neredeyse çalışamadığı birikimlerini tüketme noktasına geldiği yasaklar biter bitmez çağrıldığı kente gitmeye başlamış başlamış süreçte engellerle karşılaşmış örneğin yerlerde valilerin kaymakamların girişimiyle gösterisi yasaklanıyor organizatörler tepki çekme korkusuyla anda anlaşmaları iptal ediyorlarmış esprileriyle iktidarı eleştiriyormuş yapsın seçimlere bekleme kararı almış dinledikten yaşça mizah ustasının başına gelenleri anlattım aktarayım pandemi başlamamış stanbuldaki organizasyonda ülkemizin sevilen kıdemli şovmenlerinden alkışlar arasında sahneye çıkıyor dakikalar ilerledikçe salondaki coşku artıyor programın sonunda sıra yıllardır seyircilerin beğenisini alan kekeme milletvekilinin meclisteki yeminini taklit ana taklit bittiğinde salon alkıştan yıkılıyor dakikalar geçmesine alkışlar kesilmeyince espri yaparak sahneden iniyor lgi öylesine yoğun kulise geçtiğinde uzun kuyrukla karşılaşıyor bekleyenlerin hiçbirini kırmadan fotoğraflar çektiriyor imzalar veriyor yola çıkmadan tuvalete uğruyor ellerini yıkarken aynada beliren öfkeli surat bağırmaya başlıyor ulan şerefsiz ulan vatan haini ulan yaparsın neye uğradığını şaşıran şovmen yaptım soruyor yapacaksın ulan hain cumhurbaşkanımıza hakaret ettin sayın cumhurbaşkanımıza hakaret etmek aklımın ucundan geçmez kaldı yaptığım esprilerde cumhurbaşkanımız hakkında tek kelime etmediğim ufak imada bulunmadım alınacak kızıp öfkelenecek konuklar dakikalarca alkışlar mıydı yemin taklidini 30 yıldır öfkeli kişi sözünü bitirmesini beklemeden suratının ortasına yumruğu yapıştırıyor ummadığı anda yumruğu yiyen şovmen burnundan kanlar fışkırarak yere yuvarlanıyor saldırgan olmamış çıkıp gidiyor giderken bağırıyor ders cumhurbaşkanımıza sataşmazsın gürültüyü duyan garsonların yardımıyla yerden kaldırılıp ağzı burnu yıkanıyor taksiyle evine gönderiliyor eve geldiğinde kapıyı açan kızı babasını kanlar görünce çığlığı atıyor oldun baba trafik kazası geçirdin 80e merdiven dayayan şovmen gözyaşları arasında keşke olsaydı kızım keşke trafik kazası geçirmiş olsaydım baban 30 yıldır taklidi yorumlayan hoşgörüsüz hale getirildi üstelik garsonların söylediğine saldırgan avukatmış kızı şikayetçi olalım hakkımızı arayalım baba deyince acı acı gülüyor kızım hakkımızı aramayalım bakarsın haklı bulurlar halimle cezaevine gönderebilirler işi bırakayım anda 65 yıldır alkışlanarak mesleğine veda anlattıklarımı dikkatle dinleyen genç mizahçı kardeşim kutuplaşmanın ülkemiz insanlarını getirdiği hoşgörüsüzlüğe bakar mısınız demek seçimlere sahneye çıkmama kararı almakla iyi yapmışım
dr aytun çıray cumhurbaşkanı erdoğanın üçüncü aday olamayacağını yıllar söylemişti,millet ttifakı nı oluşturan siyasi partinin genel başkanları önceki parti lideri meral akşener in konuğuydular yaklaşık saat süren toplantının ardından imzalanan ortak metinde liderler cumhurbaşkanı erdoğanın adaylığını kabul etmeyeceklerini açıkladılar anayasaya türkiye millet meclisi yenileme kararı almadıkça 14 mayısta yapılacağı ilan edilen seçimlerde sayın erdoğan aday olamaz dediler gerilere götürüyor 11 temmuz 2020 tarihinde köşe parti genel başkan başdanışmanı zmir milletvekili dr aytun çıray la yaptığımız söyleşiyi hatırlatıyorum dr aytun çıray sayın çıray konuşulmazken cumhurbaşkanı erdoğanın aday olamayacağını gündeme getiren siyasetçilerden biriydi aytun çiray ç gazetecilik deyimiyle bomba olay milletimiz referandumda 70 oranında 1982 anayasasının cumhurbaşkanının seçilmesi 101 maddesini değiştirmiştir cumhurbaşkanı yaşını doldurmuş yükseköğrenim yapmış türkiye millet meclisi üyeleri niteliklere milletvekili seçilme yeterliğine sahip türk vatandaşları arasından halk seçilir cumhurbaşkanının görev süresi yıldır fazla cumhurbaşkanı seçilebilir sayın dündar türk milletinin 70inin onayını almış madde anayasa maddesine yakışan şüphe götürmez hukuki açıklıkla yazılmıştır sayın erdoğan sayın abdullah gülün görev süresini tamamlamasını takiben başlamak 28 ağustos 2014te 51 79luk oy oranıyla seçilmiştir birinci dönemini normal şartlar altında 2019 ağustos ayında tamamlayacaktı bildiğiniz 16 nisan referandumuna 24 haziran 2018de genel seçimlerle birlikte cumhurbaşkanlığı seçimleri tekrarlandı sayın erdoğan ikinci seçildi uğur dündar d durum yıllık dönemini bakıma sıfırlayan cumhurbaşkanı açısından anayasal başlangıç sayılamaz biliyorsunuz putinin dönemdir yürüttüğü rusya federasyonu başkanlığı temmuz başında rus halkı onaylanan anayasayla sıfırlandı yorum 17 nisan 2016 referandumuyla değişiklik geçerli olamaz ç örnek bakışta ikna edici görünüyor maalesef benzerlik putin uyanık rus halkının onayladığı anayasanın 81 maddesi putinin önceki halihazırdaki başkanlık dönemlerini sıfırlıyor başkanlık seçimlerinde sınırlama koymuyor 17 nisan anayasasının 101 maddesinde değişiklik yapılmadı haliyle referandumda milletten onay aldı nedense şeyin inceden inceye düşünüldüğü 17 nisan anayasa değişiklikleri yapılırken cumhurbaşkanlığı süresinin anayasa birlikte başlayacağının yazılması açık anayasal gereklilik atlandı d sizce atlanmada kasıt ç sayın cumhurbaşkanının değerlendirmesi gerekir açık dediği cumhurbaşkanlığı milletvekili genel seçimleri normal zamanında 25 haziran 2023 tarihinde yapılırsa cumhurbaşkanlığının anayasal bitim noktası olacak nokta d sosyal siyasi ekonomik dizi tatsız gelişme yüzünden meclisi feshedip genel seçimlere gitmeyi tercih ederse etmek durumunda kalırsa ç an cumhurbaşkanı siyasi hayatına noktayı koymuş olacak açık iradesi görev dönemini sonlandırmış 2nci dönemini yürüttüğü aday olamaz cumhurbaşkanına siyasi hayatına aklından geçirmediği erken dönemde vermek d sizce sayın cumhurbaşkanına yeniden aday olma hakkı tanıyan seçenek ç meclis erken seçim kararı alırsa takdirde mümkün olabilir anayasanın net hükmü cumhurbaşkanının ikinci döneminde erken seçime cumhurbaşkanı karar verilmesi halinde cumhurbaşkanı tekrar aday olamaz değişikliği kaleme alanlar 116 maddede şansı tanımışlar maalesef kompozisyon cumhur ttifakına erken seçim kararı alabilmeleri gereken beşte üçlük çoğunluk 360 sayısını vermiyor düşünüyorum 17 nisan anayasasını hazırlayanlar tuzakları içine yerleştirmişler d konuda ysknın oldubittisi karşıya kalınır anayasa mahkemesi yapılacak tedbir başvurusunu reddederek cumhurbaşkanının meclisi feshetmesi durumunda yeniden aday olmasına cevaz verirse ç ysk anayasa mahkemesi koyamaz anayasa mahkemesi türk milletinin 70 yüksek onay verdiği açık dille yazılmış müphemliğin gölgesinin düşmediği 101 madde değişikliğine aykırı karar alamaz şartlarda erken seçim olacak hodri meydan tayyip bey bulsun gelsin 360ı tekrar aday zor engin devlet adamlığı birikimine sahip bulunan deneyimli siyasetçi dr aytun çırayın kimsenin sözünü etmediği tarihte anayasaya cumhurbaşkanı erdoğanın aday olamayacağını net biçimde söylediği tarihi söyleşinin yorumunu sizlere bırakıyorum
mamoğluna zulüm akpye yarar,pilotlarla siyasetçilerin ortak yanı ikisinin rüzgarı hesap etmek zorunda olmalarıdır pilotun becerikli engin deneyime sahip bulunması kuralı saymasına izin vermez rüzgâra hareket etmeyen pilot uçağı kaldırıp indiremeyeceği düşürür yere çakar siyasetçinin rüzgarı toplumun desteğidir halkın talep beklentilerini karşılayacağına inanılan siyasi kadrolar liderler seçmenin desteğini alıp iktidar iktidarlarını sürdürürler sözü akp iktidarı na getireceğim dünkü yazımda belirttiğim parti toplumun hoşuna gidecek söylem eylemler sonucu 2002 seçimlerinde tek başına iktidar olmuştu süreçte genel başkan tayyip erdoğan partinin önde gelenleri özgürlükçü söylemleri öne çıkarıyor kimsenin ötekileştirilmeyeceği hukukun üstünlüğüne dayalı adil sistem vaadediyorlardı fırsatta yolsuzluklara verilip hazinenin yağmalanmasının önüne geçileceği milli gelirin hakça paylaşımıyla yoksulluğun ortadan kaldırılacağı yasaksız türkiye hayalini dile getiriyorlardı dün stanbul büyükşehir belediye başkanı ekrem mamoğlu uğradığı haksızlıkları uygulanan çifte standartları anlattığı basın toplantısını izlerken nereden demekten kendimi alamadım bb başkanına ahmak ay 15 hapis cezası siyaset yasağı vermeyi hukuka vicdanının sesine uygun bulmadığını söyleyen hakim eşinin hamile olmasına sürülmüş hskda soruşturma dosyaları öne sürülen başkası getirilmişti değerli meslektaşım barış terkoğlunun haberine sürgün yiyen hakime istenilen doğrultuda karar çıkarması halinde istinafta onanacağı güvencesi verilmişti sürgüne gitmeyi göze alıp teklifi reddetmişti bugüne yalanlanmayan iddialar hukukun üstünlüğünü egemen kılacağı vaadiyle iktidar 20 yıldır ülkeyi yöneten akp liderliğinin giderek rüzgarın izin vermemesine uçağı indirmekte ısrar pilota benzediğini gösteriyor olmasa mamoğlu hakkında vicdanları kanatan skandal kararlar aldırıp sürekli çifte standart uygularlar mıydı ülkesinde huzuru arayan yurttaş uyaralım mamoğluna zulümden ısrarla mağdur etmekten gerilim üretmekten vazgeçin sağduyunun sesine kulak verin toplumsal rüzgârın geçen aleyhinize döndüğünü görün geç değilse partinizin 2002 programındaki fabrika ayarlarına dönün aksi takdirde akp uçağını seçim sandığına çakılmaktan kurtaramayacaksınız
